pair_id	evidence_tier	reported_nanostring_support	probe_ids	annotated_transcript_combinations	excluded_combinations	complete_crossing_orf_hypotheses	unique_peptide_hypotheses	conditional_annotated_start_peptides	conditional_consensus	strict_primary_eligible	audit_status	full_chain_status	published_junction_records	published_pair_read_ids	read_junction_link_status	assay_qc_status	translation_evidence_status
Cacna1d:Ninj1	NanoString_only	True	Cacna1d:Ninj1	40	13	1332	220	7	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	09e6388a-8f1f-405c-b852-2727ecb256b7	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Cd274:Lacc1	NanoString_only	True	Cd274:Lacc1	1	0	2	2	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	0c4c9fd2-16df-488f-aa1a-2bb0716c14cd	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Chchd3:1810058I24Rik	both	True	Chchd3:1810058I24Rik	12	4	16	2	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	8dda6b95-64ab-489f-bff5-8624e93aaf26	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Chd1:Ttc27	NanoString_only	True	Chd1:Ttc27	9	0	36	5	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	dae5e24f-6edb-4609-b668-288de112080e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Clcc1:Sars	NanoString_only	True	Clcc1:Sars	12	0	38	4	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	539f3094-834a-49e1-a80e-f48ebbc10d2b	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Dhrs3:Tusc3	NanoString_only	True	Dhrs3:Tusc3	24	6	63	15	6	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	5ab539df-9412-40b9-9e74-115dc4f0c6cb	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Dtx2:Fam53a	NanoString_only	True	Dtx2:Fam53a	20	5	75	5	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	b5e1ffb1-613b-4253-9000-f08849411453	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Ehd1:B2m	NanoString_only	True	Ehd1:B2m	2	1	4	4	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	2	3c4b90dc-3ee4-468f-b649-e311f6118491;947f2181-6c0d-412b-ad87-cd67ff032862	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Epb41l1:Dlgap4	NanoString_only	True	Epb41l1:Dlgap4	55	15	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	3d48c031-cbfd-4dbd-9fbd-7cb042765daa	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Frrs1:Blnk	NanoString_only	True	Frrs1:Blnk	6	0	36	13	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c074ebd1-63a8-4093-927a-4d0892fd4cc7	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Gle1:Stk38	NanoString_only	True	Gle1:Stk38	9	6	3	1	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	7c515b91-d2c4-4a9f-98b3-5395fd5c4c98	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Gltp:Ankrd13a	both	True	Gltp:Ankrd13a	6	0	22	13	6	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	e436fba2-6d8d-4b71-a6c6-53cb06da40e1	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Gng12:Ipo8	NanoString_only	True	Gng12:Ipo8	30	18	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	b0f68e21-8435-4194-b534-0a450f6ddc0e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Gpnmb:Arf2	NanoString_only	True	Gpnmb:Arf2	4	0	44	11	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	1c37ebba-f248-4ffa-ab28-d6267a502211	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Gsdmd:Tmem106a	NanoString_only	True	Gsdmd:Tmem106a	15	5	8	1	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	337546ca-5d0f-4c0d-acdc-b66aa9a2cfbe	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
H2-Q7:Tmem179b	NanoString_only	True	H2-Q7:Tmem179b	15	3	96	8	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	86504047-8139-4fd5-9ceb-e7b8587b569c	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Hsd17b4:Wdr36	NanoString_only	True	Hsd17b4:Wdr36	3	1	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	d278ceb6-1622-4542-a1d0-621ca8229a31	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Itsn1:Gm34342	NanoString_only	True	Itsn1:Gm34342	13	1	12	2	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	84071e63-92d9-4bd4-ad56-f509a5f67788	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Khsrp:Prmt1	NanoString_only	True	Khsrp:Prmt1	20	2	10	2	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	e191e3ac-253b-451a-8253-254ad80ab950	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Laptm4a:Nrp2	NanoString_only	True	Laptm4a:Nrp2	6	0	36	11	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f04a7f98-6eb4-4945-966d-2da9dffdbe84	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Lncpint:Gt(ROSA)26Sor	NanoString_only	True	Lncpint:Gt(ROSA)26Sor	20	0	12	1	0	False	False	no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	6425e7bc-876a-4c30-96ff-cb9d9a00625d	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Lrp1:Mndal	NanoString_only	True	Lrp1:Mndal	20	5	12	4	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	98297ccd-9c37-4090-a61e-3b7acf8b2a07	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Marchf7:Mrpl15	NanoString_only	True	Marchf7:Mrpl15	8	0	0	0	0	False	False	no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	06c5c9b1-c27b-4d6d-9199-80f2627e98aa	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Mertk:Laptm4a	NanoString_only	True	Mertk:Laptm4a	1	0	1	1	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	0ca6ad9c-0fe1-4c92-8791-c24ab297f829	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Mtpn:Rab9	NanoString_only	True	Mtpn:Rab9	2	0	2	1	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	76fbe138-a0ea-4e7e-a39a-865531b413a9	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Nav1:Cd84	NanoString_only	True	Nav1:Cd84	2	1	1	1	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	895c980d-61dc-42cf-97f8-1690bd00bb0e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Nceh1:Atp6v1h	NanoString_only	True	Nceh1:Atp6v1h	4	1	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c6240d37-f8f9-4a97-b2dd-5f121576b378	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Ndor1:Cyhr1	NanoString_only	True	Ndor1:Cyhr1	32	11	60	15	9	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f4db6859-eaae-4798-afe2-b2c31eb0afe7	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Nfkb1:Cisd2	both	True	Nfkb1:Cisd2	8	2	18	3	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	bbe8563f-3338-4a20-b127-a278c1e9db25	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Npc1:Slx4	NanoString_only	True	Npc1:Slx4	20	14	3	1	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	183b550c-8ed5-4196-9fec-b9b7b3a35161	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Npc1:Ttc39c	both	True	Npc1:Ttc39c	15	10	4	2	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	887f3a0d-d949-448d-ac61-bba4e28ff81e;d136a1d0-2ab7-43ef-8929-c0eb57ebc4f6	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Nsdhl:Ahnak	NanoString_only	True	Nsdhl:Ahnak	3	0	6	2	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	4c54d6c5-d78c-4436-bdbd-919fc7de86d1	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Oas3:Trim34a	NanoString_only	True	Oas3:Trim34a	6	3	36	12	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f5891bcf-2b68-4f4a-9291-e7a803f311d2	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Osbpl8:Znhit6	NanoString_only	True	Osbpl8:Znhit6	16	4	12	2	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	e3ce8cdf-256f-412a-a550-e12ee4ecdeb6	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Pacc1:Atf3	NanoString_only	True	Pacc1:Atf3	2	0	2	1	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	47bca786-ea65-4bbc-97d4-9421893632b1	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Parp11:Lyn	NanoString_only	True	Parp11:Lyn	3	0	0	0	0	False	False	no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	2cf1a028-bd96-47c4-bd11-9cee3b11df0c	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Pfkfb4:Anxa2	NanoString_only	True	Pfkfb4:Anxa2	21	9	20	3	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	813224e2-64c5-4067-af8d-5f2ecb840064	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Pphln1:Phf20l1	NanoString_only	True	Pphln1:Phf20l1	42	12	55	9	6	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	8b6299bc-c9b9-4c5f-86d7-a27f47d6afd0	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Psap:Tspan3	NanoString_only	True	Psap:Tspan3	15	3	135	13	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	846d6edf-be99-4b35-a688-54aa817f6921	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Psmb1:Nmt2	NanoString_only	True	Psmb1:Nmt2	12	0	76	22	8	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	cf38c0d6-1d36-4169-bb34-d484d383ceae	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Psmc2:Pmpcb	NanoString_only	True	Psmc2:Pmpcb	6	4	20	10	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c02a0300-4395-47a6-a284-5361f60e5ef4	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Pstpip1:Lix1l	NanoString_only	True	Pstpip1:Lix1l	3	2	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	70fe02c1-ac1e-4363-8856-5dc05a30928c	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rab8b:Ythdf3	NanoString_only	True	Rab8b:Ythdf3	3	0	3	1	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	5284de1c-2fea-43da-9fc0-5ee153eec027	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rac1:Reep5	NanoString_only	True	Rac1:Reep5	16	0	4	2	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	09f6b5b2-4f86-4e56-8f39-b64389445df1	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rb1:Itm2b	both	True	Rb1:Itm2b	8	5	14	14	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	3	aeed0931-5bcb-46df-a8e7-f3643c316f51;e2ad3448-f043-4b56-b2b7-5dbac11932d6;e666f484-a543-4f84-afd1-b8247f85a60f	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Reep5:Ctnnbl1	NanoString_only	True	Reep5:Ctnnbl1	10	0	4	4	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	dc357d79-285b-4c9f-9cb1-79d4a3eb0bd6	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rftn1:Tgif1	NanoString_only	True	Rftn1:Tgif1	27	11	6	2	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	e08f996c-76f4-4d19-88c7-086dcec59d8e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rsu1:Mllt10	NanoString_only	True	Rsu1:Mllt10	50	30	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c72379a3-875f-478a-bfb6-4ec973417aae	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rtf1:Rmdn3	NanoString_only	True	Rtf1:Rmdn3	2	1	11	11	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	186cc721-c539-4c33-938c-ce1b7040abd3	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Rtraf:Psmb2	NanoString_only	True	Rtraf:Psmb2	4	0	2	2	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	ee8a91a1-2c96-4d14-9a1b-f5daeac60d8f	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Runx1:Ubac2	NanoString_only	True	Runx1:Ubac2	12	0	24	2	1	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c23e6e84-e3c1-4734-8fa1-6925fb015720	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Sbno1:Rhog	NanoString_only	True	Sbno1:Rhog	9	0	270	32	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	23ebd2ed-4511-4e4c-a266-997259022cb9	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Sec22b:Rap1a	NanoString_only	True	Sec22b:Rap1a	16	0	0	0	0	False	False	no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f061a72b-c1f2-4751-b0c0-b8e756618834	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Septin7:Tmem120a	NanoString_only	True	Septin7:Tmem120a	8	5	11	6	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	a54f69f8-ea7a-4997-ba39-10da8ac7eaac	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc16a10:Rpf2	NanoString_only	True	Slc16a10:Rpf2;Slc16a10:Rpf2_2	21	0	75	15	1	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	df7f85fc-d6de-4201-b13b-6b8cce0adcd8	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc16a10:Tpd52	NanoString_only	True	Slc16a10:Tpd52	33	0	90	20	4	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	dcac09e9-7a00-4245-b5b6-2f3551d93a75	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc25a13:Sem1	both	True	Slc25a13:Sem1;Slc25a13:Sem1_2	4	0	23	12	1	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	2	ee56bd67-4f45-4410-86c9-71e9324bc5b4;f1f0a707-0fec-4fa4-9c99-68f831e567be	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc4a7:Psmd1	NanoString_only	True	Slc4a7:Psmd1	39	6	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	87fe4999-d750-43fb-b76b-0f827ae9ecbd	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc7a8:Gch1	NanoString_only	True	Slc7a8:Gch1	2	1	1	1	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	8de6a20f-c0b6-4419-be83-4381d75c4a98	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Slc9a7:Amn1	NanoString_only	True	Slc9a7:Amn1	12	3	80	16	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	5a2dd11d-ad55-4ae7-af1c-a88cfeb14a83	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Smad3:Pnrc1	NanoString_only	True	Smad3:Pnrc1	3	0	3	1	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	c47cf384-1b43-4f84-ade5-3b747969882e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Smad4:Dym	NanoString_only	True	Smad4:Dym	1	0	0	0	0	False	False	no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	843b97d7-499d-4172-8b6f-32bd72a6a417	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Snd1:Lmf1	NanoString_only	True	Snd1:Lmf1	24	9	30	6	3	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	21059a4b-3718-4fc5-a8fc-fac3bf19943e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Snrpd3:Ankrd40	NanoString_only	True	Snrpd3:Ankrd40	12	6	6	1	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	56c3230c-0d8d-410c-a843-fa9da225ec59	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Snx5:Ctsc	NanoString_only	True	Snx5:Ctsc	9	3	3	1	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f2b518d1-dafb-4f71-8d81-0909df2610bf	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Sppl2a:Psma3	NanoString_only	True	Sppl2a:Psma3	6	2	16	4	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	7d8f891e-a72e-4b10-a37d-de2aa03cc904	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
St8sia4:Fam174a	both	True	St8sia4:Fam174a	4	0	10	3	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	2e0973f9-349d-4d80-b11b-d97233bbbe80;e31785cd-65e1-44b1-9b7f-fadf0128cd6e	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Syne3:1700028I16Rik	NanoString_only	True	Syne3:1700028I16Rik	6	0	20	4	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	d825e19b-57dd-454d-8a8c-dda2a358ec4b	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Tbc1d23:Sirt5	NanoString_only	True	Tbc1d23:Sirt5	8	2	10	2	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	4de1478f-6e05-4e08-8776-363e078107c3	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Tbc1d23:Xdh	both	True	Tbc1d23:Xdh_2	24	12	32	3	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	96b81353-1ae4-4dea-8270-59c32c4e1051;f7e211d4-80cd-458a-9fe0-978018d7001b	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Tbcb:Prkar1a	NanoString_only	True	Tbcb:Prkar1a	9	3	15	5	1	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	44d12618-349a-4e03-9b5d-37710bca96d6	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
