peptide_id	sequence_sha256	role	sequence_audit_passed	calibration	deep_dive	selection_cohort	orf_assumptions	pair_ids	length_aa	f_idr	selection_reason	population_estimation
peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Aoah:Blcap	167	0.4191616766467065	all_conditional_consensus	False
peptide_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Sppl2a:Psma3	298	0.1409395973154362	all_conditional_consensus	False
peptide_7153a9988f10e3f16ef9401be9c3ebf0e792e0075a0738bde80362e44019b419	7153a9988f10e3f16ef9401be9c3ebf0e792e0075a0738bde80362e44019b419	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Slc7a8:Gch1	304	0.1151315789473684	all_conditional_consensus	False
peptide_74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18	74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	H2-Q7:Tmem179b	234	0.0	all_conditional_consensus	False
peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Zc3h7a:Ppp4r1	39	1.0	all_conditional_consensus	False
peptide_7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b	7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Pacc1:Atf3	46	1.0	all_conditional_consensus	False
peptide_899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e	899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Uhrf1bp1l:1810058I24Rik	95	0.4736842105263157	all_conditional_consensus	False
peptide_91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7	91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	St8sia4:Fam174a	213	0.3380281690140845	all_conditional_consensus	False
peptide_9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a	9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Gpnmb:Arf2	711	0.1097046413502109	all_conditional_consensus	False
peptide_b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8	b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Aoah:Sirt5	141	0.3333333333333333	all_conditional_consensus	False
peptide_b537f99b45ff96dfbe025055a4ef53a4d336495d89f7355a3e01399abae3638e	b537f99b45ff96dfbe025055a4ef53a4d336495d89f7355a3e01399abae3638e	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Rtf1:Rmdn3	568	0.6109154929577465	all_conditional_consensus	False
peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Utrn:Pex7	2498	0.16613290632506	all_conditional_consensus	False
peptide_d09ba36d63b4b05b94c1787f8ea186e5b841f5920b3ffb5356533bd95afd68da	d09ba36d63b4b05b94c1787f8ea186e5b841f5920b3ffb5356533bd95afd68da	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Cd274:Lacc1	259	0.0694980694980695	all_conditional_consensus	False
peptide_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Nsdhl:Ahnak	95	0.2105263157894736	all_conditional_consensus	False
peptide_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Acod1:Cd86	193	0.2072538860103626	all_conditional_consensus	False
peptide_e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1	e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Mertk:Laptm4a	175	0.08	all_conditional_consensus	False
peptide_e6bde9e98c0c71a406cda37d339a2829de1ba0ba203b851d67e4082deda858a7	e6bde9e98c0c71a406cda37d339a2829de1ba0ba203b851d67e4082deda858a7	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Tomm70a:Ltn1	383	0.2845953002610966	all_conditional_consensus	False
peptide_eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992	eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Laptm4a:Nrp2	158	0.8354430379746836	all_conditional_consensus	False
peptide_f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f	f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Smad3:Pnrc1	70	0.1571428571428571	all_conditional_consensus	False
peptide_ff641b7f66baa209ff86e50cff70775b9fc1fd0004872ad33a501711d57eaf5e	ff641b7f66baa209ff86e50cff70775b9fc1fd0004872ad33a501711d57eaf5e	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Tec:Clec4a1	133	0.0	all_conditional_consensus	False
peptide_19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Rac1:Reep5	112	0.0	one_random_per_length_disorder_stratum	False
peptide_d9dadae508e1aba65519f0bec221151e33dd065734ac6bd7d657c57034b61154	d9dadae508e1aba65519f0bec221151e33dd065734ac6bd7d657c57034b61154	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Snd1:Lmf1	86	0.2674418604651162	one_random_per_length_disorder_stratum	False
peptide_b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca	b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Zeb2:Gtdc1	75	1.0	one_random_per_length_disorder_stratum	False
peptide_70b1ed4ba81a68375cfb42e68d1af3b9cf1105b34faaa49a883b93a8bfa81b6c	70b1ed4ba81a68375cfb42e68d1af3b9cf1105b34faaa49a883b93a8bfa81b6c	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Rac1:Reep5	154	0.0584415584415584	one_random_per_length_disorder_stratum	False
peptide_6ae36d8a89ac3ac04b43b02983f3cb8994037ee6cadc0be1d50523eaca3430e4	6ae36d8a89ac3ac04b43b02983f3cb8994037ee6cadc0be1d50523eaca3430e4	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Psmb1:Nmt2	212	0.2075471698113207	one_random_per_length_disorder_stratum	False
peptide_d12ded276778cca561f61708455f059a1bccb3f6e5b75d6ea02f274ab7b9a20d	d12ded276778cca561f61708455f059a1bccb3f6e5b75d6ea02f274ab7b9a20d	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Slc16a10:Tpd52	290	0.5827586206896552	one_random_per_length_disorder_stratum	False
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	sensitivity	True	True	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Psmc2:Pmpcb	357	0.0644257703081232	one_random_per_length_disorder_stratum	False
peptide_bcd139b19630cb31f3a89703fedd00936138336ed28e45f87045ef3f8222c90c	bcd139b19630cb31f3a89703fedd00936138336ed28e45f87045ef3f8222c90c	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Asph:Rab2a	328	0.2774390243902439	one_random_per_length_disorder_stratum	False
peptide_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Pphln1:Phf20l1	399	1.0	one_random_per_length_disorder_stratum	False
peptide_1148a09617eba2312e87a99c5e199bf30521982cb6c30cc7354ca5f31aa604ee	1148a09617eba2312e87a99c5e199bf30521982cb6c30cc7354ca5f31aa604ee	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Rb1:Itm2b	786	0.1157760814249363	one_random_per_length_disorder_stratum	False
peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Cacna1d:Ninj1	1669	0.2019173157579389	one_random_per_length_disorder_stratum	False
peptide_fa6506540deb5226f196b5e2c3dc3fd6a10972fec505231d4d43a33b7e157c2a	fa6506540deb5226f196b5e2c3dc3fd6a10972fec505231d4d43a33b7e157c2a	sensitivity	True	False	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Pphln1:Phf20l1	915	0.766120218579235	one_random_per_length_disorder_stratum	False
peptide_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa	f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa	sensitivity	True	True	False	conditional_annotated_start	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Gsdmd:Tmem106a	118	1.0	published_architecture_reference	False
control_1bb99356d918b0fbaa9b069fdeb691f9390e078bfa32068a8186f372bbfd91a3	1bb99356d918b0fbaa9b069fdeb691f9390e078bfa32068a8186f372bbfd91a3	control	True	True	False	annotated_parent_complete_ORF;retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		162		bounded_parent_fragment_control	False
control_4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a	4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a	control	True	True	False	annotated_parent_complete_ORF;retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		181		bounded_parent_fragment_control	False
control_13af641587610835ccf13231157fe90ef6e91f0485fa14f7ec5a46506b5a8823	13af641587610835ccf13231157fe90ef6e91f0485fa14f7ec5a46506b5a8823	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		68		bounded_parent_fragment_control	False
control_345129754ff0ccc173929ddf22b27736775c4329d5023cd85485e4a3b98d6af1	345129754ff0ccc173929ddf22b27736775c4329d5023cd85485e4a3b98d6af1	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		156		bounded_parent_fragment_control	False
control_61a6c306c0a882793e9a0eb0f38e9dffb4ad15d1ae413e718969b8f43c6e86e4	61a6c306c0a882793e9a0eb0f38e9dffb4ad15d1ae413e718969b8f43c6e86e4	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		153		bounded_parent_fragment_control	False
control_8500b17b3f5cc9f4deaed97ff0ad19025d5d94095c67bb9c969910558b69f1f8	8500b17b3f5cc9f4deaed97ff0ad19025d5d94095c67bb9c969910558b69f1f8	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		559		bounded_parent_fragment_control	False
control_c4c915da39d6ec74952059215262a9989ad6435c495f79363d36b565c91f216d	c4c915da39d6ec74952059215262a9989ad6435c495f79363d36b565c91f216d	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		45		bounded_parent_fragment_control	False
control_ff94800e922179729e86c53f89319115126e45abae0220aa9052e0fb76f532c1	ff94800e922179729e86c53f89319115126e45abae0220aa9052e0fb76f532c1	control	True	True	False	retained_canonical_fragment	Reference parent sequence or exact retained canonical fragment; contextual control.		129		bounded_parent_fragment_control	False
