species	assembly	run	read_id	caller	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	status	start5	end5	qstart5	qend5	start3	end3	qstart3	qend3	original_read_id	mapq5	aligned_nt5	mapq3	aligned_nt3	alignment_qc_pass
homo_sapiens	GRCh38	SRR31438987	SRR31438987.333465	LongGF	ENSG00000165533	ENSG00000100722	14	14	+	+	88824822	88596731	-3	unvalidated_caller_evidence	88824699	88824822	0	122	88596731	88611888	119	784	51615ab7-82eb-4344-a466-bb685c3dd811	60	121	60	653	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.520655	LongGF	ENSG00000178234	ENSG00000091583	7	17	+	-	152025884	66216968	-1	unvalidated_caller_evidence	152025730	152025884	2	156	66212037	66216968	155	687	e6916ebe-c9fd-4660-a4d1-9dfde6081066	60	150	60	514	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.167562	LongGF	ENSG00000091513	ENSG00000132676	3	1	+	+	133748583	155738157	3	unvalidated_caller_evidence	133746458	133748583	64	252	155738157	155738520	255	603	c5d237ad-0862-418e-bef4-eda08b314848	60	183	55	336	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452774	LongGF	ENSG00000091513	ENSG00000106927	3	9	+	-	133753703	114061099	-1	unvalidated_caller_evidence	133746404	133753703	0	361	114060126	114061099	360	673	5deb1a66-0461-4d6e-a68b-f106b8dceb69	60	354	60	308	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.557755	LongGF	ENSG00000196937	ENSG00000086065	7	9	-	+	121349076	33280870	-1	unvalidated_caller_evidence	121349076	121349291	3	207	33280870	33281161	206	471	5fa705a3-fdab-4a04-9d72-79c252af3ae4	13	203	40	254	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.522825	LongGF	ENSG00000084674	ENSG00000171560	2	4	-	-	21015092	154586548	-1	unvalidated_caller_evidence	21015092	21026966	32	1632	154585274	154586548	1631	2901	36882088-fb55-4f61-b27c-2bea65dc6352	60	1569	60	1236	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.160715	LongGF	ENSG00000131620	ENSG00000078140	11	4	+	+	69986159	39774832	6	unvalidated_caller_evidence	69985969	69986159	5	190	39774832	39778631	196	696	0942b746-b069-42a9-8948-cba24d6ec933	60	175	60	484	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.309564	LongGF	ENSG00000074695	ENSG00000257267	18	18	-	+	59345913	35305974	-9	unvalidated_caller_evidence	59345913	59349142	0	209	35305974	35306324	200	541	46549ae2-66fd-4a8f-a6da-470e6daa0986	60	205	60	330	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.309252	LongGF	ENSG00000116133	ENSG00000102910	1	16	-	+	54853483	48351657	-2	unvalidated_caller_evidence	54853483	54886958	1	1173	48351657	48351949	1171	1467	ab0a9449-958e-4f43-8956-d6682f876cb8	60	1154	60	288	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.252364	LongGF	ENSG00000290569	ENSG00000295994	1	1	-	+	120341715	120630543	-3	unvalidated_caller_evidence	120341715	120342140	66	460	120630543	120631047	457	950	db62a938-bff4-4635-8f35-0811e0ea2a6d	4	390	1	482	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452686	LongGF	ENSG00000289358	ENSG00000290763	3	3	+	-	109343650	195960087	-1	unvalidated_caller_evidence	109338606	109343650	0	272	195959748	195960087	271	601	d466c8c1-271c-419d-9592-50605aa2276e	60	263	12	323	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.259773	LongGF	ENSG00000263266	ENSG00000291033	17	Y	+	+	28468106	19589512	-3	unvalidated_caller_evidence	28467789	28468106	1	314	19589512	19590258	311	585	79ddc3a8-fdcc-4410-96fd-acd7c42b3fc1	1	300	60	266	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.369689	LongGF	ENSG00000211668	ENSG00000254709	22	22	+	+	22793001	22893786	-3	unvalidated_caller_evidence	22792865	22793001	0	132	22893786	22895832	129	606	2a9ac71d-238f-4a9c-8c6b-83fd770f313c	27	131	60	473	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.328480	LongGF	ENSG00000204802	ENSG00000291181	9	9	+	-	62376813	39818910	12	unvalidated_caller_evidence	62376530	62376813	0	288	39816630	39818910	300	1453	a431c818-608e-4743-8853-6ccef05a5fe6	22	267	16	1112	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452071	LongGF	ENSG00000280800	ENSG00000168255	21	7	+	-	8211053	102538408	8	unvalidated_caller_evidence	8210007	8211053	34	1056	102537918	102538408	1064	1535	f3d4138c-d12f-4c68-be39-002a3442a99b	0	979	1	462	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.140616	LongGF	ENSG00000281383	ENSG00000161013	21	5	+	-	8255262	179806578	-1	unvalidated_caller_evidence	8254665	8255262	0	598	179797609	179806578	597	2629	d32e6e7e-3b41-4b17-9c62-e73d71457fa5	0	579	60	1995	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.26135	LongGF	ENSG00000152990	ENSG00000249948	4	4	-	+	22515532	22818720	4	unvalidated_caller_evidence	22515532	22516060	4	535	22818720	22819272	539	1089	e476f974-2c4b-468d-bd16-76d8633e4e14	60	513	60	540	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452092	LongGF	ENSG00000121410	ENSG00000211450	19	11	-	+	58350369	57742867	6	unvalidated_caller_evidence	58350369	58353036	49	1068	57742867	57743035	1074	1243	822e8052-d355-4cc8-adef-5dd5f87ce3ba	60	1009	60	167	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.300705	LongGF	ENSG00000141027	ENSG00000170315	17	17	-	+	16215359	16381900	-3	unvalidated_caller_evidence	16215359	16215528	1	165	16381900	16382740	162	971	7377cb90-3bf0-4933-a3ce-009a973f13e5	60	163	60	799	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.90968	LongGF	ENSG00000137491	ENSG00000255717	11	11	+	-	75172570	62853113	0	unvalidated_caller_evidence	75172376	75172570	3	195	62851994	62853113	195	941	ac295e62-ed47-48fa-9cc8-9bb3634b04e9	60	189	60	727	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.279203	LongGF	ENSG00000151422	ENSG00000134516	5	5	+	+	109047199	169934644	-7	unvalidated_caller_evidence	109037420	109047199	599	864	169934644	169934871	857	1078	4bf7a450-3ecb-403e-8c9d-cff2bc667208	60	260	60	216	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.54551	LongGF	ENSG00000132837	ENSG00000170315	5	17	-	+	79028540	16382616	15	unvalidated_caller_evidence	79028540	79051367	3	1244	16382616	16382745	1259	1384	4660ed99-d30b-42b2-bdc0-850e08d3495d	60	1208	51	124	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.224575	LongGF	ENSG00000125730	ENSG00000157020	19	3	-	-	6686244	10301191	5	unvalidated_caller_evidence	6686244	6693072	17	468	10300930	10301191	473	723	24ed456e-8239-46b6-8e4b-1396373c1613	60	431	60	250	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.372715	LongGF	ENSG00000204397	ENSG00000122565	11	7	-	+	105044515	26212296	0	unvalidated_caller_evidence	105044515	105045318	0	165	26212296	26212434	165	295	b19c1443-c22f-4ad0-8cc3-269bff681646	35	165	6	126	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.223482	LongGF	ENSG00000152078	ENSG00000122481	1	1	+	+	95173891	95246754	-3	unvalidated_caller_evidence	95117395	95173891	0	711	95246754	95247223	708	1188	05088e89-891d-4c66-8a89-3b7273cbb7c0	60	692	60	459	True
homo_sapiens	GRCh38	SRR31438987	SRR31438987.421346	LongGF	ENSG00000280800	ENSG00000148337	21	9	+	-	8211047	128166253	3	unvalidated_caller_evidence	8210803	8211047	11	252	128166074	128166253	255	434	66b15f57-70f0-4c5c-8fd7-032b4609f471	0	235	60	174	False
