species	assembly	run	read_id	caller	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	status	start5	end5	qstart5	qend5	start3	end3	qstart3	qend3	original_read_id	mapq5	aligned_nt5	mapq3	aligned_nt3	alignment_qc_pass	symbol5	symbol3	genion_flag	statistical_flag	caller_statistical_pass
homo_sapiens	GRCh38	SRR31438987	SRR31438987.167562	LongGF	ENSG00000091513	ENSG00000132676	3	1	+	+	133748583	155738157	3	unvalidated_caller_evidence	133746458	133748583	64	252	155738157	155738520	255	603	c5d237ad-0862-418e-bef4-eda08b314848	60	183	55	336	True	TF	DAP3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452774	LongGF	ENSG00000091513	ENSG00000106927	3	9	+	-	133753703	114061099	-1	unvalidated_caller_evidence	133746404	133753703	0	361	114060126	114061099	360	673	5deb1a66-0461-4d6e-a68b-f106b8dceb69	60	354	60	308	True	TF	AMBP			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.557755	LongGF	ENSG00000196937	ENSG00000086065	7	9	-	+	121349076	33280870	-1	unvalidated_caller_evidence	121349076	121349291	3	207	33280870	33281161	206	471	5fa705a3-fdab-4a04-9d72-79c252af3ae4	13	203	40	254	False	FAM3C	CHMP5			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.522825	LongGF	ENSG00000084674	ENSG00000171560	2	4	-	-	21015092	154586548	-1	unvalidated_caller_evidence	21015092	21026966	32	1632	154585274	154586548	1631	2901	36882088-fb55-4f61-b27c-2bea65dc6352	60	1569	60	1236	True	APOB	FGA			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.160715	LongGF	ENSG00000131620	ENSG00000078140	11	4	+	+	69986159	39774832	6	unvalidated_caller_evidence	69985969	69986159	5	190	39774832	39778631	196	696	0942b746-b069-42a9-8948-cba24d6ec933	60	175	60	484	True	ANO1	UBE2K			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.309564	LongGF	ENSG00000074695	ENSG00000257267	18	18	-	+	59345913	35305974	-9	unvalidated_caller_evidence	59345913	59349142	0	209	35305974	35306324	200	541	46549ae2-66fd-4a8f-a6da-470e6daa0986	60	205	60	330	True	LMAN1	ZNF271P			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.309252	LongGF	ENSG00000116133	ENSG00000102910	1	16	-	+	54853483	48351657	-2	unvalidated_caller_evidence	54853483	54886958	1	1173	48351657	48351949	1171	1467	ab0a9449-958e-4f43-8956-d6682f876cb8	60	1154	60	288	True	DHCR24	LONP2			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.252364	LongGF	ENSG00000290569	ENSG00000295994	1	1	-	+	120341715	120630543	-3	unvalidated_caller_evidence	120341715	120342140	66	460	120630543	120631047	457	950	db62a938-bff4-4635-8f35-0811e0ea2a6d	4	390	1	482	False					
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452686	LongGF	ENSG00000289358	ENSG00000290763	3	3	+	-	109343650	195960087	-1	unvalidated_caller_evidence	109338606	109343650	0	272	195959748	195960087	271	601	d466c8c1-271c-419d-9592-50605aa2276e	60	263	12	323	False		SDHAP1			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.259773	LongGF	ENSG00000263266	ENSG00000291033	17	Y	+	+	28468106	19589512	-3	unvalidated_caller_evidence	28467789	28468106	1	314	19589512	19590258	311	585	79ddc3a8-fdcc-4410-96fd-acd7c42b3fc1	1	300	60	266	False	RPS7P1	TXLNGY			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.369689	LongGF	ENSG00000211668	ENSG00000254709	22	22	+	+	22793001	22893786	-3	unvalidated_caller_evidence	22792865	22793001	0	132	22893786	22895832	129	606	2a9ac71d-238f-4a9c-8c6b-83fd770f313c	27	131	60	473	True	IGLV2-11	IGLL5			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.328480	LongGF	ENSG00000204802	ENSG00000291181	9	9	+	-	62376813	39818910	12	unvalidated_caller_evidence	62376530	62376813	0	288	39816630	39818910	300	1453	a431c818-608e-4743-8853-6ccef05a5fe6	22	267	16	1112	False	FAM88C	FGF7P3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452071	LongGF	ENSG00000280800	ENSG00000168255	21	7	+	-	8211053	102538408	8	unvalidated_caller_evidence	8210007	8211053	34	1056	102537918	102538408	1064	1535	f3d4138c-d12f-4c68-be39-002a3442a99b	0	979	1	462	False		POLR2J3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.140616	LongGF	ENSG00000281383	ENSG00000161013	21	5	+	-	8255262	179806578	-1	unvalidated_caller_evidence	8254665	8255262	0	598	179797609	179806578	597	2629	d32e6e7e-3b41-4b17-9c62-e73d71457fa5	0	579	60	1995	False		MGAT4B			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.26135	LongGF	ENSG00000152990	ENSG00000249948	4	4	-	+	22515532	22818720	4	unvalidated_caller_evidence	22515532	22516060	4	535	22818720	22819272	539	1089	e476f974-2c4b-468d-bd16-76d8633e4e14	60	513	60	540	True	ADGRA3	GBA3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.452092	LongGF	ENSG00000121410	ENSG00000211450	19	11	-	+	58350369	57742867	6	unvalidated_caller_evidence	58350369	58353036	49	1068	57742867	57743035	1074	1243	822e8052-d355-4cc8-adef-5dd5f87ce3ba	60	1009	60	167	True	A1BG	SELENOH			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.300705	LongGF	ENSG00000141027	ENSG00000170315	17	17	-	+	16215359	16381900	-3	unvalidated_caller_evidence	16215359	16215528	1	165	16381900	16382740	162	971	7377cb90-3bf0-4933-a3ce-009a973f13e5	60	163	60	799	True	NCOR1	UBB			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.90968	LongGF	ENSG00000137491	ENSG00000255717	11	11	+	-	75172570	62853113	0	unvalidated_caller_evidence	75172376	75172570	3	195	62851994	62853113	195	941	ac295e62-ed47-48fa-9cc8-9bb3634b04e9	60	189	60	727	True	SLCO2B1	SNHG1			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.279203	LongGF	ENSG00000151422	ENSG00000134516	5	5	+	+	109047199	169934644	-7	unvalidated_caller_evidence	109037420	109047199	599	864	169934644	169934871	857	1078	4bf7a450-3ecb-403e-8c9d-cff2bc667208	60	260	60	216	True	FER	DOCK2			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.54551	LongGF	ENSG00000132837	ENSG00000170315	5	17	-	+	79028540	16382616	15	unvalidated_caller_evidence	79028540	79051367	3	1244	16382616	16382745	1259	1384	4660ed99-d30b-42b2-bdc0-850e08d3495d	60	1208	51	124	True	DMGDH	UBB			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.224575	LongGF	ENSG00000125730	ENSG00000157020	19	3	-	-	6686244	10301191	5	unvalidated_caller_evidence	6686244	6693072	17	468	10300930	10301191	473	723	24ed456e-8239-46b6-8e4b-1396373c1613	60	431	60	250	True	C3	SEC13			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.372715	LongGF	ENSG00000204397	ENSG00000122565	11	7	-	+	105044515	26212296	0	unvalidated_caller_evidence	105044515	105045318	0	165	26212296	26212434	165	295	b19c1443-c22f-4ad0-8cc3-269bff681646	35	165	6	126	False	CARD16	CBX3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.223482	LongGF	ENSG00000152078	ENSG00000122481	1	1	+	+	95173891	95246754	-3	unvalidated_caller_evidence	95117395	95173891	0	711	95246754	95247223	708	1188	05088e89-891d-4c66-8a89-3b7273cbb7c0	60	692	60	459	True	TLCD4	RWDD3			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.421346	LongGF	ENSG00000280800	ENSG00000148337	21	9	+	-	8211047	128166253	3	unvalidated_caller_evidence	8210803	8211047	11	252	128166074	128166253	255	434	66b15f57-70f0-4c5c-8fd7-032b4609f471	0	235	60	174	False		CIZ1			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.225834	Genion	ENSG00000117151	ENSG00000174021	1	1	-	-	84563247	84501968	1	observed exon-aligned boundaries; not exon-repaired; not conserved			0	824			825	1186	e69dae69-bc34-47e4-ba3e-1a10c8d4df8b	60	735	60	354	True	CTBS	GNG5	PASS:RT	pFAIL	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.473014	Genion	ENSG00000117151	ENSG00000174021	1	1	-	-	84563256	84501970	1	observed exon-aligned boundaries; not exon-repaired; not conserved			0	726			727	1087	e2d9d39b-99a2-484b-a956-6e17463fde26	60	705	60	346	True	CTBS	GNG5	PASS:RT	pFAIL	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.371274	Genion	ENSG00000117151	ENSG00000174021	1	1	-	-	84563254	84501970	-2	observed exon-aligned boundaries; not exon-repaired; not conserved			25	283			281	640	eacb1d33-43e5-444b-93fa-d09607d04793	60	247	53	355	True	CTBS	GNG5	PASS:RT	pFAIL	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.459810	Genion	ENSG00000117151	ENSG00000174021	1	1	-	-	84563259	84501970	3	observed exon-aligned boundaries; not exon-repaired; not conserved			0	597			600	958	1ce0ed33-9539-4f35-904e-405942ebe710	60	584	44	344	True	CTBS	GNG5	PASS:RT	pFAIL	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.362984	Genion	ENSG00000118640	ENSG00000168899	2	2	+	+	85581876	85591724	0	observed exon-aligned boundaries; not exon-repaired; not conserved			1	335			335	918	9a7682bb-51d1-42e4-8f81-d66328cba61f	60	323	60	566	True	VAMP8	VAMP5	PASS:RT	pFAIL	False
homo_sapiens	GRCh38	SRR31438987	SRR31438987.361891	Genion	ENSG00000250479	ENSG00000128218	22	22	-	-	23766127	23753198	0	observed exon-aligned boundaries; not exon-repaired; not conserved			0	454			454	895	6cb6faeb-2525-4439-9d02-bdb672ae0167	60	443	60	431	True	CHCHD10	VPREB3	PASS:RT	pFAIL	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1372087	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	-1	unvalidated_caller_evidence	27873896	27947975	5	1460	106071887	106075652	1459	2078	0c7e1ea4-ca6b-42bf-aae1-568c577eeac1	60	1389	60	601	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1534760	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947971	106071885	3	unvalidated_caller_evidence	27830896	27947971	0	1502	106071885	106075652	1505	2111	a5b53ed2-578b-4cdf-b008-c1f79cbe4788	60	1482	26	598	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1610012	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	-1	unvalidated_caller_evidence	27945364	27947975	14	1479	106071887	106075644	1478	2104	7a60d113-c855-491f-b996-7a5dbb3f35d9	54	1392	60	597	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1767033	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	5	unvalidated_caller_evidence	27946622	27947975	5	1022	106071887	106075652	1027	1663	83fd6b3a-175e-4058-83ce-4c8ac52ba41f	60	1001	60	613	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.404879	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947972	106071886	8	unvalidated_caller_evidence	27830857	27947972	19	1608	106071886	106075652	1616	2242	7d8839a9-33aa-4a26-9206-7a289f07b9c0	60	1544	60	610	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.433451	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947971	106071885	3	unvalidated_caller_evidence	27830769	27947971	0	1707	106071885	106075652	1710	2336	d5febb4c-9935-4ea6-bb39-746212f99aec	60	1642	60	615	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.642816	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071879	-9	unvalidated_caller_evidence	27947483	27947975	2	493	106071879	106075652	484	1123	13a5e095-59e6-4110-b903-1a1990e197f9	37	469	43	617	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.708113	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071886	4	unvalidated_caller_evidence	27947773	27947975	0	195	106071886	106075652	199	828	3ca8c2d3-282f-41b3-9cd4-56d0eda1e048	1	190	60	614	False		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.862987	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071885	0	unvalidated_caller_evidence	27947477	27947975	0	497	106071885	106075652	497	1131	14395781-c09f-4518-a5ff-b15d1a2a7546	60	486	60	615	True		PRSS2			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1019982	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360318	26360602	0	274	26643598	26670031	271	3118	abcf4a66-d9cc-4d5d-b7b7-15f5a6761aed	60	272	60	2781	True		PPM1B			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1481648	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360599	26643608	8	unvalidated_caller_evidence	26360331	26360599	19	285	26643608	26670031	293	3142	673a7a06-7837-4f55-8957-d4fb8f7715a1	60	247	60	2758	True		PPM1B			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1550894	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360273	26360602	1	311	26643598	26677330	308	2046	f806c3ae-7601-4f9c-81e0-0f5ef488bacf	60	307	60	1702	True		PPM1B			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.347997	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360314	26360602	0	289	26643598	26677135	286	9154	c0ae1384-69f3-490e-ac4d-a572ee860763	60	278	60	8684	True		PPM1B			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.393671	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360177	26360602	1	426	26643598	26670028	423	3254	de929781-ce5d-48f8-8b64-cfa42989a32d	60	413	60	2779	True		PPM1B			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1513538	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7618	71170638	13	unvalidated_caller_evidence	7135	7618	3	371	71170638	71172445	384	880	bcd55ad8-a639-4a3b-beb4-fe07122ad2f1	29	360	0	482	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1630667	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7633	71170635	-3	unvalidated_caller_evidence	7135	7633	2	381	71170635	71172439	378	874	7aec22b6-97ac-4806-992a-b03b887fbbf6	15	375	0	479	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1776464	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7634	71170638	1	unvalidated_caller_evidence	7131	7634	0	393	71170638	71172445	394	897	12bffd82-3337-4215-9ab8-2f8b16f12b90	37	377	0	490	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.197324	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7632	71170640	1	unvalidated_caller_evidence	7144	7632	6	384	71170640	71172443	385	882	48cf35ae-34d3-4eca-8fca-144ab0e0d22b	37	362	0	480	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.972221	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7633	71170633	-2	unvalidated_caller_evidence	7134	7633	2	375	71170633	71172440	373	878	95e51dbe-f7c9-48ad-ac4a-d2bb0a295209	26	370	0	495	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1366117	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825560	6825833	0	268	6876058	6915251	266	5470	d55e90c6-0ee1-46df-9217-c64bd0e970d8	60	263	60	5085	True		IL1R1			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1600833	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825832	6876058	2	unvalidated_caller_evidence	6825567	6825832	7	262	6876058	6915251	264	3817	51c04f94-3927-468e-a432-e463eff21743	60	245	60	3417	True		IL1R1			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.373214	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825562	6825833	1	264	6876058	6915249	262	3864	ecff268c-82a6-4e8b-a8ff-8a15702d1e09	60	254	60	3534	True		IL1R1			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.472740	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825560	6825833	0	270	6876058	6915249	268	3773	c1038f93-c042-4a5c-9cbd-f05059212259	60	262	60	3445	True		IL1R1			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.607733	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825827	6876070	13	unvalidated_caller_evidence	6825529	6825827	2	295	6876070	6915249	308	3795	6a9f83d2-3aa2-4bf7-b322-d7fd06a02489	60	283	60	3420	True		IL1R1			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1181999	LongGF	ENSBTAG00000056213	ENSBTAG00000004662	26	26	-	-	11177114	11125549	-1	unvalidated_caller_evidence	11177114	11206220	0	205	11102710	11125549	204	4321	06048203-fbf6-4c5b-9b28-f07c80f858c6	60	198	60	4013	True		SLC16A12			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.121646	LongGF	ENSBTAG00000056213	ENSBTAG00000004662	26	26	-	-	11177114	11125549	-1	unvalidated_caller_evidence	11177114	11206164	1	140	11118506	11125549	139	1683	8ef8c2a6-130e-4d1b-bb22-0ceefcfa5c09	15	136	60	1514	False		SLC16A12			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1475082	LongGF	ENSBTAG00000056213	ENSBTAG00000004662	26	26	-	-	11177114	11125549	-1	unvalidated_caller_evidence	11177114	11206352	0	324	11102710	11125549	323	4410	2eb779cc-2c22-4073-af34-6cae3392ee15	60	317	60	3990	True		SLC16A12			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.35863	LongGF	ENSBTAG00000056213	ENSBTAG00000004662	26	26	-	-	11177116	11125549	0	unvalidated_caller_evidence	11177116	11206167	7	151	11102710	11125549	151	4219	94870bdd-0354-47b9-b581-4576abacbfb1	57	141	60	3967	True		SLC16A12			
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1687048	LongGF	ENSBTAG00000049411	ENSBTAG00000074626	X	Y	+	-	138904041	1142014	-2	unvalidated_caller_evidence	138855839	138904041	2	327	1105594	1142014	325	1312	7fe78d86-f236-4382-8881-a04ebffaa279	13	321	22	971	False	DHRSX				
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1857236	LongGF	ENSBTAG00000049411	ENSBTAG00000074626	X	Y	+	-	138904041	1142014	-2	unvalidated_caller_evidence	138855855	138904041	0	304	1105594	1142014	302	1274	ebffb75d-52f2-4f21-8626-df793cf09ecc	13	303	10	953	False	DHRSX				
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.261348	LongGF	ENSBTAG00000049411	ENSBTAG00000074626	X	Y	+	-	138904041	1142014	-2	unvalidated_caller_evidence	138896907	138904041	131	303	1121579	1142014	301	986	d3354afa-c274-4074-8d7f-8f0ed49163ac	23	159	0	658	False	DHRSX				
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.292118	LongGF	ENSBTAG00000049411	ENSBTAG00000074626	X	Y	+	-	138904035	1142015	1	unvalidated_caller_evidence	138855865	138904035	7	314	1102628	1142015	315	1555	95e40968-7eb3-4668-a163-27197c6b256d	2	288	10	1176	False	DHRSX				
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1078291	LongGF	ENSBTAG00000050515	ENSBTAG00000064308	NKLS02001361.1	17	+	+	30108	71164401	4	unvalidated_caller_evidence	29816	30108	101	398	71164401	71166204	402	925	a948258e-804d-4907-9bba-4c15761df26b	47	281	1	492	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1755745	LongGF	ENSBTAG00000050515	ENSBTAG00000064308	NKLS02001361.1	17	+	+	30107	71164401	1	unvalidated_caller_evidence	29623	30107	5	369	71164401	71166207	370	865	6ffd30a0-4852-4cf3-ad9a-a94697455132	42	357	1	480	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.64414	LongGF	ENSBTAG00000050515	ENSBTAG00000064308	NKLS02001361.1	17	+	+	30112	71164412	8	unvalidated_caller_evidence	29612	30112	0	373	71164412	71166179	381	824	11983fe6-00c1-452a-8d7d-fa7f2d8be689	32	364	1	434	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.925605	LongGF	ENSBTAG00000050515	ENSBTAG00000064308	NKLS02001361.1	17	+	+	30107	71164402	8	unvalidated_caller_evidence	29611	30107	0	382	71164402	71166199	390	882	9041644e-b6f7-4e03-9728-a9e59832b5f6	60	379	1	481	False					
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1333081	LongGF	ENSBTAG00000001801	ENSBTAG00000060658	24	24	+	+	12655865	12715333	-5	unvalidated_caller_evidence	12650252	12655865	8	1181	12715333	12715481	1176	1321	81277469-6779-48a8-90e4-a5af6837f9a9	60	1152	60	145	True	SYT4				
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.162825	LongGF	ENSBTAG00000001801	ENSBTAG00000060658	24	24	+	+	12655865	12715333	-5	unvalidated_caller_evidence	12650297	12655865	3	1140	12715333	12715474	1135	1265	0350d2ef-3db8-455d-bc30-83e9a0f4b78e	60	1120	60	130	True	SYT4				
