sequence_id	role	sequence_sha256	length_aa	pfam_accession	pfam_name	description	hmm_length	hmm_start_1based	hmm_end_1based	hmm_coverage	sequence_start_1based	sequence_end_1based	envelope_start_1based	envelope_end_1based	sequence_span_coverage	sequence_bitscore	domain_bitscore	sequence_evalue	domain_independent_evalue	domain_conditional_evalue	sequence_GA_bitscore	domain_GA_bitscore	domain_number
control_05b3a7684b1f3ae50ccef172b8f09f9d5ff92206a5ada0db05750bfc827eb1db	parent_control	05b3a7684b1f3ae50ccef172b8f09f9d5ff92206a5ada0db05750bfc827eb1db	454	PF00017.31	SH2	SH2 domain	77	1	77	1.0	344	427	344	427	0.18502202643171806	42.955074310302734	42.03218460083008	1.4746679465475806e-12	2.862341077550615e-12	3.992107500070593e-14	21.0	21.0	1
control_05b3fd5ebc86f211f96ec9a0dd66977307db8a6a3ce3b5a9325f3853d5a43678	parent_control	05b3fd5ebc86f211f96ec9a0dd66977307db8a6a3ce3b5a9325f3853d5a43678	100	PF00169.36	PH	PH domain	105	2	72	0.6761904761904762	6	82	5	95	0.77	46.11157989501953	45.9273681640625	2.2184252208561037e-13	2.531381063379921e-13	3.5305175221477275e-15	25.100000381469727	25.100000381469727	1
control_05baf7248422cf32e3196038af7d9caf6bf281785fe8e59880148d56ea88e9a8	parent_control	05baf7248422cf32e3196038af7d9caf6bf281785fe8e59880148d56ea88e9a8	308	PF03821.23	Mtp	Golgi 4-transmembrane spanning transporter	229	29	94	0.28820960698689957	146	215	113	234	0.22727272727272727	78.20421600341797	26.446016311645508	2.6671523579570556e-23	1.7612705039900463e-07	7.369332652678018e-10	25.200000762939453	25.200000762939453	1
control_05baf7248422cf32e3196038af7d9caf6bf281785fe8e59880148d56ea88e9a8	parent_control	05baf7248422cf32e3196038af7d9caf6bf281785fe8e59880148d56ea88e9a8	308	PF03821.23	Mtp	Golgi 4-transmembrane spanning transporter	229	159	228	0.3056768558951965	236	306	216	307	0.2305194805194805	78.20421600341797	58.08351516723633	2.6671523579570556e-23	3.7661285178029514e-17	1.575785990712532e-19	25.200000762939453	25.200000762939453	2
control_05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	parent_control	05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	741	PF05279.17	Asp-B-Hydro_N	Aspartyl beta-hydroxylase N-terminal region	66	1	66	1.0	52	117	52	117	0.08906882591093117	146.5228271484375	145.55886840820312	6.089898394839881e-45	1.2176942396861465e-44	3.7363003170286225e-46	23.0	23.0	1
control_05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	parent_control	05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	741	PF13432.13	TPR_16	Tetratricopeptide repeat	65	1	61	0.9384615384615385	328	388	328	397	0.08232118758434548	38.47599411010742	27.356847763061523	4.592266121086736e-11	1.3837843757674878e-07	1.7369678356914072e-09	32.70000076293945	15.5	1
control_05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	parent_control	05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	741	PF13174.13	TPR_6	Tetratricopeptide repeat	33	10	33	0.7272727272727273	334	357	326	357	0.032388663967611336	36.45037078857422	17.256221771240234	1.6921906832272257e-10	0.0002240923688690627	1.2501666324633901e-06	26.299999237060547	12.199999809265137	1
control_05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	parent_control	05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	741	PF13181.13	TPR_8	Tetratricopeptide repeat	34	11	34	0.7058823529411765	447	470	439	470	0.032388663967611336	26.398433685302734	13.043285369873047	1.811983629978968e-07	0.0034882373789609537	4.8650451589413586e-05	25.700000762939453	11.800000190734863	3
control_05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	parent_control	05eadf9ea9ebf30e3c8425ae0dae43789a328c062860a8db3c5b1193443c57b1	741	PF05118.22	Asp_Arg_Hydrox	Aspartyl/Asparaginyl beta-hydroxylase	157	1	157	1.0	574	728	574	728	0.20917678812415655	191.2824249267578	190.41505432128906	3.691711454926337e-58	6.826328834434416e-58	2.8562045332361577e-60	22.600000381469727	22.600000381469727	1
control_061ec3e1904b8a8166ac281699fd9e7c1be70afbdd566ff01fbc9ae1213e06a1	parent_control	061ec3e1904b8a8166ac281699fd9e7c1be70afbdd566ff01fbc9ae1213e06a1	272	PF05279.17	Asp-B-Hydro_N	Aspartyl beta-hydroxylase N-terminal region	66	1	66	1.0	14	79	14	79	0.2426470588235294	148.49253845214844	147.6636199951172	1.4781089966923113e-45	2.6821178128846233e-45	8.229650192951425e-47	23.0	23.0	1
control_06c4ed338cf67897369e74de3506192a48c8297293f142ca2f53ff27d807f39d	parent_control	06c4ed338cf67897369e74de3506192a48c8297293f142ca2f53ff27d807f39d	64	PF05279.17	Asp-B-Hydro_N	Aspartyl beta-hydroxylase N-terminal region	66	17	65	0.7424242424242424	1	64	1	64	1.0	97.37407684326172	96.14127349853516	1.3422850425687024e-29	3.2561225570426833e-29	9.990892085765556e-31	23.0	23.0	1
control_07e8f24c6382fecf5560d285fba0a23cae6b9e863fc68c4915b43fe42c325369	parent_control	07e8f24c6382fecf5560d285fba0a23cae6b9e863fc68c4915b43fe42c325369	189	PF03134.25	TB2_DP1_HVA22	TB2/DP1, HVA22 family	77	1	77	1.0	67	144	67	144	0.4126984126984127	112.51954650878906	111.79598999023438	2.5597879621159466e-34	4.305440129094702e-34	2.4019191794112703e-36	27.200000762939453	27.200000762939453	1
control_086fa607deb305525f71ed46e3a84fd9ba76d0834b3c0dd1a2f6806c5856dc0f	parent_control	086fa607deb305525f71ed46e3a84fd9ba76d0834b3c0dd1a2f6806c5856dc0f	309	PF07686.24	V-set	Immunoglobulin V-set domain	109	9	108	0.9174311926605505	45	167	36	168	0.39805825242718446	37.80564498901367	35.90364456176758	6.885145917303028e-11	2.685155398147594e-10	5.6174799124426664e-12	26.0	26.0	1
control_09b7cf75339fd62d560e7c568eaa92fc82c5a2aed3e8e29c608ae6318ea4fc94	parent_control	09b7cf75339fd62d560e7c568eaa92fc82c5a2aed3e8e29c608ae6318ea4fc94	200	PF00566.26	RabGAP-TBC	Rab-GTPase-TBC domain	216	2	170	0.7824074074074074	48	200	47	200	0.765	47.6041374206543	47.22823715209961	6.146071407154769e-14	8.009371282470795e-14	5.585335622364571e-16	25.200000762939453	25.200000762939453	1
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF12763.14	EH	EH domain	101	4	82	0.7821782178217822	20	96	17	111	0.0447934845840605	134.4787139892578	62.579193115234375	4.213426508885428e-41	1.052981083912989e-18	1.6154521510520058e-20	22.0	22.0	1
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF12763.14	EH	EH domain	101	6	75	0.693069306930693	222	292	217	310	0.04130308318789994	134.4787139892578	68.36168670654297	4.213426508885428e-41	1.6637443887765516e-20	2.5524669841760203e-22	22.0	22.0	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF07653.24	SH3_2	Variant SH3 domain	55	1	53	0.9636363636363636	742	800	742	802	0.03432228039557882	191.11923217773438	23.679990768432617	5.860930323472244e-59	1.137102444262243e-06	2.061692018885517e-08	21.799999237060547	21.799999237060547	1
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00018.35	SH3_1	SH3 domain	48	1	48	1.0	744	796	744	796	0.030831878999418267	195.52438354492188	29.43707847595215	2.256424058657891e-60	1.7063016386353575e-08	3.3316907867357053e-10	22.899999618530273	22.899999618530273	1
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF14604.13	SH3_9	Variant SH3 domain	49	1	47	0.9591836734693877	745	798	745	800	0.031413612565445025	199.6205291748047	42.74900817871094	1.4243903663890722e-61	1.4199837986248128e-12	2.3765419223846237e-14	30.0	30.0	1
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF16617.11	INTAP	Intersectin and clathrin adaptor AP2 binding region	115	1	115	1.0	801	915	801	915	0.06689936009307737	180.47775268554688	180.47775268554688	4.524518729258399e-55	4.524518729258399e-55	4.4172428319119653e-57	25.0	25.0	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00018.35	SH3_1	SH3 domain	48	1	48	1.0	917	961	917	961	0.02617801047120419	195.52438354492188	43.08515548706055	2.256424058657891e-60	9.310542236516798e-13	1.8179580378136008e-14	22.899999618530273	22.899999618530273	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF14604.13	SH3_9	Variant SH3 domain	49	1	49	1.0	918	965	918	965	0.027923211169284468	199.6205291748047	39.41923141479492	1.4243903663890722e-61	1.557168660340912e-11	2.606140017306966e-13	30.0	30.0	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF07653.24	SH3_2	Variant SH3 domain	55	9	54	0.8363636363636363	923	966	916	967	0.025596276905177427	191.11923217773438	40.121707916259766	5.860930323472244e-59	8.344288689281063e-12	1.5129114778333866e-13	21.799999237060547	21.799999237060547	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00018.35	SH3_1	SH3 domain	48	1	48	1.0	1006	1050	1006	1050	0.02617801047120419	195.52438354492188	40.58590316772461	2.256424058657891e-60	5.618695250528881e-12	1.097095306937299e-13	22.899999618530273	22.899999618530273	3
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF07653.24	SH3_2	Variant SH3 domain	55	3	53	0.9272727272727272	1006	1054	1005	1055	0.028504944735311226	191.11923217773438	39.00542449951172	5.860930323472244e-59	1.8620086090260256e-11	3.376026766713854e-13	21.799999237060547	21.799999237060547	3
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF14604.13	SH3_9	Variant SH3 domain	49	1	48	0.9795918367346939	1007	1053	1007	1054	0.027341477603257707	199.6205291748047	32.22977828979492	1.4243903663890722e-61	2.7412823254573707e-09	4.5879202099704944e-11	30.0	30.0	3
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF07653.24	SH3_2	Variant SH3 domain	55	2	54	0.9636363636363636	1077	1133	1076	1134	0.03315881326352531	191.11923217773438	38.01796340942383	5.860930323472244e-59	3.787437577491384e-11	6.867041632829567e-13	21.799999237060547	21.799999237060547	4
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00018.35	SH3_1	SH3 domain	48	2	48	0.9791666666666666	1079	1128	1078	1128	0.029086678301337987	195.52438354492188	30.50014877319336	2.256424058657891e-60	7.943240306296852e-09	1.550981370825048e-10	22.899999618530273	22.899999618530273	4
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF14604.13	SH3_9	Variant SH3 domain	49	1	49	1.0	1079	1132	1079	1132	0.031413612565445025	199.6205291748047	31.71927261352539	1.4243903663890722e-61	3.9573975107633755e-09	6.623259432239959e-11	30.0	30.0	4
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00018.35	SH3_1	SH3 domain	48	3	48	0.9583333333333334	1161	1204	1159	1204	0.025596276905177427	195.52438354492188	59.0140266418457	2.256424058657891e-60	9.85078213640377e-18	1.9234442107343485e-19	22.899999618530273	22.899999618530273	5
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF14604.13	SH3_9	Variant SH3 domain	49	2	49	0.9795918367346939	1161	1208	1161	1208	0.027923211169284468	199.6205291748047	56.075782775878906	1.4243903663890722e-61	9.765160371432334e-17	1.6343364638380475e-18	30.0	30.0	5
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF07653.24	SH3_2	Variant SH3 domain	55	7	53	0.8545454545454545	1163	1208	1156	1210	0.02675974403723095	191.11923217773438	48.435691833496094	5.860930323472244e-59	2.1139906139579594e-14	3.8328979053631064e-16	21.799999237060547	21.799999237060547	5
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00621.26	RhoGEF	RhoGEF domain	180	2	180	0.9944444444444445	1240	1419	1239	1419	0.10471204188481675	164.39031982421875	164.39031982421875	1.176963675365653e-49	1.176963675365653e-49	3.283022804367233e-52	27.600000381469727	27.600000381469727	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF16652.12	PH_13	Pleckstrin homology domain	154	1	154	1.0	1438	1591	1438	1591	0.089586969168121	273.94500732421875	273.94500732421875	1.281046476604214e-83	1.281046476604214e-83	3.573351399174935e-86	27.0	27.0	2
control_0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	parent_control	0aa9792e4e97a8890cb63329db82622ff333323a283ed43511ac91db0c4a42c6	1719	PF00168.37	C2	C2 domain	104	1	98	0.9423076923076923	1594	1689	1594	1695	0.055846422338568937	82.33122253417969	81.19132995605469	9.51649109499103e-25	2.153966350361599e-24	1.5020685846315196e-26	22.0	9.600000381469727	1
control_0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	parent_control	0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	618	PF02825.27	WWE	WWE domain	67	1	67	1.0	20	97	20	97	0.1262135922330097	116.31668090820312	55.333702087402344	2.2506432016849708e-35	2.449917376967692e-16	2.0501400644081106e-18	21.100000381469727	21.100000381469727	1
control_0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	parent_control	0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	618	PF02825.27	WWE	WWE domain	67	1	67	1.0	110	174	110	174	0.10517799352750809	116.31668090820312	58.748226165771484	2.2506432016849708e-35	2.1049961729244813e-17	1.7615030735769717e-19	21.100000381469727	21.100000381469727	2
control_0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	parent_control	0ab423d62fb062c7d97b0fbe3f1aa72569a12492073a9b28e8d03b4eab0c68ac	618	PF18102.7	DTC	Deltex C-terminal domain	133	1	133	1.0	476	610	476	610	0.21844660194174756	193.53977966308594	192.8750457763672	5.503917182316576e-59	8.83214827108026e-59	3.695459527648645e-61	25.0	25.0	1
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	126	416	125	417	0.1357276119402985	903.4522094726562	248.67465209960938	1.9437897023701333e-275	1.7872359484726248e-75	5.234582275861244e-77	25.0	25.0	1
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF00520.38	Ion_trans	Ion transport protein	243	3	239	0.9753086419753086	524	759	522	762	0.11007462686567164	903.4522094726562	219.3030548095703	1.9437897023701333e-275	1.6673220341831232e-66	4.883369974594922e-68	25.0	25.0	2
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF00520.38	Ion_trans	Ion transport protein	243	1	242	0.9958847736625515	885	1162	885	1163	0.1296641791044776	903.4522094726562	216.69021606445312	1.9437897023701333e-275	1.0470281585902132e-65	3.0666096695110843e-67	25.0	25.0	3
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF00520.38	Ion_trans	Ion transport protein	243	2	242	0.9917695473251029	1205	1459	1204	1460	0.11893656716417911	903.4522094726562	237.78802490234375	1.9437897023701333e-275	3.7745556814473027e-72	1.1055184004238962e-73	25.0	25.0	4
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF08016.19	PKD_channel	Polycystin cation channel	225	93	223	0.5822222222222222	1293	1453	1284	1455	0.07509328358208955	51.16610336303711	31.77165412902832	4.280851303690126e-15	3.6405665438974756e-09	1.0662747199699719e-10	22.399999618530273	22.399999618530273	10
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF16905.11	GPHH	Voltage-dependent L-type calcium channel, IQ-associated	54	1	54	1.0	1469	1522	1469	1522	0.025186567164179104	100.7335205078125	99.2205581665039	1.1327532632797382e-30	3.362239442024331e-30	9.847563219318123e-32	26.799999237060547	26.799999237060547	1
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF08763.18	Ca_chan_IQ	Voltage gated calcium channel IQ domain	77	1	77	1.0	1532	1606	1532	1606	0.034981343283582086	105.56336212158203	104.15786743164062	4.970138155234585e-32	1.3646050796029226e-31	3.9967512791717395e-33	26.700000762939453	26.700000762939453	1
control_0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	parent_control	0af4b20b98fdb9029e65a85f53d9e56531ac5d4121a62ad5472ef6c7e9aca280	2144	PF16885.12	CAC1F_C	Voltage-gated calcium channel subunit alpha, C-term	298	74	296	0.7483221476510067	1884	2142	1872	2144	0.12080223880597014	146.6162872314453	140.5486297607422	3.9691987233617344e-44	2.7979445700532064e-42	2.341376209249545e-44	20.399999618530273	20.399999618530273	1
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF12763.14	EH	EH domain	101	4	82	0.7821782178217822	20	96	17	111	0.044924154025670945	134.49122619628906	62.58404541015625	4.175780694317021e-41	1.0493225510272353e-18	1.6098393390933876e-20	22.0	22.0	1
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF12763.14	EH	EH domain	101	6	75	0.693069306930693	222	292	217	310	0.041423570595099185	134.49122619628906	68.36650848388672	4.175780694317021e-41	1.6580000808728825e-20	2.5436542384381736e-22	22.0	22.0	2
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF07653.24	SH3_2	Variant SH3 domain	55	1	53	0.9636363636363636	742	795	742	797	0.03150525087514586	193.69906616210938	24.714157104492188	9.169326532816411e-60	5.405684636991167e-07	9.80110185228524e-09	21.799999237060547	21.799999237060547	1
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF00018.35	SH3_1	SH3 domain	48	1	48	1.0	744	791	744	791	0.028004667444574097	205.96688842773438	38.35694122314453	1.2348800217593997e-63	2.7916998431064908e-11	5.451017824754654e-13	22.899999618530273	22.899999618530273	1
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF14604.13	SH3_9	Variant SH3 domain	49	1	47	0.9591836734693877	745	793	745	795	0.028588098016336057	203.59161376953125	45.75886917114258	8.18964236776404e-63	1.629883181613422e-13	2.7278379608592834e-15	30.0	30.0	1
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF16617.11	INTAP	Intersectin and clathrin adaptor AP2 binding region	115	1	115	1.0	796	910	796	910	0.06709451575262544	180.48268127441406	180.48268127441406	4.508617096186765e-55	4.508617096186765e-55	4.401718225007999e-57	25.0	25.0	2
control_0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	parent_control	0b12844861aea32af6187a950713e82b4d381a3e2451cfe27eda4e5e58f72c96	1714	PF00018.35	SH3_1	SH3 domain	48	1	48	1.0	912	956	912	956	0.026254375729288213	205.96688842773438	43.08970260620117	1.2348800217593997e-63	9.280142548281208e-13	1.8120222548945175e-14	22.899999618530273	22.899999618530273	2
