orf_id	peptide_id	parent_transcript_id	parent_control_id	pfam_accession	pfam_name	parent_domain_start_1based	parent_domain_end_1based	parent_domain_hmm_coverage	retained_aligned_span_fraction	candidate_intervals_1based_inclusive	retention_status	interpretation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF01909.30	NTP_transf_2	50	107	0.5698924731182796	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF10421.15	OAS1_C	165	348	0.9840425531914894	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000115547.9	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00664.29	ABC_membrane	179	446	0.9963503649635036	0.0708955223880597	[[179, 197]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000115547.9	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00664.29	ABC_membrane	859	1140	0.9890510948905109	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000115547.9	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00005.34	ABC_tran	579	712	0.9854014598540146	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f8f8a7976634ab0b48ca9ea49a1851ca55c0dc6137c6fba102570476acd97597	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000115547.9	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00005.34	ABC_tran	1209	1357	1.0	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_612f638ddd0cb6be43cbbfb68f477ee47153bdb53327f41a306395dc4f92f43f	peptide_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	ENSMUST00000022722.7	control_9f85adb8253c89847663013745920bdcc9bbf25f7153a8b99adebc08a8f792c2	PF19305.5	MmgE_PrpD_C	274	447	0.9942196531791907	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_612f638ddd0cb6be43cbbfb68f477ee47153bdb53327f41a306395dc4f92f43f	peptide_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	ENSMUST00000022722.7	control_9f85adb8253c89847663013745920bdcc9bbf25f7153a8b99adebc08a8f792c2	PF03972.20	MmgE_PrpD_N	9	249	0.9713114754098361	0.6141078838174274	[[9, 156]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_612f638ddd0cb6be43cbbfb68f477ee47153bdb53327f41a306395dc4f92f43f	peptide_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	ENSMUST00000089620.11	control_971643a7a6b3dc89f0c944f9560776ab9311cea51c0d0191e4ad271d724de080	PF07686.24	V-set	30	118	0.8073394495412844	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_9a84a32ccbb5f62c254f662411ad245beb0659ceacf60aa01bde17be70a0a751	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000002172.14	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_9a84a32ccbb5f62c254f662411ad245beb0659ceacf60aa01bde17be70a0a751	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000114379.8	control_f221b19748dc8d17c4ebdd2f1b57148abbfac1dbd9cf5e206e872e9ada709ed3	PF07221.18	GlcNAc_2-epim	59	373	0.899135446685879	0.7365079365079366	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_78cd9572b3088abb10da2e4c1ea5a6452daa006e829afa225ff6a82e9f07270f	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000002172.14	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_78cd9572b3088abb10da2e4c1ea5a6452daa006e829afa225ff6a82e9f07270f	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000116578.8	control_cca55e69baa29342dd2ed300569f0380855c6e2f3edfc90359f7f9bc084418a5	PF07221.18	GlcNAc_2-epim	48	387	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_25dbf392eaa5c84df209506657052ff4ac3bb720aa73997ac62f255210e03352	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000002172.14	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_25dbf392eaa5c84df209506657052ff4ac3bb720aa73997ac62f255210e03352	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000155597.2	control_59f3187a933c6f544e5dae5c3a8003b5441eea8a0c323c0fb3d8e8ec7ebed370	PF07221.18	GlcNAc_2-epim	37	376	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_04affeb52b2dd54af899a2f338ef09d300f7c3a627342c3140c7599d7a6bc1bd	peptide_d7cfe4bcbfc06555a21a4e31ff58a6da16586e2dc7c03042c57eaf3dbcea97a8	ENSMUST00000114379.8	control_f221b19748dc8d17c4ebdd2f1b57148abbfac1dbd9cf5e206e872e9ada709ed3	PF07221.18	GlcNAc_2-epim	59	373	0.899135446685879	0.7365079365079366	[[181, 412]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_2c6c64cb4a5530a7bfed0fdfdf87e034dd83f1357a0c68901d5cc2b7e5ccc322	peptide_d7cfe4bcbfc06555a21a4e31ff58a6da16586e2dc7c03042c57eaf3dbcea97a8	ENSMUST00000116578.8	control_cca55e69baa29342dd2ed300569f0380855c6e2f3edfc90359f7f9bc084418a5	PF07221.18	GlcNAc_2-epim	48	387	0.9740634005763689	0.6823529411764706	[[181, 412]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_925fcf7734d98150f688f7c58c87164132aa8b36c4f2885f04f9c6982efe4076	peptide_d7cfe4bcbfc06555a21a4e31ff58a6da16586e2dc7c03042c57eaf3dbcea97a8	ENSMUST00000155597.2	control_59f3187a933c6f544e5dae5c3a8003b5441eea8a0c323c0fb3d8e8ec7ebed370	PF07221.18	GlcNAc_2-epim	37	376	0.9740634005763689	0.6823529411764706	[[181, 412]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_e4628c5a35d9d37e73b9c178773fff177ff5ca0d86e879edd06504620cbce9d5	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000114379.8	control_f221b19748dc8d17c4ebdd2f1b57148abbfac1dbd9cf5e206e872e9ada709ed3	PF07221.18	GlcNAc_2-epim	59	373	0.899135446685879	0.7365079365079366	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_e4628c5a35d9d37e73b9c178773fff177ff5ca0d86e879edd06504620cbce9d5	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000238832.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_ab921d28d6758aa53505625eff643eaffca12d55cbb0f207779404ed4a32e4b2	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000116578.8	control_cca55e69baa29342dd2ed300569f0380855c6e2f3edfc90359f7f9bc084418a5	PF07221.18	GlcNAc_2-epim	48	387	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_ab921d28d6758aa53505625eff643eaffca12d55cbb0f207779404ed4a32e4b2	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000238832.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_60c18bcf42f68f4f4c117d59f7877fb16b76592d8f9f85df997e4a324e6fa0a7	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000155597.2	control_59f3187a933c6f544e5dae5c3a8003b5441eea8a0c323c0fb3d8e8ec7ebed370	PF07221.18	GlcNAc_2-epim	37	376	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_60c18bcf42f68f4f4c117d59f7877fb16b76592d8f9f85df997e4a324e6fa0a7	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000238832.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_db90fce85aa2d85ef5b78f16e5c64c6434db0145b4f06dcabd08dce7e964ee06	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000114379.8	control_f221b19748dc8d17c4ebdd2f1b57148abbfac1dbd9cf5e206e872e9ada709ed3	PF07221.18	GlcNAc_2-epim	59	373	0.899135446685879	0.7365079365079366	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_db90fce85aa2d85ef5b78f16e5c64c6434db0145b4f06dcabd08dce7e964ee06	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000239169.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f9bbeeeb49f73dc8af9cdcd68564c54536f5567f0e063ecb21036e8d1c14cdcb	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000116578.8	control_cca55e69baa29342dd2ed300569f0380855c6e2f3edfc90359f7f9bc084418a5	PF07221.18	GlcNAc_2-epim	48	387	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f9bbeeeb49f73dc8af9cdcd68564c54536f5567f0e063ecb21036e8d1c14cdcb	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000239169.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_2bc5cf702376f3c36e6dd758ea9678c3b7f84a6b62d486aafdf36dadcce033ec	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000155597.2	control_59f3187a933c6f544e5dae5c3a8003b5441eea8a0c323c0fb3d8e8ec7ebed370	PF07221.18	GlcNAc_2-epim	37	376	0.9740634005763689	0.6823529411764706	[[214, 445]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_2bc5cf702376f3c36e6dd758ea9678c3b7f84a6b62d486aafdf36dadcce033ec	peptide_3eea41dc2191758bba2af58f9efccf8e359349d6a85ff027e916d63e125531f4	ENSMUST00000239169.2	control_76f4cb4c2952b816df6ee32d1d82107e7beb46065f64b02ebb590dc83fb204c4	PF00328.28	His_Phos_2	33	329	0.9943502824858758	0.6094276094276094	[[33, 213]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_4220c8ab91d23e4977794cd2ce935744f6e66fd0c58896cf20a6316a4f5a9c1d	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF00657.29	Lipase_GDSL	256	541	0.9951923076923077	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_4220c8ab91d23e4977794cd2ce935744f6e66fd0c58896cf20a6316a4f5a9c1d	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF03489.23	SapB_2	81	113	0.9705882352941176	1.0	[[81, 113]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_4220c8ab91d23e4977794cd2ce935744f6e66fd0c58896cf20a6316a4f5a9c1d	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF20825.3	Saposin	40	169	0.9923664122137404	0.6923076923076923	[[40, 129]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_4220c8ab91d23e4977794cd2ce935744f6e66fd0c58896cf20a6316a4f5a9c1d	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000088494.3	control_b26ec3b6f3a11b387fd16a3539b5e60dd5d16768da65f5a9b0d770f12fd9cebc	PF06726.18	BC10	1	65	1.0	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_87bbfa8c07af3fa56e78144a2ad197ca0b044be8272744e80333b3960809d3b4	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF00657.29	Lipase_GDSL	256	541	0.9951923076923077	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_87bbfa8c07af3fa56e78144a2ad197ca0b044be8272744e80333b3960809d3b4	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF03489.23	SapB_2	81	113	0.9705882352941176	1.0	[[81, 113]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_87bbfa8c07af3fa56e78144a2ad197ca0b044be8272744e80333b3960809d3b4	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF20825.3	Saposin	40	169	0.9923664122137404	0.6923076923076923	[[40, 129]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_87bbfa8c07af3fa56e78144a2ad197ca0b044be8272744e80333b3960809d3b4	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000109528.9	control_b26ec3b6f3a11b387fd16a3539b5e60dd5d16768da65f5a9b0d770f12fd9cebc	PF06726.18	BC10	1	65	1.0	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_3e8465bae8eaa260040475ce0c51e251ea57e883c75e23cbc7f0074bdd9b95c0	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF00657.29	Lipase_GDSL	256	541	0.9951923076923077	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_3e8465bae8eaa260040475ce0c51e251ea57e883c75e23cbc7f0074bdd9b95c0	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF03489.23	SapB_2	81	113	0.9705882352941176	1.0	[[81, 113]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_3e8465bae8eaa260040475ce0c51e251ea57e883c75e23cbc7f0074bdd9b95c0	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF20825.3	Saposin	40	169	0.9923664122137404	0.6923076923076923	[[40, 129]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f0a3ea13dc80f5f3ead53b935c2f36353da38ab216d077448021669277c2295f	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF00657.29	Lipase_GDSL	256	541	0.9951923076923077	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f0a3ea13dc80f5f3ead53b935c2f36353da38ab216d077448021669277c2295f	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF03489.23	SapB_2	81	113	0.9705882352941176	1.0	[[81, 113]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f0a3ea13dc80f5f3ead53b935c2f36353da38ab216d077448021669277c2295f	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000021757.5	control_a1696802f8ab76cdec94ce4d2cf6920ae5d8b39b11d5fde6b2a7f7a41b786ac9	PF20825.3	Saposin	40	169	0.9923664122137404	0.6923076923076923	[[40, 129]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_855fdd6439f3ba34917fcaf013ddf74538417be5f345ac99f92612c2cbded8bb	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000088494.3	control_b26ec3b6f3a11b387fd16a3539b5e60dd5d16768da65f5a9b0d770f12fd9cebc	PF06726.18	BC10	1	65	1.0	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_855fdd6439f3ba34917fcaf013ddf74538417be5f345ac99f92612c2cbded8bb	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000221982.2	control_323dd6e6cad9923d26ad23b4e30379411cecc53c7e5d391f91db91403ba405bf	PF03489.23	SapB_2	81	113	0.9705882352941176	1.0	[[81, 113]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_855fdd6439f3ba34917fcaf013ddf74538417be5f345ac99f92612c2cbded8bb	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	ENSMUST00000221982.2	control_323dd6e6cad9923d26ad23b4e30379411cecc53c7e5d391f91db91403ba405bf	PF20825.3	Saposin	40	134	0.7251908396946565	0.9473684210526315	[[40, 129]]	at_least_90pct_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
