pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	parent_a_mgi_ids	parent_b_mgi_ids	parent_a_mapping	parent_b_mapping	chromosome_a	chromosome_b	species	assembly	annotation	long_read_support	sample_count	sample_count_status	is_interchromosomal	genomic_distance	in_probe_panel	label	reported_nanostring_support	short_read_reported_support	cross_reported_support	caller_names	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url	score_rna_refit	score_status	read_support_outside_training_range	genomic_distance_outside_training_range	rank
Fth1:Ccl5	Fth1	Ccl5	ENSMUSG00000024661.8	ENSMUSG00000035042.3	MGI:95588	MGI:98262	unique_gencode_gene	unique_gencode_gene	chr19	chr11	Mus musculus	GRCm39	GENCODE M28	53.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999660769984083	exploratory_outside_selected_probe_panel_not_validated	True	False	11
Rtl8c:4933416I08Rik	Rtl8c	4933416I08Rik	ENSMUSG00000051851.6	ENSMUSG00000079593.12	MGI:1920115	MGI:1918409	unique_gencode_gene	unique_gencode_gene	chrX	chrX	Mus musculus	GRCm39	GENCODE M28	66.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999609699477999	exploratory_outside_selected_probe_panel_not_validated	True	False	12
Fth1:B2m	Fth1	B2m	ENSMUSG00000024661.8	ENSMUSG00000060802.9	MGI:95588	MGI:88127	unique_gencode_gene	unique_gencode_gene	chr19	chr2	Mus musculus	GRCm39	GENCODE M28	50.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999586265198853	exploratory_outside_selected_probe_panel_not_validated	True	False	13
Fth1:Saa3	Fth1	Saa3	ENSMUSG00000024661.8	ENSMUSG00000040026.9	MGI:95588	MGI:98223	unique_gencode_gene	unique_gencode_gene	chr19	chr7	Mus musculus	GRCm39	GENCODE M28	48.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999524585192053	exploratory_outside_selected_probe_panel_not_validated	True	False	14
Hotairm1:Gm15050	Hotairm1	Gm15050	ENSMUSG00000087658.3	ENSMUSG00000087626.2	MGI:3705155	MGI:3705180	unique_gencode_gene	unique_gencode_gene	chr6	chr6	Mus musculus	GRCm39	GENCODE M28	54.0		unavailable_read_to_sample_mapping	0	10762	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999458684293422	exploratory_outside_selected_probe_panel_not_validated	True	False	15
Gm15726:G530011O06Rik	Gm15726	G530011O06Rik	ENSMUSG00000087263.2	ENSMUSG00000072844.7	MGI:3783169	MGI:3603513	unique_gencode_gene	unique_gencode_gene	chrX	chrX	Mus musculus	GRCm39	GENCODE M28	51.0		unavailable_read_to_sample_mapping	0	130	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999220189050687	exploratory_outside_selected_probe_panel_not_validated	True	False	16
H2-T23:A930015D03Rik	H2-T23	A930015D03Rik	ENSMUSG00000067212.9	ENSMUSG00000092368.2	MGI:95957	MGI:1925060	unique_gencode_gene	unique_gencode_gene	chr17	chr17	Mus musculus	GRCm39	GENCODE M28	51.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999058682052246	exploratory_outside_selected_probe_panel_not_validated	True	False	17
Gmds:Gm15160	Gmds	Gm15160	ENSMUSG00000038372.15	ENSMUSG00000081386.2	MGI:1891112	MGI:3705557	unique_gencode_gene	unique_gencode_gene	chr13	chrX	Mus musculus	GRCm39	GENCODE M28	39.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	LongGF	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.99990379123666	exploratory_outside_selected_probe_panel_not_validated	True	False	18
Srp54c:Gm49376	Srp54c	Gm49376	ENSMUSG00000079108.7	ENSMUSG00000112368.2	MGI:3714359	MGI:6121596	unique_gencode_gene	unique_gencode_gene	chr12	chr12	Mus musculus	GRCm39	GENCODE M28	45.0		unavailable_read_to_sample_mapping	0	11545	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.999899577030212	exploratory_outside_selected_probe_panel_not_validated	True	False	19
Steep1:Gm14549	Steep1	Gm14549	ENSMUSG00000006423.16	ENSMUSG00000084990.2	MGI:1924894	MGI:3705175	unique_gencode_gene	unique_gencode_gene	chrX	chrX	Mus musculus	GRCm39	GENCODE M28	42.0		unavailable_read_to_sample_mapping	0	6537	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9998702518192425	exploratory_outside_selected_probe_panel_not_validated	True	False	20
Zfp800:Gm42547	Zfp800	Gm42547	ENSMUSG00000039841.15	ENSMUSG00000106990.2	MGI:1889334	MGI:5662684	unique_gencode_gene	unique_gencode_gene	chr6	chr6	Mus musculus	GRCm39	GENCODE M28	41.0		unavailable_read_to_sample_mapping	0	25122	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9998663329698	exploratory_outside_selected_probe_panel_not_validated	True	False	21
Ms4a6c:Gm8369	Ms4a6c	Gm8369	ENSMUSG00000079419.5	ENSMUSG00000058470.11	MGI:2385644	MGI:3645380	unique_gencode_gene	unique_gencode_gene	chr19	chr19	Mus musculus	GRCm39	GENCODE M28	40.0		unavailable_read_to_sample_mapping	0	3746	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9998435851426701	exploratory_outside_selected_probe_panel_not_validated	True	False	22
Fth1:Lgals3	Fth1	Lgals3	ENSMUSG00000024661.8	ENSMUSG00000050335.18	MGI:95588	MGI:96778	unique_gencode_gene	unique_gencode_gene	chr19	chr14	Mus musculus	GRCm39	GENCODE M28	28.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9997060455065485	exploratory_outside_selected_probe_panel_not_validated	True	False	23
Gm21769:Gm21811	Gm21769	Gm21811	ENSMUSG00000110458.2	ENSMUSG00000096401.3	MGI:5433933	MGI:5433975	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	31.0		unavailable_read_to_sample_mapping	0	14008	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9996484619812217	exploratory_outside_selected_probe_panel_not_validated	True	False	24
Zhx1:9130401M01Rik	Zhx1	9130401M01Rik	ENSMUSG00000022361.15	ENSMUSG00000101892.2	MGI:109271	MGI:1923008	unique_gencode_gene	unique_gencode_gene	chr15	chr15	Mus musculus	GRCm39	GENCODE M28	31.0		unavailable_read_to_sample_mapping	0	12678	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9996471058121408	exploratory_outside_selected_probe_panel_not_validated	True	False	25
Ccl5:Heatr9	Ccl5	Heatr9	ENSMUSG00000035042.3	ENSMUSG00000018925.4	MGI:98262	MGI:3650286	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	29.0		unavailable_read_to_sample_mapping	0	3603	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9995364937693008	exploratory_outside_selected_probe_panel_not_validated	True	False	26
Ccl3:Ccl4	Ccl3	Ccl4	ENSMUSG00000000982.6	ENSMUSG00000018930.4	MGI:98260	MGI:98261	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	28.0		unavailable_read_to_sample_mapping	0	13229	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9995041174074132	exploratory_outside_selected_probe_panel_not_validated	True	False	27
Mid1-ps1:Gm21860	Mid1-ps1	Gm21860	ENSMUSG00000095134.3	ENSMUSG00000095366.3	MGI:5780070	MGI:5434024	unique_gencode_gene	unique_gencode_gene	chrY	chrY	Mus musculus	GRCm39	GENCODE M28	30.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.999432611534614	exploratory_outside_selected_probe_panel_not_validated	True	False	28
Ftl1:Lgals3	Ftl1	Lgals3	ENSMUSG00000050708.17	ENSMUSG00000050335.18	MGI:95589	MGI:96778	unique_gencode_gene	unique_gencode_gene	chr7	chr14	Mus musculus	GRCm39	GENCODE M28	22.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.999342606301617	exploratory_outside_selected_probe_panel_not_validated	True	False	29
Ndufa13:Yjefn3	Ndufa13	Yjefn3	ENSMUSG00000036199.10	ENSMUSG00000048967.17	MGI:1914434	MGI:2681845	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	28.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9992847975182182	exploratory_outside_selected_probe_panel_not_validated	True	False	30
Ftl1:B2m	Ftl1	B2m	ENSMUSG00000050708.17	ENSMUSG00000060802.9	MGI:95589	MGI:88127	unique_gencode_gene	unique_gencode_gene	chr7	chr2	Mus musculus	GRCm39	GENCODE M28	21.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9992329225388304	exploratory_outside_selected_probe_panel_not_validated	True	False	31
Bcl2a1d:Mthfsl	Bcl2a1d	Mthfsl	ENSMUSG00000099974.2	ENSMUSG00000079427.11	MGI:1278325	MGI:3780550	unique_gencode_gene	unique_gencode_gene	chr9	chr9	Mus musculus	GRCm39	GENCODE M28	24.0		unavailable_read_to_sample_mapping	0	2989	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9991208497111878	exploratory_outside_selected_probe_panel_not_validated	True	False	32
Fth1:Cd74	Fth1	Cd74	ENSMUSG00000024661.8	ENSMUSG00000024610.16	MGI:95588	MGI:96534	unique_gencode_gene	unique_gencode_gene	chr19	chr18	Mus musculus	GRCm39	GENCODE M28	20.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9990985069459994	exploratory_outside_selected_probe_panel_not_validated	True	False	33
Fth1:Rplp1	Fth1	Rplp1	ENSMUSG00000024661.8	ENSMUSG00000007892.9	MGI:95588	MGI:1927099	unique_gencode_gene	unique_gencode_gene	chr19	chr9	Mus musculus	GRCm39	GENCODE M28	20.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9990985069459994	exploratory_outside_selected_probe_panel_not_validated	True	False	34
Ccrl2:Gm43814	Ccrl2	Gm43814	ENSMUSG00000043953.13	ENSMUSG00000104654.2	MGI:1920904	MGI:5663951	unique_gencode_gene	unique_gencode_gene	chr9	chr9	Mus musculus	GRCm39	GENCODE M28	24.0		unavailable_read_to_sample_mapping	0	1293	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9990919797837573	exploratory_outside_selected_probe_panel_not_validated	True	False	35
Pdzd8:Slc18a2	Pdzd8	Slc18a2	ENSMUSG00000074746.4	ENSMUSG00000025094.9	MGI:2677270	MGI:106677	unique_gencode_gene	unique_gencode_gene	chr19	chr19	Mus musculus	GRCm39	GENCODE M28	23.0		unavailable_read_to_sample_mapping	0	1166	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9989496082462153	exploratory_outside_selected_probe_panel_not_validated	True	False	36
Fth1:Eef1a1	Fth1	Eef1a1	ENSMUSG00000024661.8	ENSMUSG00000037742.15	MGI:95588	MGI:1096881	unique_gencode_gene	unique_gencode_gene	chr19	chr9	Mus musculus	GRCm39	GENCODE M28	19.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9989321838458688	exploratory_outside_selected_probe_panel_not_validated	True	False	37
Cd28:2310016D23Rik	Cd28	2310016D23Rik	ENSMUSG00000026012.3	ENSMUSG00000085965.2	MGI:88327	MGI:1923693	unique_gencode_gene	unique_gencode_gene	chr1	chr1	Mus musculus	GRCm39	GENCODE M28	22.0		unavailable_read_to_sample_mapping	0	5484	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.998852998110447	exploratory_outside_selected_probe_panel_not_validated	True	False	38
Fth1:Gm14303	Fth1	Gm14303	ENSMUSG00000024661.8	ENSMUSG00000081344.6	MGI:95588	MGI:3651379	unique_gencode_gene	unique_gencode_gene	chr19	chr2	Mus musculus	GRCm39	GENCODE M28	18.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9987241819113047	exploratory_outside_selected_probe_panel_not_validated	True	False	39
Saa3:Ccl5	Saa3	Ccl5	ENSMUSG00000040026.9	ENSMUSG00000035042.3	MGI:98223	MGI:98262	unique_gencode_gene	unique_gencode_gene	chr7	chr11	Mus musculus	GRCm39	GENCODE M28	18.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9987241819113047	exploratory_outside_selected_probe_panel_not_validated	True	False	40
Nxf1:Tmem223	Nxf1	Tmem223	ENSMUSG00000010097.16	ENSMUSG00000117924.2	MGI:1858330	MGI:1914086	unique_gencode_gene	unique_gencode_gene	chr19	chr19	Mus musculus	GRCm39	GENCODE M28	22.0		unavailable_read_to_sample_mapping	0	74	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9986465155120758	exploratory_outside_selected_probe_panel_not_validated	True	False	41
Sumf1:Rpl36-ps12	Sumf1	Rpl36-ps12	ENSMUSG00000030101.16	ENSMUSG00000091845.2	MGI:1889844	MGI:3782787	unique_gencode_gene	unique_gencode_gene	chr6	chr6	Mus musculus	GRCm39	GENCODE M28	23.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9986207694257611	exploratory_outside_selected_probe_panel_not_validated	True	False	42
1700066M21Rik:Maip1	1700066M21Rik	Maip1	ENSMUSG00000038323.4	ENSMUSG00000025971.7	MGI:1920717	MGI:1915365	unique_gencode_gene	unique_gencode_gene	chr1	chr1	Mus musculus	GRCm39	GENCODE M28	20.0		unavailable_read_to_sample_mapping	0	20905	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9985064539203498	exploratory_outside_selected_probe_panel_not_validated	True	False	43
Ctsd:Lgals3	Ctsd	Lgals3	ENSMUSG00000007891.17	ENSMUSG00000050335.18	MGI:88562	MGI:96778	unique_gencode_gene	unique_gencode_gene	chr7	chr14	Mus musculus	GRCm39	GENCODE M28	17.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9984609886077562	exploratory_outside_selected_probe_panel_not_validated	True	False	44
Mri1:D8Ertd738e	Mri1	D8Ertd738e	ENSMUSG00000004996.10	ENSMUSG00000019362.9	MGI:1915123	MGI:1289231	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	20.0		unavailable_read_to_sample_mapping	0	187	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9982089998158163	exploratory_outside_selected_probe_panel_not_validated	True	False	45
Tmem147os:Sbsn	Tmem147os	Sbsn	ENSMUSG00000097320.9;ENSMUSG00000109224.2	ENSMUSG00000046056.16	MGI:3642392	MGI:2446326	multiple_gencode_records_same_mgi	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	21.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9981349362036152	exploratory_outside_selected_probe_panel_not_validated	True	False	46
Emc8:1190005I06Rik	Emc8	1190005I06Rik	ENSMUSG00000031819.14	ENSMUSG00000043687.17	MGI:1343095	MGI:1916168	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	18.0		unavailable_read_to_sample_mapping	0	6282	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9977866275538881	exploratory_outside_selected_probe_panel_not_validated	True	False	47
Fth1:Ctsb	Fth1	Ctsb	ENSMUSG00000024661.8	ENSMUSG00000021939.9	MGI:95588	MGI:88561	unique_gencode_gene	unique_gencode_gene	chr19	chr14	Mus musculus	GRCm39	GENCODE M28	15.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9976847636199692	exploratory_outside_selected_probe_panel_not_validated	True	False	48
Fth1:Gm10123	Fth1	Gm10123	ENSMUSG00000024661.8	ENSMUSG00000062933.8	MGI:95588	MGI:3704342	unique_gencode_gene	unique_gencode_gene	chr19	chr9	Mus musculus	GRCm39	GENCODE M28	15.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9976847636199692	exploratory_outside_selected_probe_panel_not_validated	True	False	49
Fth1:Gpnmb	Fth1	Gpnmb	ENSMUSG00000024661.8	ENSMUSG00000029816.11	MGI:95588	MGI:1934765	unique_gencode_gene	unique_gencode_gene	chr19	chr6	Mus musculus	GRCm39	GENCODE M28	15.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9976847636199692	exploratory_outside_selected_probe_panel_not_validated	True	False	50
Fth1:Lgals1	Fth1	Lgals1	ENSMUSG00000024661.8	ENSMUSG00000068220.7	MGI:95588	MGI:96777	unique_gencode_gene	unique_gencode_gene	chr19	chr15	Mus musculus	GRCm39	GENCODE M28	15.0		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9976847636199692	exploratory_outside_selected_probe_panel_not_validated	True	False	51
Ctdnep1:Gabarap	Ctdnep1	Gabarap	ENSMUSG00000018559.17	ENSMUSG00000018567.15	MGI:1914431	MGI:1861742	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	18.0		unavailable_read_to_sample_mapping	0	542	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9975676901009524	exploratory_outside_selected_probe_panel_not_validated	True	False	52
Gm11382:Serpinb1c	Gm11382	Serpinb1c	ENSMUSG00000074973.5	ENSMUSG00000079049.10	MGI:3650578	MGI:2445363	unique_gencode_gene	unique_gencode_gene	chr13	chr13	Mus musculus	GRCm39	GENCODE M28	17.0		unavailable_read_to_sample_mapping	0	40302	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9975149417594953	exploratory_outside_selected_probe_panel_not_validated	True	False	53
Ppp6r1:Tmem86b	Ppp6r1	Tmem86b	ENSMUSG00000052296.8	ENSMUSG00000045282.8	MGI:2442163	MGI:1915505	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	18.0		unavailable_read_to_sample_mapping	0	73	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9973736262797928	exploratory_outside_selected_probe_panel_not_validated	True	False	54
