species	assembly	run	read_id	original_read_id	caller	genion_flag	statistical_flag	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	mapq5	mapq3	aligned_nt5	aligned_nt3	qstart5	qend5	qstart3	qend3	alignment_qc_pass	caller_statistical_pass	status
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1509503	a6fccd4d-a5b7-41e2-84e7-620b4e0331db	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	95	1195	0	95	95	1320	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1786937	068adbde-f9c9-4c0a-ae0f-189919008db7	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	101	1200	0	101	101	1425	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1819352	10167512-e8bd-4197-a9b8-fd0f838455cb	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	101	1163	0	104	104	1306	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1827545	664c1468-7a47-4622-a973-64ab5e8d3d39	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128173333	128187617	0	60	60	184	1188	6	191	191	1403	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.658728	0b978ace-4ff1-4b1b-b6df-c7aa4dbc4a81	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	522	438	50	577	577	1034	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.936606	3f1b63b3-7226-4d0e-a4aa-4509170ad226	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	183	2452	0	187	187	2711	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1263410	c78b08dd-d0fd-4efb-90bd-880d430d0bd1	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	475	332	74	642	642	981	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1885687	995d0857-51a2-4535-b267-888e59a600e0	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	61	327	0	62	62	400	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.207128	77caa40a-7c3b-4bcc-9bf1-d3dcc59dd5d4	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	623	2476	2	631	631	3148	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.220472	351111f4-a2ea-42b0-91a4-f6bea2f6f0ed	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	631	333	4	649	649	995	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.602448	e2530426-7cb2-41d2-9e89-02a59ec4bfd9	Genion	PASS:GF	pPASS	ENSBTAG00000003588	ENSBTAG00000060527	14	14	+	+	80887130	80887221	0	60	60	609	2472	0	621	621	3162	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1838391	2163959f-0d05-4e3a-9984-f8cac6629d62	Genion	PASS:RT	pFAIL	ENSBTAG00000060578	ENSBTAG00000006839	18	18	-	-	56639246	56637501	3	60	60	836	725	0	860	863	1624	True	False	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.38732	21ba7746-12d8-4110-b42a-b83874c70c0f	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	306	648	47	356	356	1043	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.327759	34b94cb9-2531-41aa-9ffb-ddb70b9dfa52	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	265	656	3	417	417	1086	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.504078	be9dcc3b-92f7-4bb7-9dbd-10c6a99c7a47	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	320	657	9	336	336	1019	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.758437	95edcbd8-aced-4fd4-9a81-b3fdffd82e06	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	295	645	0	297	297	961	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.805231	bce80097-81c0-4da2-a891-99c32ccf5149	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	325	656	7	334	334	999	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.951458	27d0bb15-0e68-4e79-96fb-ffc902fa87c0	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	307	662	0	471	471	1145	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.333462	31004df1-7bed-439a-83fc-5db7d8c6bd56	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	59	947	0	59	59	1038	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1414887	533c3f74-7fd1-4d83-8d08-9466527efb51	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	101	963	3	106	106	1084	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1514980	354a363f-28e6-41b3-8a43-bdf6bce43490	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	105	966	0	105	105	1106	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1547415	93c809af-d48b-4008-b486-7d30a143e23b	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	203	943	33	237	237	1211	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.31168	16a7ece8-eb87-484b-8ce4-413fc9c5e47b	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	309	973	0	311	311	1300	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.46206	9fe3d167-ca96-4daa-80b7-5e9e76af284c	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	304	944	0	455	455	1437	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.118525	eec42114-4bce-42c5-b492-178a17f50059	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	273	952	0	275	275	1242	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.346202	8d5ee489-445f-40ed-b60a-b04693660482	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	274	939	1	276	276	1227	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.354167	803f07a0-7bc5-458e-ae28-027ec8728276	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	252	913	9	279	279	1240	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.534897	f049e9b9-fd88-4725-a0b8-64c0751007d7	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	315	947	9	324	324	1295	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.846057	041a380c-07da-4aa0-8105-35d9b0ada4c7	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	274	937	2	294	294	1276	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.987815	c97fba65-62ba-4487-966f-8dd7b38fda23	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	305	962	0	308	308	1289	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1032199	70288fd0-5530-4f56-a9d1-ebceef54b33b	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	281	932	0	285	285	1237	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1118032	e73dfac1-419b-41ce-ad8c-b11b59b052d1	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	308	933	0	327	327	1277	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1146945	4fec2a86-58cc-40dd-aa4a-faf62440e489	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947073	1954914	0	60	60	281	879	1	293	293	1199	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1361298	f85f6e96-9f5f-445a-968a-bcacf30daae7	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	284	970	0	284	284	1278	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1436400	2ad85aeb-534f-4451-8cc2-231be992844d	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	264	941	4	271	271	1238	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1471263	b56c4dbf-8c1c-4a0e-ba50-4823d2e1bf30	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	317	973	0	321	321	1308	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1632807	a3478d3e-c5ac-4e4b-bc52-fcc40ed8322e	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	306	959	0	448	448	1439	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1639377	c36207f8-e439-47a0-a5de-6377737279f8	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954914	0	60	60	300	868	0	300	300	1174	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1685152	c5ec9114-15ed-426a-b542-c040aabab55d	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954914	0	60	60	273	874	0	275	275	1163	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1737773	b8d8fd29-ed59-4167-aae5-37be30f534fc	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	315	928	7	330	330	1284	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1764702	1412202e-2e62-414b-a89d-f322d23ef446	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1954837	0	60	60	282	961	0	286	286	1268	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.40068	198e1ecc-81f7-4892-9d62-14e6726019bf	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	205	648	64	275	275	951	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.641628	03ab6ccc-aec0-4e7d-a66a-7e725ffa9e66	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	199	661	0	201	201	883	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1329431	fa769857-9a51-4be8-8cb5-ae608bcf6db2	Genion	PASS:GF	pPASS	ENSBTAG00000060892	ENSBTAG00000008251	21	21	+	+	1947075	1958986	0	60	60	169	666	0	171	171	859	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1676153	ab18db2c-67af-4750-b541-3d405036b43a	Genion	PASS:RT	pFAIL	ENSBTAG00000009077	ENSBTAG00000009078	18	18	+	+	50032478	50035097	0	60	60	1061	469	0	1084	1084	1565	True	False	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.267441	f1c4d953-9b0a-4832-84a2-75bb9d31fee7	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	106	1223	5	116	116	1373	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.318461	b8331177-693e-424c-a948-416551add1c6	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	109	1241	5	117	117	1392	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.407471	5ffb96b3-8e33-4c7f-86b8-a18627a776c5	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	86	1227	10	96	96	1359	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.724648	151cc19e-2bad-4ed0-9ceb-1801cd99c6b3	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	96	1187	0	98	98	1302	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.743144	e6a51a23-703b-4a48-9848-e5c2eac5cb31	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	105	1203	4	109	109	1341	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1019380	caa183a5-1ca5-424e-9d50-00c7458648e6	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	106	1234	5	113	113	1371	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1114739	658800b8-ecae-4102-aa5a-3a3d766000e5	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	141	1200	2	147	147	1404	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1204809	4b32358d-8cbe-46aa-8f56-4552b4c8dd4c	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	88	639	0	90	90	1089	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1242758	14edc50f-9e1c-491d-9429-b8fae8a4e0ba	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	105	1194	2	108	108	1324	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1299906	656aa45b-a2e7-430a-8907-eac28ed0816c	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	95	1207	0	98	98	1325	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1300965	de79fb4b-4008-49c0-ac25-17b4f341e9cd	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	92	1204	0	94	94	1337	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1698997	3d097a2a-aa37-4fa3-ba5a-e3fe06c6d99e	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	1	60	60	87	1238	0	89	90	1349	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1823714	cd4b8300-9e4a-4771-a6e5-5b0514bffb56	Genion	PASS:GF	pPASS	ENSBTAG00000019927	ENSBTAG00000009727	16	16	+	+	79870576	79877924	0	60	60	102	1205	0	105	105	1389	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.48855	39f08ced-b1de-4601-a53d-a858588734b3	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	90	60	60	78	503	151	229	319	837	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.84257	6b2c8e52-ba26-4380-a094-6e34c9cb43d3	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	90	60	60	82	2183	153	239	329	2555	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.154652	8600ac23-f852-4272-a330-e0672fd6504c	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	87	60	60	81	2220	127	212	299	2559	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.174811	e08e29a4-4b4b-4fe7-a038-5de31c7a27c0	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	88	60	60	79	2157	121	203	291	2495	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.210359	fba22b35-0ce5-467e-94b2-6835d3582d0d	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	0	60	60	81	2238	114	195	195	2471	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.246193	eb343c4b-302d-4c85-b20f-83ca52f28e7b	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	91	60	60	81	143	133	221	312	460	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.259141	9f6bb921-8947-4892-a777-4891af670a0a	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	86	60	60	79	2221	126	206	292	2542	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.549886	d05f51d0-feaa-4364-b2eb-18132ef84797	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	91	60	60	80	2214	152	233	324	2591	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.656468	feb5ff6d-e0f2-4498-a117-16044d9ed09c	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	90	60	60	80	2238	104	186	276	2551	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1000330	8be4fca6-5c4a-4bea-bbdc-f1571aaea201	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	90	60	60	80	2230	148	228	318	2594	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1204672	b848e856-b0bf-46c3-9baa-e537aa3f6155	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	91	60	60	79	2233	137	216	307	2577	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1478504	def20017-da00-4881-8684-bfd872c0d98c	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	88	60	60	79	2224	193	276	364	2653	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1702062	93dba6fb-e145-4f66-a173-1db72af81d23	Genion	PASS:GF	pPASS	ENSBTAG00000013501	ENSBTAG00000010073	19	19	-	-	20262766	20255678	89	60	60	77	2211	92	170	259	2515	False	True	observed exon-aligned boundaries; not exon-repaired; not conserved
