pair_id	n_hypotheses	mean_f_idr	min_f_idr	max_f_idr	fraction_hypotheses_predominantly_disordered
Rtf1:Rmdn3	1	0.6109154929577465	0.6109154929577465	0.6109154929577465	1.0
Rtraf:Psmb2	2	0.0	0.0	0.0	0.0
Runx1:Ubac2	1	1.0	1.0	1.0	1.0
Sbno1:Rhog	2	0.31803162570494825	0.3179148311306901	0.3181484202792065	0.0
Septin7:Tmem120a	2	0.0845588235294117	0.0808823529411764	0.088235294117647	0.0
Slc16a10:Rpf2	1	0.4901185770750988	0.4901185770750988	0.4901185770750988	0.0
Slc16a10:Tpd52	4	0.5880916957307909	0.5250836120401338	0.6293929712460063	1.0
Slc25a13:Sem1	1	0.0104166666666666	0.0104166666666666	0.0104166666666666	0.0
Slc7a8:Gch1	1	0.1151315789473684	0.1151315789473684	0.1151315789473684	0.0
Slc9a7:Amn1	1	0.0841836734693877	0.0841836734693877	0.0841836734693877	0.0
Smad3:Pnrc1	1	0.1571428571428571	0.1571428571428571	0.1571428571428571	0.0
Snd1:Lmf1	3	0.14987937626765324	0.0813559322033898	0.2674418604651162	0.0
Snrpd3:Ankrd40	1	0.0	0.0	0.0	0.0
Snx5:Ctsc	1	0.0241286863270777	0.0241286863270777	0.0241286863270777	0.0
Sppl2a:Psma3	1	0.1409395973154362	0.1409395973154362	0.1409395973154362	0.0
St8sia4:Fam174a	1	0.3380281690140845	0.3380281690140845	0.3380281690140845	0.0
Syne3:1700028I16Rik	2	0.30194256756756754	0.1351351351351351	0.46875	0.0
Tbc1d23:Sirt5	1	0.1084905660377358	0.1084905660377358	0.1084905660377358	0.0
Tbc1d23:Xdh	1	0.0727272727272727	0.0727272727272727	0.0727272727272727	0.0
Tbcb:Prkar1a	1	0.0	0.0	0.0	0.0
Tbxas1:Bpgm	1	0.048780487804878	0.048780487804878	0.048780487804878	0.0
Tcirg1:Sart1	1	0.1915966386554622	0.1915966386554622	0.1915966386554622	0.0
Tec:Clec4a1	1	0.0	0.0	0.0	0.0
Tmem134:Gpnmb	5	0.3455132581567835	0.2577854671280277	0.5614035087719298	0.2
Tmem134:H2-Q4	3	0.6775437568497239	0.3529411764705882	0.8489208633093526	0.6666666666666666
Tmem38b:Uty	1	1.0	1.0	1.0	1.0
Tmem63a:Aim2	1	0.4141414141414141	0.4141414141414141	0.4141414141414141	0.0
Tnfrsf1b:Dhrs3	3	0.09802857299830814	0.0627802690582959	0.1666666666666666	0.0
Tnfrsf1b:Prxl2b	2	0.09732132413147729	0.0922330097087378	0.1024096385542168	0.0
Tns3:Rab33b	2	0.1695611211431263	0.1361702127659574	0.2029520295202952	0.0
Tomm70a:Ltn1	1	0.2845953002610966	0.2845953002610966	0.2845953002610966	0.0
Tpd52l2:Cmtm7	2	0.1736372180451127	0.1517857142857142	0.1954887218045112	0.0
Tpm3:Ubr5	4	0.0337305422011773	0.0	0.0566037735849056	0.0
Ube2g1:Skap2	2	0.26910173160173156	0.1477272727272727	0.3904761904761905	0.0
Ube4b:Oas1a	4	0.5561965422227348	0.3929203539823009	0.7760814249363868	0.75
Uhrf1bp1l:1810058I24Rik	1	0.4736842105263157	0.4736842105263157	0.4736842105263157	0.0
Utrn:Pex7	1	0.16613290632506	0.16613290632506	0.16613290632506	0.0
Uvrag:Gm47754	1	0.1772727272727272	0.1772727272727272	0.1772727272727272	0.0
Vrk2:Gm20717	1	0.1234567901234567	0.1234567901234567	0.1234567901234567	0.0
Vsir:Dctn6	9	0.5205591577586429	0.299625468164794	0.8333333333333334	0.4444444444444444
Vti1a:Trir	1	0.1409395973154362	0.1409395973154362	0.1409395973154362	0.0
Washc4:Riok2	2	0.108601382547254	0.1055276381909547	0.1116751269035533	0.0
Wdyhv1:Prdx1	1	0.4102564102564102	0.4102564102564102	0.4102564102564102	0.0
Zc3h7a:Ppp4r1	1	1.0	1.0	1.0	1.0
Zdhhc13:Mapk1ip1	2	0.07801084990958405	0.0531645569620253	0.1028571428571428	0.0
Zeb2:Gtdc1	4	1.0	1.0	1.0	1.0
