junction_id,reference_build,gene_5p,chromosome_5p,strand_5p,boundary_5p,gene_3p,chromosome_3p,strand_3p,boundary_3p,evidence_state,biological_samples,distinct_qualifying_reads,mapping_specific_reads,mapping_specificity_unknown_reads,median_split_single_margin,median_shorter_anchor_nt,caller_agreement,callers,proposal_sources,assessed_distinct_reads,read_state_counts,rank_min,rank_max,display_rank
junction_c59eb8c6bb2d08fb19a9ff4616c0351ff71fcd9a55dbfa7a72624230b8694751,GRCm39/GENCODE_M28,ENSMUSG00000031337.17,chrX,+,70303425,ENSMUSG00000015214.15,chrX,+,70436900,supported_two_gene_junction,1,1,1,0,1880,459,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",11,11,11
junction_343e1c3977aa263d089850c66cff3ee1f016ea44e2ea9f7cf135b1b9b075823b,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158669,ENSMUSG00000058587.10,chr9,-,75407029,supported_two_gene_junction,1,1,1,0,1835,770,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",12,12,12
junction_86454225dbb4223697a10296e1e8aa1d54849acef43961eaf2fb88f1c492c90e,GRCm39/GENCODE_M28,ENSMUSG00000024672.12,chr19,-,11301785,ENSMUSG00000027742.14,chr3,-,52897488,supported_two_gene_junction,1,1,1,0,1819,659,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",13,13,13
junction_1a38d4c4e38fac48c1b34263c18cc3576802fa7c677f3cd6a0597b2231357f93,GRCm39/GENCODE_M28,ENSMUSG00000035954.11,chr12,+,40699489,ENSMUSG00000020576.11,chr12,+,13584380,supported_two_gene_junction,1,1,1,0,1803,668,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",14,14,14
junction_b2d10cc7ffdc1b7cc4ac61ebe27f0b0a410545f7eed468912016e30b95d0e3e8,GRCm39/GENCODE_M28,ENSMUSG00000013593.13,chr1,-,171063930,ENSMUSG00000041891.17,chr18,-,66117340,supported_two_gene_junction,1,1,1,0,1762,662,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",15,15,15
junction_6805713e08f03983dcc3c6737966c63beb3ee93d0f4a77cb99ffa66db6c0b4e0,GRCm39/GENCODE_M28,ENSMUSG00000020167.15,chr10,-,80256921,ENSMUSG00000013833.16,chr10,-,79736088,supported_two_gene_junction,1,1,1,0,1740,669,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",16,16,16
junction_ea02336006baf7fe6420734c3f213fb2e688b2085ed3d20d9bf351f8b23ca186,GRCm39/GENCODE_M28,ENSMUSG00000038650.16,chr7,-,140727354,ENSMUSG00000049723.15,chr9,+,7349784,supported_two_gene_junction,1,1,1,0,1714,653,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",17,17,17
junction_be686183a8b35d5e09cd57c7050fc9ca66ed4d5adfccde840869a1d786300b69,GRCm39/GENCODE_M28,ENSMUSG00000033386.11,chr3,+,116678938,ENSMUSG00000072769.7,chr5,+,108520080,supported_two_gene_junction,1,1,1,0,1632,591,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",18,18,18
junction_31a1516b670ed7cc40bf3793f14e9f2e6ecc6286a50b329a2e9a0ca956d6c2c6,GRCm39/GENCODE_M28,ENSMUSG00000025935.11,chr1,-,13636077,ENSMUSG00000021576.7,chr13,-,74457922,supported_two_gene_junction,1,1,1,0,1602,634,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",19,19,19
junction_513eb10ab7dab0b0f18ab52562d87c2b303da81dbe674671ac6187e34916cef8,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158674,ENSMUSG00000021458.18,chr13,+,63388127,supported_two_gene_junction,1,1,1,0,1592,597,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",20,20,20
junction_df93ce74232966911e340d7fdfa208f63c721cdc1f3837b9608f76a05a532838,GRCm39/GENCODE_M28,ENSMUSG00000032312.8,chr9,-,57535935,ENSMUSG00000031371.15,chrX,-,72490734,supported_two_gene_junction,1,1,1,0,1561,560,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",21,21,21
junction_3e3c81c7540f0d6b230c4cbbc2913a8322cd4dbab085e9897cc7b15c17dcf091,GRCm39/GENCODE_M28,ENSMUSG00000030579.11,chr7,+,30117007,ENSMUSG00000060802.9,chr2,+,121981424,supported_two_gene_junction,1,1,1,0,1543,554,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",22,22,22
junction_9f0d393ce29a93aa7b537a182d8a7ced6498f85b24f76aae14fc9aa481f233cb,GRCm39/GENCODE_M28,ENSMUSG00000027508.16,chr3,-,9817478,ENSMUSG00000038546.10,chr13,-,43615301,supported_two_gene_junction,1,1,1,0,1439,528,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",23,23,23
junction_1a79cee47aa3bfd8f87ad79cae8a5f2c4c1844f944df0b07da785180fc8ced86,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158367,ENSMUSG00000068220.7,chr15,+,78810936,supported_two_gene_junction,1,1,1,0,1377,493,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",24,24,24
junction_8719976bb4f5128e120ad2dfe912b4e8f788e7b05a11ec0ace67e1a29815705d,GRCm39/GENCODE_M28,ENSMUSG00000040446.5,chr18,-,24641053,ENSMUSG00000034947.14,chr11,+,101479675,supported_two_gene_junction,1,1,1,0,1361,499,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",25,25,25
junction_24fbbbb13cf218db4ac1d0802a9cceb3d21d1c6926860aeb44cd6277bfbb567e,GRCm39/GENCODE_M28,ENSMUSG00000032220.11,chr9,+,70227432,ENSMUSG00000073489.7,chr1,-,173576949,supported_two_gene_junction,1,1,1,0,1326,489,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",26,26,26
junction_781fe374465bea549a71089cf319a61c0822b5c7fe3b9acdde41dee696ab873a,GRCm39/GENCODE_M28,ENSMUSG00000030921.18,chr7,-,104070377,ENSMUSG00000024679.11,chr19,-,11570285,supported_two_gene_junction,1,1,1,0,1263,454,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",27,27,27
junction_640263fb2997946e6ba80ee9ec01023744b54d07fc0069367a68336907d61b7d,GRCm39/GENCODE_M28,ENSMUSG00000055670.15,chr11,+,72808706,ENSMUSG00000032698.16,chr2,+,103806346,supported_two_gene_junction,1,1,1,0,1219,445,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",28,28,28
junction_bf2b5b6a484b56e78a5dc32b4a9bc083ce1fe9215aeccdb0b39136b1b939ee54,GRCm39/GENCODE_M28,ENSMUSG00000030738.12,chr7,-,126163588,ENSMUSG00000030681.19,chr7,-,126586837,supported_two_gene_junction,1,1,1,0,1195,434,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",29,29,29
junction_3b9e3ca909916114b025d9907a000263bd7cacafccd984fca74813a12a1b44f2,GRCm39/GENCODE_M28,ENSMUSG00000034761.16,chr12,-,69921049,ENSMUSG00000034601.18,chr12,+,71241064,supported_two_gene_junction,1,1,1,0,1195,431,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",30,30,30
junction_8ce2607dbb851321daf8102e19f68b842b046a742256a4bdd6d5e11cc88fcd52,GRCm39/GENCODE_M28,ENSMUSG00000019715.15,chr2,+,29828617,ENSMUSG00000024006.18,chr17,-,29191650,supported_two_gene_junction,1,1,1,0,1186,426,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",31,31,31
junction_410a8609611594085e85522ee5c89eb09cce11492ce5a579573dc4a798db71dd,GRCm39/GENCODE_M28,ENSMUSG00000030695.17,chr7,-,126394409,ENSMUSG00000024661.8,chr19,+,9961913,supported_two_gene_junction,1,1,1,0,1184,426,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",32,32,32
junction_93deecae85808da91ad44abfbf839f1645314fe0bec7d84d7eb011d8f02875c0,GRCm39/GENCODE_M28,ENSMUSG00000035354.10,chr7,-,98589097,ENSMUSG00000020376.18,chr11,+,49986599,supported_two_gene_junction,1,1,1,0,1141,465,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",33,33,33
junction_e62bf429e589a24067373f651aa629091f271a993786c76f7752b241dadf8051,GRCm39/GENCODE_M28,ENSMUSG00000016534.16,chrX,-,37513149,ENSMUSG00000006273.15,chr8,+,69555101,supported_two_gene_junction,1,1,1,0,1116,412,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",34,34,34
junction_0ebb208912f135c3dee47e578180c06fa212a8640974e47b2785e796c105b590,GRCm39/GENCODE_M28,ENSMUSG00000046805.11,chr19,+,12458878,ENSMUSG00000026879.15,chr2,+,35173912,supported_two_gene_junction,1,1,1,0,1111,1282,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",35,35,35
junction_fd9daa64077ad4fc1d18b44698348053490c510d0ceab167668bc343cc5aedac,GRCm39/GENCODE_M28,ENSMUSG00000025920.20,chr1,-,16510545,ENSMUSG00000079658.10,chr1,-,16718222,supported_two_gene_junction,1,1,1,0,1096,393,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",36,36,36
junction_f675702fe4f343eb7fe4c14290dd32c191fbe7da71ab72071f288708fa749523,GRCm39/GENCODE_M28,ENSMUSG00000005198.16,chr11,-,69634079,ENSMUSG00000059552.14,chr11,+,69482173,supported_two_gene_junction,1,1,1,0,1088,451,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",37,37,37
junction_97c52d8d8133369e0124daee682bae9e3c967b2275b69aad9729465fe37c402f,GRCm39/GENCODE_M28,ENSMUSG00000047187.10,chr4,+,8572593,ENSMUSG00000042228.15,chr4,+,3780912,supported_two_gene_junction,1,1,1,0,1065,380,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",38,38,38
junction_b438eca6c7255fb4b46415a64a098b0891228ea25618a6b419f7916ecda7a2f0,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158673,ENSMUSG00000046805.11,chr19,+,12442047,supported_two_gene_junction,1,1,1,0,1010,390,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",39,39,39
junction_d2011c2818dbbe84ce8b3f3c7cd1693425073db128cf27ce7954aa36e8d8bf7d,GRCm39/GENCODE_M28,ENSMUSG00000062210.14,chr18,+,50164430,ENSMUSG00000024507.7,chr18,+,50324777,supported_two_gene_junction,1,1,1,0,1005,368,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",40,40,40
junction_0ece42fc31d041db593c11ee0dcf92ec13c3d5a4909081be64fc0f84d8203ee0,GRCm39/GENCODE_M28,ENSMUSG00000068250.14,chr6,-,149084893,ENSMUSG00000006412.11,chr1,+,171186379,supported_two_gene_junction,1,1,1,0,984,348,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",41,41,41
junction_320c754146951093ad56b317a0e722175c1d89669ac26689b1e8ee977ed6aec9,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158673,ENSMUSG00000018774.14,chr11,-,69555930,supported_two_gene_junction,1,1,1,0,983,395,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",42,42,42
junction_0cf8234414a7d7425cb05a07c65786b846ab2598ef5304cbb727b98fb5e4fe66,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158673,ENSMUSG00000033355.7,chr16,+,23432102,supported_two_gene_junction,1,1,1,0,972,365,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",43,43,43
junction_d4d00c7965707f6e312e3677114f6c5fe1e41539826b265ea0d46df3322f0416,GRCm39/GENCODE_M28,ENSMUSG00000002985.17,chr7,-,19430330,ENSMUSG00000060802.9,chr2,+,121981512,supported_two_gene_junction,1,1,1,0,934,309,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",44,44,44
junction_79aa9f0e0ec442b035cfd4d7bc36205d0995a5f28befeb96a71aba3c192375d8,GRCm39/GENCODE_M28,ENSMUSG00000029816.11,chr6,+,49032644,ENSMUSG00000078122.5,chrX,+,95286830,supported_two_gene_junction,1,1,1,0,922,369,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",45,45,45
junction_6aeeb073a6da59260cf2a7af4a8c93ede6ae14f5fa0ec53fe895612f0a50a8f1,GRCm39/GENCODE_M28,ENSMUSG00000041390.19,chr6,+,15801711,ENSMUSG00000024621.17,chr18,+,61263868,supported_two_gene_junction,1,1,1,0,918,338,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",46,46,46
junction_15d57b9258bfc31e99cb4219c9d944654b7ff10530e4395abc9eaead6bda6ed1,GRCm39/GENCODE_M28,ENSMUSG00000037669.16,chr12,+,8288616,ENSMUSG00000021096.12,chr12,+,72840485,supported_two_gene_junction,1,1,1,0,886,340,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",47,47,47
junction_259cacdccaf4ac2548dbdd69cf3f9bb75dd0923c4d50d68fd506099e294fea3e,GRCm39/GENCODE_M28,ENSMUSG00000030870.13,chr7,+,121675414,ENSMUSG00000073421.7,chr17,+,34472086,supported_two_gene_junction,1,1,1,0,884,337,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",48,48,48
junction_1fcc507ae2c90db7bb09f44cd16decf43d79d65392354843313fba012dff1bcb,GRCm39/GENCODE_M28,ENSMUSG00000024621.17,chr18,+,61263875,ENSMUSG00000008475.14,chr1,+,152650737,supported_two_gene_junction,1,1,1,0,872,326,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",49,49,49
junction_eef41a0f6ae9b2fdf8f29a288b6053689942c3283f5805c2c215f71cb8b165da,GRCm39/GENCODE_M28,ENSMUSG00000028843.9,chr4,-,133854716,ENSMUSG00000030220.14,chr6,-,136901097,supported_two_gene_junction,1,1,1,0,870,344,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",50,50,50
junction_0eee5d4fdbee2e186f28ea58207208934394490db976e95660c7f4758ba56879,GRCm39/GENCODE_M28,ENSMUSG00000028085.13,chr3,+,85483316,ENSMUSG00000026767.13,chr2,-,12369318,supported_two_gene_junction,1,1,1,0,861,314,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",51,51,51
junction_ba61c2b35e2ceaa05e7fb8abb88727e2df7d9bc8a8aed824e2d0b41ce8f2c903,GRCm39/GENCODE_M28,ENSMUSG00000034265.9,chr17,+,5736078,ENSMUSG00000002279.20,chr17,+,25831264,supported_two_gene_junction,1,1,1,0,860,309,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",52,52,52
junction_1a8a96a5e79ca70bd651c72dba0cc7db5d37b38870d6e074d94a340d6d1c87a1,GRCm39/GENCODE_M28,ENSMUSG00000047187.10,chr4,+,8561221,ENSMUSG00000028937.15,chr4,+,152322133,supported_two_gene_junction,1,1,1,0,843,307,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",53,53,53
