pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	parent_a_mgi_ids	parent_b_mgi_ids	parent_a_mapping	parent_b_mapping	chromosome_a	chromosome_b	species	assembly	annotation	long_read_support	sample_count	sample_count_status	is_interchromosomal	genomic_distance	in_probe_panel	label	reported_nanostring_support	short_read_reported_support	cross_reported_support	caller_names	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url
Acod1:Cd86	Acod1	Cd86	ENSMUSG00000022126.7	ENSMUSG00000022901.14	MGI:103206	MGI:101773	unique_gencode_gene	unique_gencode_gene	chr14	chr16	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Acod1:Gm34643	Acod1	Gm34643	ENSMUSG00000022126.7	ENSMUSG00000115855.2	MGI:103206	MGI:5593802	unique_gencode_gene	unique_gencode_gene	chr14	chr14	Mus musculus	GRCm39	GENCODE M28	2		unavailable_read_to_sample_mapping	0	22520	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Acp2:Renbp	Acp2	Renbp	ENSMUSG00000002103.17	ENSMUSG00000031387.15	MGI:87882	MGI:105940	unique_gencode_gene	unique_gencode_gene	chr2	chrX	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Acsl4:Tmem164	Acsl4	Tmem164	ENSMUSG00000031278.13	ENSMUSG00000047045.18	MGI:1354713	MGI:2148020	unique_gencode_gene	unique_gencode_gene	chrX	chrX	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	290871	True	1	True	True	True	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Actr2:Nf1	Actr2	Nf1	ENSMUSG00000020152.8	ENSMUSG00000020716.17	MGI:1913963	MGI:97306	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	59167606	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Actr3:Pla2g4a	Actr3	Pla2g4a	ENSMUSG00000026341.17	ENSMUSG00000056220.15	MGI:1921367	MGI:1195256	unique_gencode_gene	unique_gencode_gene	chr1	chr1	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	24341905	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Adam10:Mta3	Adam10	Mta3	ENSMUSG00000054693.15	ENSMUSG00000055817.19	MGI:109548	MGI:2151172	unique_gencode_gene	unique_gencode_gene	chr9	chr17	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Adam8:Tyrobp	Adam8	Tyrobp	ENSMUSG00000025473.17	ENSMUSG00000030579.11	MGI:107825	MGI:1277211	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	109441835	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Adgre1:Pals2	Adgre1	Pals2	ENSMUSG00000004730.16	ENSMUSG00000038388.15	MGI:106912	MGI:1927340	unique_gencode_gene	unique_gencode_gene	chr17	chr6	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Adprm:Emc2	Adprm	Emc2	ENSMUSG00000020910.17	ENSMUSG00000022337.8	MGI:1913608	MGI:1913986	unique_gencode_gene	unique_gencode_gene	chr11	chr15	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Aff4:Cdc42se2	Aff4	Cdc42se2	ENSMUSG00000049470.14	ENSMUSG00000052298.13	MGI:2136171	MGI:1919979	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	1295625	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Afg3l2:Cndp2	Afg3l2	Cndp2	ENSMUSG00000024527.11	ENSMUSG00000024644.18	MGI:1916847	MGI:1913304	unique_gencode_gene	unique_gencode_gene	chr18	chr18	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	17103348	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Agl:Brk1	Agl	Brk1	ENSMUSG00000033400.15	ENSMUSG00000033940.9	MGI:1924809	MGI:1915406	unique_gencode_gene	unique_gencode_gene	chr3	chr6	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ammecr1:Rab9	Ammecr1	Rab9	ENSMUSG00000042225.4	ENSMUSG00000079316.11	MGI:1860206	MGI:1890695	unique_gencode_gene	unique_gencode_gene	chrX	chrX	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	23490525	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ampd3:Hapln3	Ampd3	Hapln3	ENSMUSG00000005686.18	ENSMUSG00000030606.9	MGI:1096344	MGI:1914916	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	31586647	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ankfy1:Ube2g1	Ankfy1	Ube2g1	ENSMUSG00000020790.15	ENSMUSG00000020794.14	MGI:1337008	MGI:1914378	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	3525	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ankrd33b:Chd4	Ankrd33b	Chd4	ENSMUSG00000022237.18	ENSMUSG00000063870.13	MGI:1917904	MGI:1344380	unique_gencode_gene	unique_gencode_gene	chr15	chr6	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Aoah:Blcap	Aoah	Blcap	ENSMUSG00000021322.9	ENSMUSG00000067787.11	MGI:1350928	MGI:1858907	unique_gencode_gene	unique_gencode_gene	chr13	chr2	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Aoah:Sirt5	Aoah	Sirt5	ENSMUSG00000021322.9	ENSMUSG00000054021.7	MGI:1350928	MGI:1915596	unique_gencode_gene	unique_gencode_gene	chr13	chr13	Mus musculus	GRCm39	GENCODE M28	2		unavailable_read_to_sample_mapping	0	22298185	True	1	True	True	True	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Aopep:Akr1e1	Aopep	Akr1e1	ENSMUSG00000021458.18	ENSMUSG00000045410.19	MGI:1919311	MGI:1914758	unique_gencode_gene	unique_gencode_gene	chr13	chr13	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	58453534	True	1	True	True	True	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Aopep:Sdha	Aopep	Sdha	ENSMUSG00000021458.18	ENSMUSG00000021577.15	MGI:1919311	MGI:1914195	unique_gencode_gene	unique_gencode_gene	chr13	chr13	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	10996463	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ap5z1:Blvrb	Ap5z1	Blvrb	ENSMUSG00000039623.14	ENSMUSG00000040466.17	MGI:1924908	MGI:2385271	unique_gencode_gene	unique_gencode_gene	chr5	chr7	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
App:Opa1	App	Opa1	ENSMUSG00000022892.12	ENSMUSG00000038084.17	MGI:88059	MGI:1921393	unique_gencode_gene	unique_gencode_gene	chr16	chr16	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	55272871	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Appbp2:Bcas3	Appbp2	Bcas3	ENSMUSG00000018481.10	ENSMUSG00000059439.16	MGI:1914134	MGI:2385848	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	118037	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arhgap10:Mrps28	Arhgap10	Mrps28	ENSMUSG00000037148.9	ENSMUSG00000040269.6	MGI:1925764	MGI:1913480	unique_gencode_gene	unique_gencode_gene	chr8	chr3	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arhgap30:Csnk1g3	Arhgap30	Csnk1g3	ENSMUSG00000048865.17	ENSMUSG00000073563.4	MGI:2684948	MGI:1917675	unique_gencode_gene	unique_gencode_gene	chr1	chr18	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arid5b:Nampt	Arid5b	Nampt	ENSMUSG00000019947.11	ENSMUSG00000020572.9	MGI:2175912	MGI:1929865	unique_gencode_gene	unique_gencode_gene	chr10	chr12	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arl5b:4930455G09Rik	Arl5b	4930455G09Rik	ENSMUSG00000017418.15	ENSMUSG00000085761.2	MGI:1923119	MGI:1926167	unique_gencode_gene	unique_gencode_gene	chr2	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arrb1:C2cd3	Arrb1	C2cd3	ENSMUSG00000018909.16	ENSMUSG00000047248.21	MGI:99473	MGI:2142166	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	765462	True	0	False	True	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Arrb1:Cnot7	Arrb1	Cnot7	ENSMUSG00000018909.16	ENSMUSG00000031601.17	MGI:99473	MGI:1298230	unique_gencode_gene	unique_gencode_gene	chr7	chr8	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Ash2l:Hgsnat	Ash2l	Hgsnat	ENSMUSG00000031575.19	ENSMUSG00000037260.9	MGI:1344416	MGI:1196297	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	96759	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Asl:Cct6a	Asl	Cct6a	ENSMUSG00000025533.16	ENSMUSG00000029447.14	MGI:88084	MGI:107943	unique_gencode_gene	unique_gencode_gene	chr5	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	164887	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Asph:Rab2a	Asph	Rab2a	ENSMUSG00000028207.19	ENSMUSG00000047187.10	MGI:1914186	MGI:1928750	unique_gencode_gene	unique_gencode_gene	chr4	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	840291	True	1	True	True	True	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atp1b3:Mthfs	Atp1b3	Mthfs	ENSMUSG00000032412.9	ENSMUSG00000066442.18	MGI:107788	MGI:1340032	unique_gencode_gene	unique_gencode_gene	chr9	chr9	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	6954942	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atp2b1:Hnrnpdl	Atp2b1	Hnrnpdl	ENSMUSG00000019943.11	ENSMUSG00000029328.16	MGI:104653	MGI:1355299	unique_gencode_gene	unique_gencode_gene	chr10	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atp2b1:Spata6	Atp2b1	Spata6	ENSMUSG00000019943.11	ENSMUSG00000034401.17	MGI:104653	MGI:1915196	unique_gencode_gene	unique_gencode_gene	chr10	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atp6v0a1:Akr1a1	Atp6v0a1	Akr1a1	ENSMUSG00000019302.17	ENSMUSG00000028692.15	MGI:103286	MGI:1929955	unique_gencode_gene	unique_gencode_gene	chr11	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atp8a1:Tmem33	Atp8a1	Tmem33	ENSMUSG00000037685.16	ENSMUSG00000037720.17	MGI:1330848	MGI:1915128	unique_gencode_gene	unique_gencode_gene	chr5	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	326679	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Atxn7l1:Mir99ahg	Atxn7l1	Mir99ahg	ENSMUSG00000020564.18	ENSMUSG00000090386.11	MGI:3584458	MGI:1919929	unique_gencode_gene	unique_gencode_gene	chr12	chr16	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
B4galt5:Zfas1	B4galt5	Zfas1	ENSMUSG00000017929.14	ENSMUSG00000074578.15	MGI:1927169	MGI:1916199	unique_gencode_gene	unique_gencode_gene	chr2	chr2	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	232582	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Babam2:Mrpl33	Babam2	Mrpl33	ENSMUSG00000052139.19	ENSMUSG00000106918.4	MGI:1333875	MGI:2137225	unique_gencode_gene	unique_gencode_gene	chr5	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	33300	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Bbx:Ntan1	Bbx	Ntan1	ENSMUSG00000022641.16	ENSMUSG00000022681.16	MGI:1917758	MGI:108471	unique_gencode_gene	unique_gencode_gene	chr16	chr16	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	36358892	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Bin1:Ndufs8	Bin1	Ndufs8	ENSMUSG00000024381.17	ENSMUSG00000059734.8	MGI:108092	MGI:2385079	unique_gencode_gene	unique_gencode_gene	chr18	chr19	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Birc6:Samhd1	Birc6	Samhd1	ENSMUSG00000024073.17	ENSMUSG00000027639.17	MGI:1276108	MGI:1927468	unique_gencode_gene	unique_gencode_gene	chr17	chr2	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Btaf1:Atp8b4	Btaf1	Atp8b4	ENSMUSG00000040565.9	ENSMUSG00000060131.12	MGI:2147538	MGI:1859664	unique_gencode_gene	unique_gencode_gene	chr19	chr2	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Cacna1d:Ninj1	Cacna1d	Ninj1	ENSMUSG00000015968.19	ENSMUSG00000037966.16	MGI:88293	MGI:1196617	unique_gencode_gene	unique_gencode_gene	chr14	chr13	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Car5b:Gm20658	Car5b	Gm20658	ENSMUSG00000031373.5	ENSMUSG00000093765.8	MGI:1926249	MGI:5313105	unique_gencode_gene	unique_gencode_gene	chrX	chr12	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
