pair_id	chrom1	breakpoint1	strand1	chrom2	breakpoint2	strand2	read_ids	long_read_support	source_rows	assembly	sample_ids	sample_count	source_id	coordinate_basis	sequence
1500011B03Rik:Gpnmb	chr5	114961373	-	chr6	49027343	+	cd1fb3b1-4a85-48bd-b7bf-13a86f321952	1	2881	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1500011B03Rik:Lilrb4a	chr5	114946256	-	chr10	51367092	+	d9f04849-b0e9-4e5d-83f2-be2f7af0c513	1	22921	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1600010M07Rik:Tubb2a	chr7	109597582	-	chr13	34261990	-	8bd470ba-aa73-4b86-a787-ea4012d72678	1	30306	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1600012H06Rik:Isg15	chr17	15166196	+	chr4	156285253	-	6d9e7c6f-a45f-4d22-8a8f-804c65b21ac0	1	35020	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1600014C10Rik:Gng2	chr7	37888201	+	chr14	19926003	-	2e15e72c-2abe-4fdc-b756-64333552b0c9	1	662	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1600020E01Rik:Ube2r2	chr6	86540519	+	chr4	41183244	+	3a5c1721-0538-42b5-b54a-787c1a1f096d	1	21367	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700066M21Rik:Maip1	chr1	57417105	+	chr1	57449070	+	059239d7-d67b-406d-a98a-1d644845561e;1aea2bbe-626d-45e1-a151-0baa92fe9df9;3bdad6fc-f7c5-497a-86e8-6d0d92e24385;3d9228ce-b241-4495-8882-b7972543d0c8;484bf84a-dfc7-44dd-820d-79b95a56ac39;5185134e-3d29-4a74-9df7-95f5b85c95a6;52978079-9993-44bc-8b26-882945d01ca4;5c1eb83b-7255-490b-8df9-af54cb1e070c;62feb198-ab66-48f1-9bde-445092bf8cd1;7e690129-44eb-4fa3-900e-2e8be243331f;80ec9f20-c8f9-4562-9bf4-3acd9d11322b;b1447365-7f3e-46b8-a461-0ddc7977b3be;bc972a92-fd06-4d91-849f-75b6d02d17ff;ca04f12a-0057-4499-b42a-b6a218cc0d7b;de21fab2-79f4-4db0-a3a8-a95823f004b1;e0da485a-94b4-45a6-a142-99bf7ecd3454;f3ed9755-02ba-49e2-a44c-47cd95db825f;f8f5cc2a-9d39-4c0d-b659-33b7c5aabe39	18	12731;12732;19350;19352;19353;19354;23789;25757;29025;29026;31465;34349;34350;34352;34353;36195;36196;36197	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700066M21Rik:Maip1	chr1	57417105	+	chr1	57450881	+	6304eee6-caf4-4d5b-8274-97d55689607c	1	34351	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700066M21Rik:Maip1	chr1	57417105	+	chr1	57452398	+	6de42881-92d4-4881-8b23-0716022430f7	1	19351	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700099I09Rik:Gm17160	chr13	102898404	+	chr13	102898942	+	a90a7b6a-d983-428c-86db-49955cc83457	1	35655	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700123O20Rik:Gm13394	chr14	54928198	+	chr2	28824621	-	90764883-5786-455d-aed0-3402543d3f57	1	26642	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1700123O20Rik:Tmem256	chr14	54928198	+	chr11	69729745	+	b25b3ce2-968c-4786-8e17-c9b32d8f0c3a	1	8595	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1810013L24Rik:Pmm2	chr16	8649265	+	chr16	8469273	+	9b93df29-4216-4627-b434-58ba018a242a	1	490	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1810030O07Rik:Slc31a2	chrX	12521117	-	chr4	62204685	+	570e1de9-3a32-4b20-a8e9-05dafe4d5892	1	8714	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1810058I24Rik:Gm8129	chr6	35238572	+	chr6	52323927	-	7123e740-2337-46e5-916f-17655dcb11f2	1	22510	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1810058I24Rik:Rpl38-ps2	chr6	35238572	+	chr6	140692898	-	24b14194-7e42-4908-b958-fe0f206c8193	1	9697	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2010013B24Rik:Gm44428	chr6	145249196	+	chr6	145250035	+	2750eaba-7dd2-4b6c-88d0-f6bedc08681b;f8a021b7-2e0f-4736-a457-52b70531b996	2	9824;9825	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2010315B03Rik:Aagab	chr9	124074305	-	chr9	63543665	+	6c3ecc8f-0f09-4a3e-afab-dd8dd349626c	1	1745	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2010315B03Rik:Rsu1	chr9	124075189	-	chr2	13229236	-	35c6aebf-0ff2-473c-95fe-7146e5e1e68b	1	1244	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2210016F16Rik:Hspa4	chr13	58531963	-	chr11	53153252	-	d6cfcbb1-c1fb-4fef-bb5d-48249d804207	1	128	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2210016F16Rik:Plaur	chr13	58531963	-	chr7	24174663	+	e69cb6b8-9d34-4aac-a39a-0c277d466ddd	1	293	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2210408F21Rik:Mkln1	chr6	31312997	+	chr6	31395865	+	ab1abbf0-0ad8-4c41-8a7f-3b0dab5c220c	1	724	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2210412B16Rik:Tpst1	chr5	130160665	+	chr5	130163299	+	3d0bf11e-14fd-483a-a021-b5ce5345993a	1	26238	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310001H17Rik:Tbxas1	chr6	129214701	-	chr6	39057872	+	34b60eef-f65e-4fe6-a59a-569babe3f320	1	1267	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310022A10Rik:Blvrb	chr7	27260028	+	chr7	27161991	+	248aa15a-9acf-4f4b-8b3f-22cd8349be71	1	40	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310022A10Rik:Blvrb	chr7	27265153	+	chr7	27165144	+	f1758d1a-9074-4b2b-9478-d0a0608e025c	1	1321	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310022A10Rik:Herc4	chr7	27281524	+	chr10	63152478	+	7cfd1950-3869-44a9-a01c-a2acdf7c0111	1	5080	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310022A10Rik:Il2rg	chr7	27255959	+	chrX	100309949	-	9d3b4b30-f00d-4088-bfd7-45cf5cdc1707	1	131	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310058D17Rik:Rnf187	chr11	58868507	-	chr11	58828058	-	9439ece3-fbd6-46f6-8913-b95b869a8050	1	33770	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2310061I04Rik:S100a11	chr17	36203568	-	chr3	93427794	+	b7a03d49-695a-4c8a-a1bc-4db92a72c8cf	1	6909	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Gm28438	chr11	62495633	+	chr1	24652200	-	c5890d8a-25e3-4d41-a063-b7b734f72c8e	1	9821	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Gm8186	chr11	62495633	+	chr17	26318195	-	03eff2db-06f3-4def-ac69-8950a2cf9ea3	1	14404	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Itgb2	chr11	62495633	+	chr10	77377799	+	23f78c83-e4c9-4159-a2fc-348f91aa1b04	1	15267	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Lgals3	chr11	62495633	+	chr14	47616979	+	23d3e101-d5a2-4a9e-85b9-ea5a5cae7cad	1	22232	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Nsd3	chr11	62495633	+	chr8	26092299	+	83332cb8-ac85-495f-a670-19f3587f7130	1	22380	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2410006H16Rik:Rps4x	chr11	62495633	+	chrX	101231977	-	29aaf35e-6431-4140-af25-d92f4b46f3ca	1	7713	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2510039O18Rik:Ccl5	chr4	148031771	+	chr11	83421344	-	4f15e224-a660-41dc-a91d-2b6d77c45c0e	1	34939	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2610301B20Rik:BC031181	chr4	10899421	+	chr18	75138970	+	5b428928-0a0c-4f11-9fb0-3da35845158a	1	8183	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2610301B20Rik:Etfb	chr4	10899421	+	chr7	43093506	+	6d1753c9-bf2c-414d-8438-eb4cdc30c834	1	10485	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2610301B20Rik:Rps19	chr4	10899421	+	chr7	24584560	+	fe9728de-3646-48a5-afaa-85fc937cbc96	1	14236	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2610507I01Rik:Guk1	chr11	59090661	-	chr11	59075347	-	ef86d393-6cc7-4207-9249-c73480d9139b	1	17308	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
2700097O09Rik:Acod1	chr12	55104026	-	chr14	103291947	+	3d953bdc-fa5b-45d8-ae7d-30773af84356	1	1074	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
3110082I17Rik:Casp1	chr5	139345493	-	chr9	5299279	+	f819cdf5-53ca-4ee0-9438-bb1b5f09c851	1	25755	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
3110082I17Rik:Vdac3	chr5	139345493	-	chr8	23083774	-	ad1bfccd-88b6-4a2a-97b8-70ef651817e9	1	16450	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
3300002P13Rik:Cacng6	chr7	3471789	-	chr7	3483217	+	4a8b7a96-21fb-4923-b74d-44ee0a0a921f;4df7f781-14bf-4291-a501-b349ad065077;da84f727-eda2-482a-8f6d-1b92e8a9c3fc	3	23004;23005;23006	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4633401B06Rik:Abcd3	chr3	121581148	-	chr3	121579720	-	142506ab-886e-490f-9375-5cd911108e05	1	19723	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833415N18Rik:Lgals1	chr16	11599364	+	chr15	78810924	+	7b875277-8b39-40d4-9a6b-d18ef1fc0884	1	15020	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833418N02Rik:Mcfd2	chr17	87589601	-	chr17	87565517	-	811d3edf-f0c2-40a4-9082-5a6d43bd0fd5	1	34033	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833419F23Rik:Mtpap	chr18	4354192	+	chr18	4379568	+	0c3403c9-b34f-4df4-a5a2-fad80bb72000;daf2a10b-bf0c-4621-b9e1-cb39291685cc;dc5bd3f1-36aa-4b97-be1d-284cd577b659;e09e324b-c49e-417f-9f68-e6031a58ae90	4	23571;25295;34042;36086	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833419F23Rik:Mtpap	chr18	4354192	+	chr18	4386952	+	7590c13a-82f7-4eca-afa4-6ede6c7cb705	1	28573	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833419F23Rik:Mtpap	chr18	4368040	+	chr18	4379568	+	012462a8-f6a8-497d-90e7-cd725759810b;325e743c-ff57-4a00-a35b-62d25c968850;450ea9b3-58e7-40ad-86eb-5bbcda86d9fc;9d59ed4e-2d38-4387-a93f-ed7058da59b3	4	5826;23570;34043;36087	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833420G17Rik:Gm15500	chr13	119622653	+	chr7	114305470	-	10e6fc34-4bf4-454e-bff9-6d56f004d692	1	9445	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833420G17Rik:Zfp951	chr13	119599655	+	chr5	104965218	-	a6746f7f-4d0c-4f3f-881b-4541307ea35f	1	2	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833439L19Rik:Ifi27l2a	chr13	54699030	-	chr12	103409770	-	7aff21d9-bcd1-4fba-82ca-c6ef12fb88ce	1	6606	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833439L19Rik:Smap2	chr13	54711997	-	chr4	120826861	-	61444daf-71aa-4058-98ba-97cb42684d06	1	1508	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4833445I07Rik:Dalrd3	chr9	108446373	+	chr9	108447084	+	74fae0cd-976f-4200-94bd-10fdc9c10288	1	28165	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4921507P07Rik:5430402O13Rik	chr6	50568616	-	chr6	50566888	+	16cbc55c-1b72-42dc-a832-213ffcc0e9e7	1	20277	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4921524J17Rik:Mylk3	chr8	86153488	-	chr8	86087202	-	9ac65b24-16fe-4aaa-8308-b357da4f68a4	1	34766	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930430E12Rik:Tmsb4x	chr4	6353614	-	chrX	165991047	-	d8b281c1-7381-4f76-be45-ded44b874683	1	36593	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930440I19Rik:Gnas	chr2	77891644	+	chr2	174176004	+	2d8b52fa-3d03-460c-a872-afce4dd1ace6	1	1150	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930445E18Rik:9230109A22Rik	chr15	25313329	-	chr15	25179470	-	5ea73e56-af4b-411f-82d0-ed76047e676e	1	24207	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930455G09Rik:Rplp0	chr4	141756307	+	chr5	115697845	+	2aac8f45-fb2e-4f0a-b025-0c3728319ca3	1	14995	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930455G09Rik:Tmem51	chr4	141745441	+	chr4	141759405	-	4290b169-5f6c-4e18-924a-b0ca917bff1f	1	902	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930471E15Rik:Fam120b	chr12	65229452	+	chr17	15626016	+	776d31a2-315e-4311-8809-ed35190d85f1	1	1139	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930471E15Rik:Wdr20rt	chr12	65229452	+	chr12	65274981	+	01573fdb-e180-4803-a181-b14ae57f5a4d;02b7a8e1-4e42-42dc-ace6-b1f26951ed5d;0a67b7bb-f063-4e46-bd0b-c431ae85b401;0c8d4296-9747-4301-a64f-e3e43a617fc4;0cd02c42-cdc5-4480-8042-5349615460b1;0ce2b468-4a92-4bf7-ab02-1fd323ba9132;0d2045aa-d602-44af-8f17-317ec9356c2f;0f45d29e-df75-4c6f-a34e-50deecad5257;0faf3d1e-0b6b-41d9-bf59-6ed14682ef3d;11b70b40-04a8-4581-8511-ea389f07d924;15655676-a917-464c-b247-7b9efa69432f;16ed8ee5-a37d-45c6-8cf6-2018e35acef6;1828c016-ae47-48a5-a0d1-d2fae26b6433;1d3d2fc1-923b-4025-a283-3ceb330218e2;1e781599-f92f-438a-9c58-c6f34fee7814;2176c3a7-3019-4120-a11c-76ded8986010;23393e76-ecb4-4595-ab11-e6dc342df81a;24682f16-e44f-4469-96da-aa8e30019cc1;25bc5413-7d2d-4629-a7a3-92bbccba7719;2949e7ca-be67-472a-b3eb-1e632f7487f5;2a6889ad-3731-4917-a623-11e6149e1928;2b4bbdc5-105d-4532-8be8-714895dd39fb;2bdcc840-7cb1-4bf6-bf4e-ff526428001a;2de3c05d-4c88-4e35-a371-86029bf2c08b;2df2806e-a922-47df-95b4-d5d65eaca116;2ec19a42-5b03-48fa-9299-a4055fe51fe9;33feb1f8-890b-4894-88b5-f561fadafa7a;36ca1fe5-4d24-4102-a153-2e28050942d0;3a28fba6-84f6-4b80-a7c4-151cea8e5aff;3c6dd16f-9ab6-45f6-bf31-aa4e3319555a;3c7404ff-4e49-43be-b085-e9a10f2c6bc4;3d79f4da-46a9-442c-a3f0-9a8d2b37eea1;3eb7d27c-0c43-4cf0-a7b4-36bdfc2170df;40ed2223-724f-4e53-9884-8d01fff628b2;41bab810-58c9-42bf-a7d9-5637b91e0e78;42e9a445-7e3c-4719-ab31-aa8bdd0cae19;436455d4-5449-4ab5-a746-fb53e385ccf1;4449f42e-09a0-44c7-a28d-b721ebf27f11;46b3e305-da96-498b-abb7-a0cc8b5b33ab;486c9822-7571-46ad-9acd-ce55c351f968;490e76bc-a125-4890-9c73-fdc86507aaee;4c690c30-85ee-4dad-b84f-6cde89a7c030;527a2fcc-598d-442a-b934-4760ccad766d;55cef463-79d1-4934-aea8-3da9937ef0dd;58576ea0-638d-40bc-91f2-7e93b9048479;59972755-f651-416f-b87e-f394b06c90db;5b7cb3e1-1a0e-4c19-9fee-0fcc77354304;5c482a66-fea0-4b4e-b0ee-18a459ea82f7;5d106bf0-0a2a-4849-b2af-78a4bccca153;5e115b05-076f-4710-ae2c-8c17840ed195;5e7bbc78-a364-46cd-b74a-7c6f01af2fb1;6010f2c2-91c2-4c3b-8c8f-4028f4691b66;62d36bd4-1ec2-4217-a98e-269643bf6391;632e7d4c-ca72-493f-a3b7-88a5a92e5500;646f3f9a-1f82-4304-b56b-75a50eaa3dd5;6b8e65f1-58b3-4375-ae85-6c96146cf822;6dd9ca04-2d0f-4d96-9e31-22fe918450c5;6fb09bb2-e3d0-4c05-8257-0d634e181876;70d4ec78-b603-4f4c-b1fe-e38a3a47d295;73487804-c0ee-452c-8cee-5b7e5765bb91;77eb2603-92b4-493e-99b2-f08dbd336cc5;78c98df2-9550-4c1e-b7ff-b70d80e94a46;7b664462-9076-4de8-a944-4229ad3e002c;7c824482-3b6b-41d4-9795-bb72d34a4ee5;7d0dc5e5-dd6e-45c8-9885-7cb51aa334c6;7db919ca-d399-4aae-a71a-a887eecfabb4;824eca10-2e3b-415a-b639-a5a2f4caaa03;829bb1a0-89ca-45f2-a226-3794590e1211;8e0d5ea4-47de-4239-8626-582844a6a727;8f850d56-5911-48a2-ae23-511aca88ca5f;909932cd-ef11-4594-9639-a9a3861cbda7;93b64ea2-efa7-48cb-a3af-49972e7f138a;94a3cb17-0a43-41f4-ba9f-778bb6903c04;97613b2e-9737-4d23-9fce-98aa97e944e4;99e3c980-5ea6-4f4b-8f99-5ac077092cbd;9b821cc9-d331-4f80-9dba-7601170162a5;9c296d3b-a802-4290-99c3-2997303bfd2e;9f928f38-edcb-4803-a891-6ffddf2a6ee2;a1d31c3f-df09-4f7e-90f8-4d51b2f070bf;a1e3c563-0abb-493d-8c30-9be611307b61;a1e69d6e-48ae-4827-824f-b8cc13e27c53;a37a5698-d132-47d4-8b3c-e509c5f7c1e3;a6a4007d-b32d-4531-b5c0-98972f32883a;a726594f-4bc7-4354-ac22-fd7fc7f362f6;a992cc56-6f51-4aa6-9468-f542d35b22e1;aab5b1d1-6ba0-456f-9e1f-fb972a4b6b7a;ab37cd11-aba5-4bee-97c1-66d36b146311;ab5339ce-bf01-4411-b98a-3e6a8144b0cd;ad41956c-8e2c-43e8-91ba-308e631dd045;ae8a4220-8883-41a6-8354-35386e8aa8ec;aea1066a-a5d7-4956-8fe7-f6b7e2277eb5;b09d9991-0dfc-41be-8b7f-0f36dcdc241c;b10a0e01-575a-40f1-a74b-ab9b619020a9;b1a53308-20c8-46bb-8785-ee40c421cd6d;b53eddaa-1b0b-4b9e-b9e5-4f00e0ef3d7c;b5561170-f1c0-4724-8792-10222424ba9d;b7698fa6-d503-438a-bae8-a502dccae358;ba9e0884-07ce-4594-aeaa-8e7e6df1a8a2;bc25ad24-d123-4388-8da8-c5a56ac2e6d0;c06fd299-329b-478f-9907-eba19efede8d;c1739d50-28bd-4ce5-a568-bd87ab495f17;c36f2e35-2f1a-483f-a72d-9141cc1f14d6;c87a305e-a7aa-4304-9073-479e3e5a693d;c8d47a0a-1f7f-4f97-9f7a-fefd9b83e1b3;cbcf1481-396d-4361-9b5e-50ea183428b0;d204d13a-1b63-47cd-9b1b-10ad99d9362a;d408c7ab-8187-4d4b-a581-fb25d07ca600;da491c26-61bd-4f11-b2e5-a147abf700f1;daaa0557-5ba0-43e9-a498-836451725459;daec3529-4243-4c35-b51f-349b6e4ee7ba;dbc7f47f-520e-47fb-8073-4ee72c0fd0c6;dc4fe56b-ce49-49a7-944e-c0f1d16283a6;dcded72e-3249-4b1f-b866-275130a34624;e3066c70-ffb2-4f3d-8eec-8d96974b17f1;e40b85ce-8098-4300-9cca-5b76145b0cd3;e4350eda-c97f-487c-bb15-ae14e45a3f92;e52b88d6-8c39-4b68-8a90-29cf647b600f;e5e44ec7-1e17-4e82-b37c-8b09ea88ac9b;e60715ff-66fa-417b-9cc7-d33e7ca5b5f5;e898a7c0-05a2-46ed-9c08-b986e41f358c;e90877d7-4dd0-491d-95d1-f7803b79e6dd;e9e51076-e5e1-43e7-ab51-6e1a1848d339;ea207959-6722-46f8-b344-d7b81546da80;ea448e31-8116-477a-98bf-657c9a7966cb;eb3d42c6-3f01-41dd-a6b7-b8c18c8353b0;eb9416e3-72a3-4776-96bf-00be612c6842;ed260600-7e99-4757-bf45-3945cdbe6a59;ed2be16e-cb62-4211-986c-1a334478c690;ed617b08-36e3-4937-b6f7-6d8b24b82098;f2994a41-de96-4774-9cd8-204872bd3875;f62cddef-c5a1-44dd-a2b8-e7fec3baf524;f7c396d1-7b7d-439a-a89b-6cc36675d198;fb4b3544-761d-4a06-afd9-9f2e142ceef3	133	21247;21248;21249;21250;21251;21252;21253;21254;21255;21256;21257;21258;21259;21260;21261;21262;21263;21264;21265;21266;21267;21268;21269;21270;21271;21272;21273;21274;21275;21276;21277;21278;21279;21280;21281;21282;21283;21284;21285;21286;21287;21288;21289;21290;21291;21292;21293;24068;24069;24070;24071;24072;24073;24074;24075;24076;24077;24078;24079;24080;24081;24082;24083;24084;24085;26382;26383;26384;26385;26386;26387;26388;26389;26390;26391;26392;26393;26394;26395;26396;26397;26398;26399;26400;26401;26402;26403;26404;26405;26406;26407;26408;26409;26410;26411;26412;26413;26414;26415;26416;26417;26418;26419;26420;26421;26422;26423;26424;26425;26426;26427;26428;34989;34990;34991;34992;34993;34994;34995;34996;34997;34998;34999;35000;35001;35002;35003;35004;35005;35006;35007;35008;35009	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4930589L23Rik:Fnip2	chr3	79476505	+	chr3	79413585	-	608bd902-c176-43af-bf6c-e7fb0cda1146	1	1854	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4931422A03Rik:Lmo2	chr2	103856511	-	chr2	103811219	+	7e44494d-a951-4e91-99ea-fece60472b9f	1	36413	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4932438A13Rik:Ccna2	chr3	36945094	+	chr3	36620823	-	bdbff5d1-3dbf-4c14-8492-312e08912472	1	47	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4933406I18Rik:Psma1	chr7	113920374	-	chr7	113875353	-	3c1d97e5-0b96-4a42-b997-b065a7b6414f	1	32840	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4933412E12Rik:Ylpm1	chr10	116786597	+	chr12	85111744	+	3f5e132b-a270-46f6-bf80-9901cddb8336	1	2105	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4933434E20Rik:Gstm1	chr3	89960916	+	chr3	107923916	-	73224787-9639-4491-abf6-11f2f46fe2a8	1	3	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
4933439K11Rik:Cfap45	chr1	172378083	-	chr1	172372658	+	692b3052-53e3-4f24-9dd0-2b99529b0b88	1	19444	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
