probe_id	pair_id	side	transcript_id	gene_id	chrom	breakpoint	strand	reference
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000222929.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000221938.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000222680.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000220563.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000223185.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000159152.3	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000221820.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000220884.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	b	ENSMUST00000022062.8	ENSMUSG00000021577.15	chr13	74476534	-	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	b	ENSMUST00000160900.2	ENSMUSG00000021577.15	chr13	74476534	-	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	a	ENSMUST00000018625.10	ENSMUSG00000018481.10	chr11	85085401	-	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000108061.8	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000108062.8	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000092821.10	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000074875.11	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000154396.8	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000142596.8	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Appbp2:Bcas3	Appbp2:Bcas3	b	ENSMUST00000092822.5	ENSMUSG00000059439.16	chr11	85467608	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	a	ENSMUST00000056449.9	ENSMUSG00000048865.17	chr1	171216931	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	a	ENSMUST00000131607.7	ENSMUSG00000048865.17	chr1	171216931	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	a	ENSMUST00000135312.3	ENSMUSG00000048865.17	chr1	171216931	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	a	ENSMUST00000194914.2	ENSMUSG00000048865.17	chr1	171216931	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	b	ENSMUST00000069597.8	ENSMUSG00000073563.4	chr18	54081120	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	b	ENSMUST00000237880.2	ENSMUSG00000073563.4	chr18	54081120	+	GENCODE M28 / GRCm39
Arhgap30:Csnk1g3	Arhgap30:Csnk1g3	b	ENSMUST00000236399.2	ENSMUSG00000073563.4	chr18	54081120	+	GENCODE M28 / GRCm39
Arl5b:4930455G09Rik	Arl5b:4930455G09Rik	a	ENSMUST00000069870.11	ENSMUSG00000017418.15	chr2	15060385	+	GENCODE M28 / GRCm39
Arl5b:4930455G09Rik	Arl5b:4930455G09Rik	a	ENSMUST00000128682.9	ENSMUSG00000017418.15	chr2	15060385	+	GENCODE M28 / GRCm39
Arl5b:4930455G09Rik	Arl5b:4930455G09Rik	a	ENSMUST00000239125.2	ENSMUSG00000017418.15	chr2	15060385	+	GENCODE M28 / GRCm39
Arl5b:4930455G09Rik	Arl5b:4930455G09Rik	a	ENSMUST00000193836.3	ENSMUSG00000017418.15	chr2	15060385	+	GENCODE M28 / GRCm39
Arl5b:4930455G09Rik	Arl5b:4930455G09Rik	b	ENSMUST00000126231.2	ENSMUSG00000085761.2	chr4	141755911	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	a	ENSMUST00000098266.9	ENSMUSG00000018909.16	chr7	99236466	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	a	ENSMUST00000179755.8	ENSMUSG00000018909.16	chr7	99236466	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	a	ENSMUST00000032995.15	ENSMUSG00000018909.16	chr7	99236466	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	a	ENSMUST00000161525.2	ENSMUSG00000018909.16	chr7	99236466	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	a	ENSMUST00000161268.2	ENSMUSG00000018909.16	chr7	99236466	+	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000034012.10	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000132032.8	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000144970.8	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000135269.8	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000149992.2	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000146280.2	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Arrb1:Cnot7	Arrb1:Cnot7	b	ENSMUST00000128237.2	ENSMUSG00000031601.17	chr8	40963267	-	GENCODE M28 / GRCm39
Asl:Cct6a	Asl:Cct6a	a	ENSMUST00000159619.8	ENSMUSG00000025533.16	chr5	130052883	-	GENCODE M28 / GRCm39
Asl:Cct6a	Asl:Cct6a	a	ENSMUST00000160129.8	ENSMUSG00000025533.16	chr5	130052883	-	GENCODE M28 / GRCm39
Asl:Cct6a	Asl:Cct6a	b	ENSMUST00000201414.5	ENSMUSG00000029447.14	chr5	129871415	+	GENCODE M28 / GRCm39
Asl:Cct6a	Asl:Cct6a	b	ENSMUST00000202262.2	ENSMUSG00000029447.14	chr5	129871415	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	a	ENSMUST00000034983.7	ENSMUSG00000032412.9	chr9	96246099	-	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000127438.8	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000085256.8	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000117314.8	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000144930.2	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000187362.2	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000127868.2	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp1b3:Mthfs	Atp1b3:Mthfs	b	ENSMUST00000147644.2	ENSMUSG00000066442.18	chr9	89121895	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000151554.2	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000154896.8	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000103110.10	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000044721.13	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000168757.9	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000139619.8	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	a	ENSMUST00000092663.4	ENSMUSG00000019302.17	chr11	100902763	+	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	b	ENSMUST00000030455.15	ENSMUSG00000028692.15	chr4	116499174	-	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	b	ENSMUST00000128010.2	ENSMUSG00000028692.15	chr4	116499174	-	GENCODE M28 / GRCm39
Atp6v0a1:Akr1a1	Atp6v0a1:Akr1a1	b	ENSMUST00000128059.2	ENSMUSG00000028692.15	chr4	116499174	-	GENCODE M28 / GRCm39
Atxn7l1:Mir99ahg	Atxn7l1:Mir99ahg	a	ENSMUST00000090597.11	ENSMUSG00000020564.18	chr12	33352627	+	GENCODE M28 / GRCm39
Atxn7l1:Mir99ahg	Atxn7l1:Mir99ahg	b	ENSMUST00000183099.8	ENSMUSG00000090386.11	chr16	77467241	+	GENCODE M28 / GRCm39
Babam2:Mrpl33	Babam2:Mrpl33	a	ENSMUST00000201352.4	ENSMUSG00000052139.19	chr5	31859321	+	GENCODE M28 / GRCm39
Babam2:Mrpl33	Babam2:Mrpl33	a	ENSMUST00000202815.4	ENSMUSG00000052139.19	chr5	31859321	+	GENCODE M28 / GRCm39
Babam2:Mrpl33	Babam2:Mrpl33	a	ENSMUST00000201487.4	ENSMUSG00000052139.19	chr5	31859321	+	GENCODE M28 / GRCm39
Babam2:Mrpl33	Babam2:Mrpl33	a	ENSMUST00000201592.4	ENSMUSG00000052139.19	chr5	31859321	+	GENCODE M28 / GRCm39
