gene_symbol	gene_id	mgi_id	chrom	start	end	strand
Gm7369	ENSMUSG00000102735.2	MGI:3643485	chr1	4680694	4681629	+
Gm6085	ENSMUSG00000098104.2	MGI:3646770	chr1	4758157	4759626	-
Gm6119	ENSMUSG00000102175.2	MGI:3644547	chr1	4762442	4763647	-
U6	ENSMUSG00002075947.1		chr1	4793500	4793602	-
U6	ENSMUSG00002075801.1		chr1	9904723	9904827	-
U6	ENSMUSG00002075578.1		chr1	61509600	61509702	+
U6	ENSMUSG00002076368.1		chr1	87342977	87343071	-
U6	ENSMUSG00002075658.1		chr1	132028377	132028492	+
U6	ENSMUSG00002075633.1		chr1	135281455	135281560	-
U6	ENSMUSG00002075752.1		chr1	171559628	171559682	-
U6	ENSMUSG00002075003.1		chr2	25229663	25229757	+
U6	ENSMUSG00002075873.1		chr2	29821439	29821535	-
U6	ENSMUSG00002075923.1		chr2	44318947	44319055	+
U6	ENSMUSG00002074907.1		chr2	71280858	71280958	-
U6	ENSMUSG00002076159.1		chr2	71325615	71325718	+
U6	ENSMUSG00002075749.1		chr2	75517084	75517182	-
U6	ENSMUSG00002076284.1		chr2	84533606	84533706	+
U6	ENSMUSG00002075194.1		chr2	139430147	139430250	+
U6	ENSMUSG00002075309.1		chr2	152996933	152997035	+
U6	ENSMUSG00002076611.1		chr2	166610665	166610767	+
U6	ENSMUSG00002076732.1		chr3	44937635	44937739	+
U6	ENSMUSG00002075604.1		chr3	57829509	57829608	-
U6	ENSMUSG00002076226.1		chr3	63396414	63396519	+
U6	ENSMUSG00002075172.1		chr3	63677633	63677730	+
U6	ENSMUSG00002076048.1		chr3	103999697	103999798	+
U6	ENSMUSG00002075251.1		chr3	131624020	131624114	+
U6	ENSMUSG00002075594.1		chr3	132243321	132243426	-
U6	ENSMUSG00002076447.1		chr3	137618751	137618849	-
U6	ENSMUSG00002075852.1		chr4	17559917	17560019	-
U6	ENSMUSG00002075100.1		chr4	36756048	36756154	+
U6	ENSMUSG00002076291.1		chr4	41172742	41172844	-
U6	ENSMUSG00002076792.1		chr4	57762607	57762710	+
U6	ENSMUSG00002076552.1		chr4	98271639	98271728	-
U6	ENSMUSG00002076737.1		chr4	108855799	108855903	-
U6	ENSMUSG00002074989.1		chr4	116761834	116761938	+
U6	ENSMUSG00002074918.1		chr4	124229371	124229474	-
U6	ENSMUSG00002075570.1		chr4	124591298	124591400	-
U6	ENSMUSG00002076011.1		chr4	132658522	132658628	-
U6	ENSMUSG00002075369.1		chr4	135311059	135311159	+
U6	ENSMUSG00002074967.1		chr4	135864807	135864909	+
U6	ENSMUSG00002074982.1		chr4	137052870	137052925	+
U6	ENSMUSG00002074957.1		chr4	138314935	138315040	-
U6	ENSMUSG00002075295.1		chr4	150405650	150405759	+
U6	ENSMUSG00002076981.1		chr5	20469339	20469438	+
U6	ENSMUSG00002075404.1		chr5	30671922	30672028	-
U6	ENSMUSG00002075892.1		chr5	52500460	52500564	-
U6	ENSMUSG00002076468.1		chr5	73128522	73128607	-
U6	ENSMUSG00002076047.1		chr5	75532702	75532806	-
U6	ENSMUSG00002076497.1		chr5	100076142	100076240	-
U6	ENSMUSG00002075698.1		chr5	118114519	118114625	-
U6	ENSMUSG00002074914.1		chr5	124794141	124794238	-
U6	ENSMUSG00002076918.1		chr5	130811542	130811645	+
U6	ENSMUSG00002076771.1		chr6	29487716	29487821	-
U6	ENSMUSG00002076678.1		chr6	42314611	42314717	-
U6	ENSMUSG00002075492.1		chr6	42809713	42809818	+
U6	ENSMUSG00002075239.1		chr6	65841155	65841260	-
U6	ENSMUSG00002074965.1		chr6	112490408	112490510	+
U6	ENSMUSG00002074876.1		chr6	118811861	118811961	+
U6	ENSMUSG00002075013.1		chr6	120501858	120501959	+
U6	ENSMUSG00002076020.1		chr6	124941248	124941350	+
U6	ENSMUSG00002075615.1		chr6	129988800	129988861	+
U6	ENSMUSG00002076921.1		chr7	38312573	38312677	+
U6	ENSMUSG00002076420.1		chr7	38628199	38628303	+
U6	ENSMUSG00002076176.1		chr7	38933400	38933504	+
U6	ENSMUSG00002074869.1		chr7	63235670	63235770	+
U6	ENSMUSG00002075782.1		chr7	75318621	75318704	+
U6	ENSMUSG00002076632.1		chr7	81319476	81319583	+
U6	ENSMUSG00002074863.1		chr7	91041792	91041897	-
U6	ENSMUSG00002074911.1		chr7	103989297	103989396	-
U6	ENSMUSG00002075706.1		chr7	109587285	109587338	+
U6	ENSMUSG00002075642.1		chr7	116290614	116290720	-
U6	ENSMUSG00002076435.1		chr7	122981892	122981994	-
U6	ENSMUSG00002075186.1		chr7	128335926	128336027	+
U6	ENSMUSG00002076353.1		chr7	138779112	138779212	-
U6	ENSMUSG00002076275.1		chr7	140685842	140685950	-
U6	ENSMUSG00002076653.1		chr8	25428316	25428418	+
U6	ENSMUSG00002075281.1		chr8	60012349	60012456	+
U6	ENSMUSG00002075997.1		chr8	78296124	78296231	-
U6	ENSMUSG00002076868.1		chr8	103250526	103250588	+
U6	ENSMUSG00002075786.1		chr8	112605936	112606039	+
U6	ENSMUSG00002076360.1		chr9	52668208	52668325	+
U6	ENSMUSG00002076756.1		chr9	66888370	66888467	-
U6	ENSMUSG00002076837.1		chr9	70424482	70424580	+
U6	ENSMUSG00002075265.1		chr9	102250317	102250419	+
U6	ENSMUSG00002076725.1		chr9	103404016	103404118	-
U6	ENSMUSG00002075542.1		chr9	106689694	106689797	-
U6	ENSMUSG00002075474.1		chr9	114431156	114431260	-
U6	ENSMUSG00002076853.1		chr10	16992552	16992648	+
U6	ENSMUSG00002076720.1		chr10	52781734	52781840	+
U6	ENSMUSG00002075335.1		chr10	64140416	64140523	-
U6	ENSMUSG00002076504.1		chr10	80312186	80312289	+
U6	ENSMUSG00002075065.1		chr10	82993859	82993961	-
U6	ENSMUSG00002074857.1		chr10	84646951	84647047	-
U6	ENSMUSG00002075767.1		chr10	90286772	90286866	+
U6	ENSMUSG00002075246.1		chr10	110964968	110965070	-
U6	ENSMUSG00002076333.1		chr11	24503986	24504058	-
U6	ENSMUSG00002076525.1		chr11	68965841	68965941	+
U6	ENSMUSG00002076412.1		chr11	98314116	98314206	-
U6	ENSMUSG00002075277.1		chr11	98761222	98761325	-
U6	ENSMUSG00002076787.1		chr11	106655461	106655567	-
U6	ENSMUSG00002075283.1		chr11	118071767	118071861	-
U6	ENSMUSG00002076188.1		chr12	55957606	55957708	-
U6	ENSMUSG00002075853.1		chr12	70041564	70041666	-
U6	ENSMUSG00002076950.1		chr12	78799461	78799562	-
U6	ENSMUSG00002075394.1		chr12	79154732	79154836	-
U6	ENSMUSG00002076365.1		chr13	13472828	13472927	-
U6	ENSMUSG00002076131.1		chr13	14803204	14803316	-
U6	ENSMUSG00002075635.1		chr13	28058072	28058171	+
U6	ENSMUSG00002074895.1		chr13	32942185	32942293	+
U6	ENSMUSG00002075730.1		chr13	45639700	45639806	-
U6	ENSMUSG00002076820.1		chr13	64444251	64444338	-
U6	ENSMUSG00002075582.1		chr13	90075561	90075662	-
U6	ENSMUSG00002074966.1		chr14	21500542	21500633	+
U6	ENSMUSG00002076276.1		chr14	27211226	27211334	+
U6	ENSMUSG00002075402.1		chr14	48889956	48890059	+
U6	ENSMUSG00002075768.1		chr14	50025741	50025826	+
U6	ENSMUSG00002076109.1		chr14	50968510	50968616	+
U6	ENSMUSG00002075142.1		chr14	51155882	51155985	+
U6	ENSMUSG00002075443.1		chr14	61580413	61580516	-
U6	ENSMUSG00002076349.1		chr14	110665589	110665695	-
U6	ENSMUSG00002076961.1		chr14	115217860	115217965	-
U6	ENSMUSG00002076430.1		chr15	12158419	12158527	-
U6	ENSMUSG00002076493.1		chr15	44803938	44804031	+
U6	ENSMUSG00002075830.1		chr15	76098301	76098405	-
U6	ENSMUSG00002075874.1		chr15	102282315	102282418	+
U6	ENSMUSG00002076351.1		chr16	16823971	16824065	-
U6	ENSMUSG00002076579.1		chr16	17300947	17301013	-
U6	ENSMUSG00002075139.1		chr16	21592863	21592968	+
U6	ENSMUSG00002076182.1		chr16	22865709	22865814	+
U6	ENSMUSG00002075651.1		chr16	23244401	23244471	+
U6	ENSMUSG00002076436.1		chr16	35982385	35982491	-
U6	ENSMUSG00002075226.1		chr16	36038292	36038396	-
U6	ENSMUSG00002075883.1		chr16	36105795	36105899	-
U6	ENSMUSG00002075042.1		chr16	36133155	36133258	-
U6	ENSMUSG00002075419.1		chr16	36179580	36179684	+
U6	ENSMUSG00002075800.1		chr16	36224141	36224247	+
U6	ENSMUSG00002076249.1		chr16	80482113	80482211	+
U6	ENSMUSG00002076486.1		chr16	88411415	88411498	-
U6	ENSMUSG00002076706.1		chr17	33948483	33948558	+
U6	ENSMUSG00002076026.1		chr17	87010726	87010835	-
U6	ENSMUSG00002075705.1		chr18	3770741	3770804	-
U6	ENSMUSG00002075498.1		chr18	33137716	33137819	-
U6	ENSMUSG00002076599.1		chr18	46606998	46607091	-
U6	ENSMUSG00002074886.1		chr19	4954701	4954810	+
U6	ENSMUSG00002076963.1		chr19	36362192	36362297	-
U6	ENSMUSG00002075640.1		chr19	37452194	37452299	+
U6	ENSMUSG00002075407.1		chr19	53148188	53148294	-
U6	ENSMUSG00002076242.1		chrX	7950231	7950332	+
U6	ENSMUSG00002076619.1		chrX	47388456	47388559	+
U6	ENSMUSG00002076264.1		chrX	47395920	47396020	+
U6	ENSMUSG00002075736.1		chrX	120824257	120824356	+
U6	ENSMUSG00002076163.1		chrX	144449969	144450066	-
U6	ENSMUSG00002075357.1		chrX	153762335	153762444	+
U6	ENSMUSG00002075311.1		chrX	153829606	153829715	+
U6	ENSMUSG00002075879.1		chrX	163051067	163051172	-
U6	ENSMUSG00002075674.1		chrX	167364887	167364998	-
Gm2053	ENSMUSG00000103265.2	MGI:3780221	chr1	4805269	4805899	-
Gm6123	ENSMUSG00000103922.2	MGI:3647047	chr1	4841354	4842422	+
Mrpl15	ENSMUSG00000033845.14	MGI:1351639	chr1	4843429	4855962	-
Gm37144	ENSMUSG00000102275.2	MGI:5610372	chr1	4848286	4849435	-
Lypla1	ENSMUSG00000025903.15	MGI:1344588	chr1	4878011	4918633	+
Gm37988	ENSMUSG00000104217.2	MGI:5611216	chr1	4878115	4956993	+
Tcea1	ENSMUSG00000033813.16	MGI:1196624	chr1	4928037	4968132	+
Gm6104	ENSMUSG00000062588.5	MGI:3648587	chr1	4950272	4950874	-
Gm37277	ENSMUSG00000103280.2	MGI:5610505	chr1	4975974	4977084	-
Rgs20	ENSMUSG00000002459.18	MGI:1929866	chr1	4979799	5140508	-
Gm17100	ENSMUSG00000091305.2	MGI:4937927	chr1	4997251	4997522	-
Gm37079	ENSMUSG00000102653.2	MGI:5610307	chr1	5008799	5010933	-
Gm16041	ENSMUSG00000085623.2	MGI:3801909	chr1	5041080	5047043	+
Gm17101	ENSMUSG00000091665.2	MGI:4937928	chr1	5133283	5134870	+
Atp6v1h	ENSMUSG00000033793.13	MGI:1914864	chr1	5140241	5232752	+
Gm7182	ENSMUSG00000104352.2	MGI:3644877	chr1	5346329	5347560	-
Gm37567	ENSMUSG00000104046.2	MGI:5610795	chr1	5377962	5380240	+
Gm38264	ENSMUSG00000102907.2	MGI:5611492	chr1	5473770	5475801	+
Oprk1	ENSMUSG00000025905.15	MGI:97439	chr1	5658689	5676354	+
Gm36965	ENSMUSG00000103936.2	MGI:5610193	chr1	5688060	5688453	-
ENSMUSG00002076544	ENSMUSG00002076544.1		chr1	5714868	5714968	-
Gm37429	ENSMUSG00000103519.2	MGI:5610657	chr1	5913097	5914895	-
Npbwr1	ENSMUSG00000033774.5	MGI:891989	chr1	5983926	5987617	-
Gm19214	ENSMUSG00000103090.2	MGI:5011399	chr1	6119187	6120269	-
Rb1cc1	ENSMUSG00000025907.15	MGI:1341850	chr1	6276421	6346872	+
4732440D04Rik	ENSMUSG00000090031.3	MGI:3604103	chr1	6280090	6285517	-
Alkal1	ENSMUSG00000087247.4	MGI:3645495	chr1	6429442	6464955	+
Gm2147	ENSMUSG00000103355.2	MGI:3780316	chr1	6450618	6451256	+
Gm7417	ENSMUSG00000102706.2	MGI:3647903	chr1	6452858	6453330	-
Gm19026	ENSMUSG00000103845.2	MGI:5011211	chr1	6499879	6511520	-
St18	ENSMUSG00000033740.18	MGI:2446700	chr1	6557455	6931164	+
Gm42492	ENSMUSG00000103329.3	MGI:5662629	chr1	6931461	6934375	-
Gm7449	ENSMUSG00000104385.2	MGI:3647895	chr1	6980784	6981446	+
Gm37108	ENSMUSG00000102135.2	MGI:5610336	chr1	6986783	6993812	+
Gm37275	ENSMUSG00000103282.2	MGI:5610503	chr1	6999983	7000012	+
Gm37225	ENSMUSG00000102534.2	MGI:5610453	chr1	7068441	7068765	+
Gm37489	ENSMUSG00000102213.2	MGI:5610717	chr1	7083986	7084144	+
Gm5694	ENSMUSG00000103629.2	MGI:3645764	chr1	7106139	7107441	+
Pcmtd1	ENSMUSG00000051285.18	MGI:2441773	chr1	7159144	7243852	+
Gm26983	ENSMUSG00000098201.2	MGI:5504098	chr1	7206423	7206810	-
Gm38372	ENSMUSG00000103509.2	MGI:5611600	chr1	7218334	7222361	+
Gm9826	ENSMUSG00000048538.8	MGI:3642725	chr1	7247963	7249261	+
Nras-ps2	ENSMUSG00000103709.2	MGI:97378	chr1	7259966	7260143	-
Gm23274	ENSMUSG00000077244.3	MGI:5453051	chr1	7336027	7336156	+
Gm19002	ENSMUSG00000102768.2	MGI:5011187	chr1	7385675	7386686	+
Gm26901	ENSMUSG00000097797.7	MGI:5477395	chr1	7419630	7468093	-
Gm18984	ENSMUSG00000103498.2	MGI:5011169	chr1	7480903	7482217	+
Gm30414	ENSMUSG00000103067.2	MGI:5589573	chr1	7568192	7588373	+
Gm37791	ENSMUSG00000102320.2	MGI:5611019	chr1	7661870	7662155	+
Gm7470	ENSMUSG00000104226.2	MGI:3645544	chr1	7667603	7669697	+
Rps2-ps2	ENSMUSG00000103903.2	MGI:3645546	chr1	7734305	7735185	+
Gm38216	ENSMUSG00000103557.2	MGI:5611444	chr1	7799085	7800789	-
Sntg1	ENSMUSG00000025909.17	MGI:1918346	chr1	8431699	9370103	-
Gm38024	ENSMUSG00000102647.2	MGI:5611252	chr1	8521184	8523715	-
Gm16284	ENSMUSG00000086235.2	MGI:3826541	chr1	8538650	8539049	-
Gm38259	ENSMUSG00000102253.2	MGI:5611487	chr1	8598004	8601537	-
ENSMUSG00002074990	ENSMUSG00002074990.1		chr1	8658839	8658948	-
Gm37005	ENSMUSG00000103884.2	MGI:5610233	chr1	8713920	8715083	-
Gm15452	ENSMUSG00000084353.2	MGI:3768636	chr1	8862147	8862386	-
Gm36964	ENSMUSG00000103933.2	MGI:5610192	chr1	8886066	8886263	+
ENSMUSG00002075967	ENSMUSG00002075967.1		chr1	8886362	8886471	+
Gm6152	ENSMUSG00000086195.2	MGI:3648859	chr1	8926152	8926491	-
Gm7445	ENSMUSG00000104504.2	MGI:3644942	chr1	8926987	8927326	+
Gm7493	ENSMUSG00000066693.3	MGI:3643471	chr1	9033220	9033845	-
Gm37629	ENSMUSG00000102316.2	MGI:5610857	chr1	9261292	9262341	-
Gm38008	ENSMUSG00000103819.2	MGI:5611236	chr1	9328842	9329359	-
Gm37143	ENSMUSG00000102871.2	MGI:5610371	chr1	9357147	9360405	+
Gm6187	ENSMUSG00000101571.3	MGI:3648954	chr1	9466998	9468912	-
Gm18299	ENSMUSG00000104428.2	MGI:5010484	chr1	9509966	9510601	-
Gm7512	ENSMUSG00000102272.2	MGI:3646401	chr1	9520804	9521973	+
Gm24765	ENSMUSG00000065625.3	MGI:5454542	chr1	9528895	9528997	+
Gm18300	ENSMUSG00000103411.2	MGI:5010485	chr1	9569563	9571747	-
Rrs1	ENSMUSG00000061024.9	MGI:1929721	chr1	9615633	9617680	+
Adhfe1	ENSMUSG00000025911.15	MGI:1923437	chr1	9618173	9650898	+
2610203C22Rik	ENSMUSG00000079671.9	MGI:1919731	chr1	9631057	9701400	-
Gm6161	ENSMUSG00000081441.4	MGI:3644104	chr1	9644773	9645874	+
Vxn	ENSMUSG00000067879.4	MGI:1924232	chr1	9671424	9697368	+
Gm29520	ENSMUSG00000099827.2	MGI:5580226	chr1	9709480	9710807	-
Mybl1	ENSMUSG00000025912.17	MGI:99925	chr1	9737640	9770434	-
Vcpip1	ENSMUSG00000045210.9	MGI:1917925	chr1	9788847	9818607	-
1700034P13Rik	ENSMUSG00000097893.9	MGI:1920581	chr1	9817873	9862149	+
Sgk3	ENSMUSG00000025915.15	MGI:2182368	chr1	9868332	9971070	+
Gm6195	ENSMUSG00000046334.5	MGI:3647661	chr1	9872422	9872778	-
Mcmdc2	ENSMUSG00000046101.17	MGI:3045334	chr1	9978863	10012310	+
Snhg6	ENSMUSG00000098234.8	MGI:1921074	chr1	10012184	10014343	-
Snord87	ENSMUSG00000093178.3	MGI:2387894	chr1	10012688	10012774	-
Tcf24	ENSMUSG00000099032.3	MGI:3780500	chr1	10030388	10038157	-
E330040D14Rik	ENSMUSG00000104025.2	MGI:3649088	chr1	10037539	10038912	+
Ppp1r42	ENSMUSG00000025916.11	MGI:1921138	chr1	10038849	10079361	-
Gm15818	ENSMUSG00000087199.2	MGI:3801960	chr1	10052612	10062591	+
Gm24674	ENSMUSG00000119658.1	MGI:5454451	chr1	10080039	10080142	-
Cops5	ENSMUSG00000025917.10	MGI:1349415	chr1	10094826	10108393	-
Cspp1	ENSMUSG00000056763.17	MGI:2681832	chr1	10108212	10206993	+
1700047N06Rik	ENSMUSG00000102356.2	MGI:1923853	chr1	10127250	10128169	-
Arfgef1	ENSMUSG00000067851.12	MGI:2442988	chr1	10207796	10302895	-
7SK	ENSMUSG00002076532.1		chr1	10236764	10237003	+
7SK	ENSMUSG00002075174.1		chr1	14002602	14002909	+
7SK	ENSMUSG00002076565.1		chr1	15949754	15950056	+
7SK	ENSMUSG00002076392.1		chr1	32765720	32766011	+
7SK	ENSMUSG00002076708.1		chr1	38013048	38013284	+
7SK	ENSMUSG00002076633.1		chr1	47790458	47790727	-
7SK	ENSMUSG00002075589.1		chr1	50598921	50599234	+
7SK	ENSMUSG00002075401.1		chr1	59665739	59665823	+
7SK	ENSMUSG00002076719.1		chr1	69960632	69960906	-
7SK	ENSMUSG00002076983.1		chr1	89612524	89612834	+
7SK	ENSMUSG00002076269.1		chr1	97864125	97864436	+
7SK	ENSMUSG00002076592.1		chr1	104413682	104414011	+
7SK	ENSMUSG00002076531.1		chr1	109732490	109732774	+
7SK	ENSMUSG00002075689.1		chr1	131030130	131030482	-
7SK	ENSMUSG00002076323.1		chr1	165325568	165325818	-
7SK	ENSMUSG00002076129.1		chr1	172512082	172512408	-
7SK	ENSMUSG00002076271.1		chr1	176621522	176621786	+
7SK	ENSMUSG00002076207.1		chr1	184590335	184590609	-
7SK	ENSMUSG00002076612.1		chr1	190929103	190929210	+
7SK	ENSMUSG00002076180.1		chr1	192680594	192680882	-
7SK	ENSMUSG00002075163.1		chr1	194540965	194541258	+
7SK	ENSMUSG00002075987.1		chr2	7080905	7081225	-
7SK	ENSMUSG00002075086.1		chr2	8476905	8477195	-
7SK	ENSMUSG00002076042.1		chr2	21202501	21202677	-
7SK	ENSMUSG00002075040.1		chr2	23713065	23713239	+
7SK	ENSMUSG00002076315.1		chr2	24491377	24491701	+
7SK	ENSMUSG00002075707.1		chr2	66432859	66433142	+
7SK	ENSMUSG00002076685.1		chr2	68314487	68314728	+
7SK	ENSMUSG00002076570.1		chr2	72158031	72158338	+
7SK	ENSMUSG00002075043.1		chr2	78380852	78381081	-
7SK	ENSMUSG00002075961.1		chr2	114100592	114100909	+
7SK	ENSMUSG00002076462.1		chr2	116793718	116794030	+
7SK	ENSMUSG00002076287.1		chr2	126110992	126111283	-
7SK	ENSMUSG00002076675.1		chr2	127314937	127315228	-
7SK	ENSMUSG00002075903.1		chr2	130547248	130547616	-
7SK	ENSMUSG00002076022.1		chr2	142223908	142224211	+
7SK	ENSMUSG00002076736.1		chr2	145323327	145323651	-
7SK	ENSMUSG00002075447.1		chr2	147092382	147092705	-
7SK	ENSMUSG00002076826.1		chr2	156228027	156228242	+
7SK	ENSMUSG00002075137.1		chr2	164603579	164603894	+
7SK	ENSMUSG00002075029.1		chr2	166523994	166524340	+
7SK	ENSMUSG00002076460.1		chr3	9467235	9467545	+
7SK	ENSMUSG00002075512.1		chr3	13910746	13911040	+
7SK	ENSMUSG00002076698.1		chr3	14094542	14094822	-
7SK	ENSMUSG00002074984.1		chr3	19384937	19385248	+
7SK	ENSMUSG00002076746.1		chr3	24772880	24773145	+
7SK	ENSMUSG00002075466.1		chr3	43880004	43880299	+
7SK	ENSMUSG00002075221.1		chr3	73115036	73115334	-
7SK	ENSMUSG00002076884.1		chr3	78749531	78749873	+
7SK	ENSMUSG00002074992.1		chr3	82700963	82701204	-
7SK	ENSMUSG00002074954.1		chr3	83541884	83542181	-
7SK	ENSMUSG00002076204.1		chr3	100645768	100646029	-
7SK	ENSMUSG00002075007.1		chr3	102990192	102990491	+
7SK	ENSMUSG00002075593.1		chr3	107323179	107323511	-
7SK	ENSMUSG00002075985.1		chr3	121131341	121131608	+
7SK	ENSMUSG00002076850.1		chr3	124642238	124642535	+
7SK	ENSMUSG00002076235.1		chr3	125946105	125946372	-
7SK	ENSMUSG00002076290.1		chr3	153327339	153327606	+
7SK	ENSMUSG00002076819.1		chr4	11928424	11928739	+
7SK	ENSMUSG00002075147.1		chr4	18708748	18709033	+
7SK	ENSMUSG00002076858.1		chr4	18730217	18730548	-
7SK	ENSMUSG00002075975.1		chr4	19514490	19514779	-
7SK	ENSMUSG00002075802.1		chr4	32514787	32515053	+
7SK	ENSMUSG00002076527.1		chr4	34683879	34684185	+
7SK	ENSMUSG00002076882.1		chr4	46118180	46118446	+
7SK	ENSMUSG00002075333.1		chr4	51540747	51541015	+
7SK	ENSMUSG00002075636.1		chr4	53720902	53721200	-
7SK	ENSMUSG00002075167.1		chr4	54710624	54710912	+
7SK	ENSMUSG00002076539.1		chr4	70330855	70331160	-
7SK	ENSMUSG00002076908.1		chr4	78588384	78588469	+
7SK	ENSMUSG00002074882.1		chr4	85828148	85828424	+
7SK	ENSMUSG00002076227.1		chr4	94322461	94322721	-
7SK	ENSMUSG00002075496.1		chr4	101412292	101412565	+
7SK	ENSMUSG00002075274.1		chr4	105832772	105833082	-
7SK	ENSMUSG00002076501.1		chr4	109018121	109018394	-
7SK	ENSMUSG00002076910.1		chr4	111845847	111846155	-
7SK	ENSMUSG00002076804.1		chr4	116772424	116772690	+
7SK	ENSMUSG00002076717.1		chr4	120991854	120992172	+
7SK	ENSMUSG00002076881.1		chr4	123384024	123384129	+
7SK	ENSMUSG00002076928.1		chr4	132898738	132899025	-
7SK	ENSMUSG00002075549.1		chr4	143066969	143067276	+
7SK	ENSMUSG00002075427.1		chr4	152286264	152286599	-
7SK	ENSMUSG00002076957.1		chr5	23692392	23692721	-
7SK	ENSMUSG00002074913.1		chr5	25025591	25025835	-
7SK	ENSMUSG00002074973.1		chr5	25393359	25393641	-
7SK	ENSMUSG00002076955.1		chr5	29914632	29914960	+
7SK	ENSMUSG00002075106.1		chr5	32027390	32027691	+
7SK	ENSMUSG00002075629.1		chr5	39504034	39504279	+
7SK	ENSMUSG00002076874.1		chr5	66483083	66483405	-
7SK	ENSMUSG00002075735.1		chr5	79786662	79786956	-
7SK	ENSMUSG00002075998.1		chr5	89829775	89830098	+
7SK	ENSMUSG00002075701.1		chr5	92130564	92130839	+
7SK	ENSMUSG00002075219.1		chr5	103750453	103750745	+
7SK	ENSMUSG00002075291.1		chr5	118349118	118349407	-
7SK	ENSMUSG00002075826.1		chr5	124395826	124396089	+
7SK	ENSMUSG00002075259.1		chr5	132830517	132830795	+
7SK	ENSMUSG00002076053.1		chr5	134233310	134233597	+
7SK	ENSMUSG00002075041.1		chr5	139830685	139831005	+
7SK	ENSMUSG00002075587.1		chr6	4382878	4383204	+
7SK	ENSMUSG00002075015.1		chr6	8439353	8439664	+
7SK	ENSMUSG00002074960.1		chr6	19046836	19047150	+
7SK	ENSMUSG00002075480.1		chr6	19341328	19341585	-
7SK	ENSMUSG00002076693.1		chr6	30143800	30144126	-
7SK	ENSMUSG00002076345.1		chr6	46014710	46015013	+
7SK	ENSMUSG00002076019.1		chr6	83568803	83569125	-
7SK	ENSMUSG00002076773.1		chr6	85043165	85043419	+
7SK	ENSMUSG00002075885.1		chr6	88382959	88383283	+
7SK	ENSMUSG00002075195.1		chr6	99552852	99553098	+
7SK	ENSMUSG00002076799.1		chr6	99870187	99870508	-
7SK	ENSMUSG00002076285.1		chr6	111604949	111605244	+
7SK	ENSMUSG00002076401.1		chr6	111969071	111969385	+
7SK	ENSMUSG00002074936.1		chr6	111976288	111976602	+
7SK	ENSMUSG00002076474.1		chr6	127826184	127826482	+
7SK	ENSMUSG00002076174.1		chr6	140476689	140476941	+
7SK	ENSMUSG00002075090.1		chr6	141660507	141660817	-
7SK	ENSMUSG00002074877.1		chr6	141860804	141861018	-
7SK	ENSMUSG00002075681.1		chr6	141928973	141929221	-
7SK	ENSMUSG00002075778.1		chr6	142184265	142184553	-
7SK	ENSMUSG00002075270.1		chr6	145233654	145233983	-
7SK	ENSMUSG00002074998.1		chr7	13072755	13073034	+
7SK	ENSMUSG00002076915.1		chr7	13108406	13108673	+
7SK	ENSMUSG00002076496.1		chr7	30010950	30011320	+
7SK	ENSMUSG00002076774.1		chr7	36450620	36450898	-
7SK	ENSMUSG00002076710.1		chr7	40012874	40013145	+
7SK	ENSMUSG00002075429.1		chr7	43889172	43889459	+
