read_id	pair_id	parent_a	chrom1	breakpoint1	strand1	parent_b	chrom2	breakpoint2	strand2	Chromosomal_Status	source_row	sample_id	assembly	source_id
f0c69aaf-7b02-4080-8468-aabae7330f4c	Eef1g:Ahnak	Eef1g	chr19	8950472	+	Ahnak	chr19	9014522	+	Intrachromosomal	18		GRCm39	supplementary_table_3
5e228501-7340-4821-a873-f975987e852f	Coro1a:Aldoa	Coro1a	chr7	126299428	-	Aldoa	chr7	126396080	-	Intrachromosomal	19		GRCm39	supplementary_table_3
d26313d8-9f73-4d61-84cb-3f8ce79566f6	Rspry1:Amfr	Rspry1	chr8	95329058	+	Amfr	chr8	94731853	-	Intrachromosomal	20		GRCm39	supplementary_table_3
dd7e797a-b734-4306-bd2e-05a2f80948a1	Anp32e:Golph3l	Anp32e	chr3	95845351	+	Golph3l	chr3	95524354	+	Intrachromosomal	21		GRCm39	supplementary_table_3
d67684d6-0e82-4383-bba4-2d2f6ec67bb2	Apc:Reep5	Apc	chr18	34354329	+	Reep5	chr18	34482856	-	Intrachromosomal	22		GRCm39	supplementary_table_3
23b7cc57-0781-40ab-a09a-c4c7da070f9b	Lman2:Apobec3	Lman2	chr13	55498968	-	Apobec3	chr15	79799160	+	Interchromosomal	23		GRCm39	supplementary_table_3
992592b6-ed10-4702-b493-5469461c9616	App:Opa1	App	chr16	84853211	-	Opa1	chr16	29467754	+	Intrachromosomal	24		GRCm39	supplementary_table_3
25a0ac76-9903-450b-95f1-7e2261edcf81	Arhgef10l:Zfp989	Arhgef10l	chr4	140297567	-	Zfp989	chr4	147073383	+	Intrachromosomal	25		GRCm39	supplementary_table_3
c9c8c59a-6cb0-4dd3-9e5d-e894cb19e42d	Arid1a:Anp32b	Arid1a	chr4	133479779	-	Anp32b	chr4	46460089	+	Intrachromosomal	26		GRCm39	supplementary_table_3
46fa1042-4201-4b1d-afbf-e91af6b07af8	Arid5b:Ube2v1	Arid5b	chr10	68078833	-	Ube2v1	chr2	167459897	-	Interchromosomal	27		GRCm39	supplementary_table_3
be11812f-cb5f-4510-b344-7eab2a55abed	Tlk1:Arl5a	Tlk1	chr2	70655536	-	Arl5a	chr2	52306708	-	Intrachromosomal	28		GRCm39	supplementary_table_3
da053f1d-f3a9-4f66-b4f1-f73c3d8fc7df	Arrb1:Cnot7	Arrb1	chr7	99236466	+	Cnot7	chr8	40963267	-	Interchromosomal	29		GRCm39	supplementary_table_3
d9b5dafd-fb01-4d95-b7ec-7dc158ee9603	Cyrib:Asap1	Cyrib	chr15	63894418	-	Asap1	chr15	63974321	-	Intrachromosomal	30		GRCm39	supplementary_table_3
9035c0b0-e4eb-4e96-a205-a0a6e08f72c5	Asph:Gm20658	Asph	chr4	9601306	-	Gm20658	chr12	116067206	-	Interchromosomal	31		GRCm39	supplementary_table_3
6a833f23-9a0a-4c09-abfc-008ddf22a036	Lrmda:Atp2c1	Lrmda	chr14	22077395	+	Atp2c1	chr9	105290388	-	Interchromosomal	32		GRCm39	supplementary_table_3
5f2a4ed1-eb69-42d9-ad64-e31ec6f9f1de	Atp6v0a1:Akr1a1	Atp6v0a1	chr11	100902763	+	Akr1a1	chr4	116499174	-	Interchromosomal	33		GRCm39	supplementary_table_3
1f46072d-697f-4eaa-b3ed-b7bf5dcfd4ba	Atp6v1b2:Utp4	Atp6v1b2	chr8	69561039	+	Utp4	chr8	107632756	+	Intrachromosomal	34		GRCm39	supplementary_table_3
9dc5ed6b-2862-4267-8583-bde2205aaeea	Ugt1a7c:Atp6v1h	Ugt1a7c	chr1	88023700	+	Atp6v1h	chr1	5203306	+	Intrachromosomal	35		GRCm39	supplementary_table_3
e6960bbb-17b8-4b0d-97b4-f4931d70741e	Alpk1:Atp9b	Alpk1	chr3	127522919	-	Atp9b	chr18	80851987	-	Interchromosomal	36		GRCm39	supplementary_table_3
f8e31c4a-2ca8-4277-a58c-ab9a1aac2a28	AW549877:Otulinl	AW549877	chr15	4021839	-	Otulinl	chr15	27660104	-	Intrachromosomal	37		GRCm39	supplementary_table_3
42d642e8-48ff-4dab-8392-f3678e88ebf0	Basp1:4930445E18Rik	Basp1	chr15	25413637	-	4930445E18Rik	chr15	25286634	-	Intrachromosomal	38		GRCm39	supplementary_table_3
e402ca9b-b52d-4a93-982b-7d910eb4eaa4	Bckdhb:Dock5	Bckdhb	chr9	83807412	+	Dock5	chr14	67993971	-	Interchromosomal	39		GRCm39	supplementary_table_3
248aa15a-9acf-4f4b-8b3f-22cd8349be71	2310022A10Rik:Blvrb	2310022A10Rik	chr7	27260028	+	Blvrb	chr7	27161991	+	Intrachromosomal	40		GRCm39	supplementary_table_3
444fb5bc-e25a-4b7a-ac50-ac26f07efd0f	Bub1:Gm49339	Bub1	chr2	127661132	-	Gm49339	chr10	51372089	+	Interchromosomal	41		GRCm39	supplementary_table_3
a87c66c6-9db7-449c-bd63-271f325450e2	Srpk2:C1galt1	Srpk2	chr5	23821324	-	C1galt1	chr6	7863904	+	Interchromosomal	42		GRCm39	supplementary_table_3
6a284a10-581f-435b-a4e8-cf8eacfd4680	Pld4:Capns1	Pld4	chr12	112731559	+	Capns1	chr7	29887154	-	Interchromosomal	43		GRCm39	supplementary_table_3
6b927c50-df49-4c59-8f04-95c918971c48	Pdia4:Capza2	Pdia4	chr6	47777871	-	Capza2	chr6	17657171	+	Intrachromosomal	44		GRCm39	supplementary_table_3
cb839b0d-1a7d-4717-8915-609a730c8ed4	Efhd2:Capzb	Efhd2	chr4	141601870	-	Capzb	chr4	139007306	+	Intrachromosomal	45		GRCm39	supplementary_table_3
00ca799d-d8ae-40ef-bcf0-f5c7338e3a2a	Ccdc97:Ddrgk1	Ccdc97	chr7	25418342	-	Ddrgk1	chr2	130497162	-	Interchromosomal	46		GRCm39	supplementary_table_3
bdbff5d1-3dbf-4c14-8492-312e08912472	4932438A13Rik:Ccna2	4932438A13Rik	chr3	36945094	+	Ccna2	chr3	36620823	-	Intrachromosomal	47		GRCm39	supplementary_table_3
b9253030-6226-4fc3-b957-04c33655b691	Slc17a5:Cd300c2	Slc17a5	chr9	78484311	-	Cd300c2	chr11	114889161	-	Interchromosomal	48		GRCm39	supplementary_table_3
d7456a13-8aef-4418-80c6-c4efa7a7003b	Cd36:Ppp1cb	Cd36	chr5	18016178	-	Ppp1cb	chr5	32635409	+	Intrachromosomal	49		GRCm39	supplementary_table_3
74ce8309-ff3e-43b1-91b2-10a6781d1381	Rab8b:Cd74	Rab8b	chr9	66826791	-	Cd74	chr18	60944930	+	Interchromosomal	50		GRCm39	supplementary_table_3
2e42fbc5-859b-4840-975f-b115f9f1992c	Zyg11b:Cdc42	Zyg11b	chr4	108158087	-	Cdc42	chr4	137063440	-	Intrachromosomal	51		GRCm39	supplementary_table_3
e05a198e-015d-48c6-b1fb-99b75108cb33	Cdk18:Spcs2	Cdk18	chr1	132067147	-	Spcs2	chr7	99498266	-	Interchromosomal	52		GRCm39	supplementary_table_3
4d88539d-e934-4868-a4a9-43ac6f67c0a5	Pgpep1:Cfl1	Pgpep1	chr8	71110077	-	Cfl1	chr19	5542524	+	Interchromosomal	53		GRCm39	supplementary_table_3
807ce7ed-8693-4232-aa7f-361250198ef3	Chfr:Ubl5	Chfr	chr5	110294500	+	Ubl5	chr9	20556701	+	Interchromosomal	54		GRCm39	supplementary_table_3
b79c28d9-361d-4aac-b9ba-d09348b7cfb4	Chmp2b:Osbpl1a	Chmp2b	chr16	65359360	-	Osbpl1a	chr18	12921452	-	Interchromosomal	55		GRCm39	supplementary_table_3
8e99bb7e-1ac9-42f6-a4b9-3e6bbbdad81d	Scamp5:Ciapin1	Scamp5	chr9	57358638	-	Ciapin1	chr8	95550359	-	Interchromosomal	56		GRCm39	supplementary_table_3
e7f19c20-26fc-4274-b516-a9e77ea84d5c	Igsf8:Cln3	Igsf8	chr1	172140160	+	Cln3	chr7	126171783	-	Interchromosomal	57		GRCm39	supplementary_table_3
076b9146-a579-46d4-a4bd-ba2d942b280a	Plxnb2:Clpp	Plxnb2	chr15	89049449	-	Clpp	chr17	57299825	+	Interchromosomal	58		GRCm39	supplementary_table_3
dd940121-c983-4546-ac9c-238b7831aa21	Cltc:Cfl1	Cltc	chr11	86648073	-	Cfl1	chr19	5542524	+	Interchromosomal	59		GRCm39	supplementary_table_3
e8a96103-b4d6-4fef-9ede-fad3b8f3994d	Cpm:Grb2	Cpm	chr10	117511997	+	Grb2	chr11	115540719	-	Interchromosomal	60		GRCm39	supplementary_table_3
cce5551d-cd5e-4435-941d-0f51d8d0e193	Fnip2:Ctnnbl1	Fnip2	chr3	79474815	-	Ctnnbl1	chr2	157678429	+	Interchromosomal	61		GRCm39	supplementary_table_3
78d8d9fe-3796-4b49-a427-149b3f784309	Dleu2:Ctsb	Dleu2	chr14	61919558	-	Ctsb	chr14	63370764	+	Intrachromosomal	62		GRCm39	supplementary_table_3
10237921-7d14-48a8-b8ed-55f3205c7678	Cul4a:Ciapin1	Cul4a	chr8	13165573	+	Ciapin1	chr8	95555858	-	Intrachromosomal	63		GRCm39	supplementary_table_3
bceb9f20-dbb8-47d3-8e52-e6b5cdc68abc	Cyb5rl:Mrpl37	Cyb5rl	chr4	106931157	+	Mrpl37	chr4	106913301	-	Intrachromosomal	64		GRCm39	supplementary_table_3
1b9255e3-d6ff-41f8-9b6b-e99873187929	Piezo1:Cyba	Piezo1	chr8	123226366	-	Cyba	chr8	123151826	-	Intrachromosomal	65		GRCm39	supplementary_table_3
c4d53ad0-a25a-4c4b-85d7-deee054aa3b5	Tnfaip8:Cyfip1	Tnfaip8	chr18	50186686	+	Cyfip1	chr7	55577934	+	Interchromosomal	66		GRCm39	supplementary_table_3
a5226385-62a6-4877-8b0a-48be303b0891	Prim2:Dad1	Prim2	chr1	33701326	-	Dad1	chr14	54473170	-	Interchromosomal	67		GRCm39	supplementary_table_3
83be8002-1bd9-4982-8f62-5f34aec4b2be	Steap3:Dbi	Steap3	chr1	120161971	-	Dbi	chr1	120047742	-	Intrachromosomal	68		GRCm39	supplementary_table_3
3d8fb73e-68c3-4762-8271-6c6673285385	Dcstamp:Degs1	Dcstamp	chr15	39618621	+	Degs1	chr1	182104458	-	Interchromosomal	69		GRCm39	supplementary_table_3
652e43c0-ea87-459b-9aac-732149d6fd66	Dot1l:Dctn2	Dot1l	chr10	80602071	+	Dctn2	chr10	127117269	+	Intrachromosomal	70		GRCm39	supplementary_table_3
2dbd01a4-f271-4cb3-9db2-2e6a573b5d10	Ears2:Dctn5	Ears2	chr7	121654781	-	Dctn5	chr7	121747279	+	Intrachromosomal	71		GRCm39	supplementary_table_3
78b3c19d-3157-4b86-9399-de4093133240	Dennd4c:Fbxl4	Dennd4c	chr4	86667149	+	Fbxl4	chr4	22422716	+	Intrachromosomal	72		GRCm39	supplementary_table_3
d653f895-1826-4c31-8238-d8094199bf8d	Commd1:Dnajc15	Commd1	chr11	22906410	-	Dnajc15	chr14	78063910	-	Interchromosomal	73		GRCm39	supplementary_table_3
22d2cad4-2951-4512-97b0-1771988c5b5a	Dnajc5:Dpep2	Dnajc5	chr2	181162490	+	Dpep2	chr8	106716015	-	Interchromosomal	74		GRCm39	supplementary_table_3
9bd60923-15bd-479c-86ba-c7c0be267af6	Dnase2a:Kdm3b	Dnase2a	chr8	85636598	+	Kdm3b	chr18	34963181	+	Interchromosomal	75		GRCm39	supplementary_table_3
3ee48fd4-7570-4e3a-8af0-b65cb7bf2f8f	Dram1:Krtcap2	Dram1	chr10	88172672	-	Krtcap2	chr3	89154371	+	Interchromosomal	76		GRCm39	supplementary_table_3
3ffab1c1-6cdb-4ec3-844a-831470b55b89	Ehmt1:Dync1i2	Ehmt1	chr2	24742676	-	Dync1i2	chr2	71058943	+	Intrachromosomal	77		GRCm39	supplementary_table_3
06a98af0-8d9e-416e-a8ea-192bb74024be	Dync2i2:Capg	Dync2i2	chr2	29938695	-	Capg	chr6	72532255	+	Interchromosomal	78		GRCm39	supplementary_table_3
23258ee3-e6f3-448e-8bd8-cf60f0a26827	Eea1:Tor3a	Eea1	chr10	95776834	+	Tor3a	chr1	156484166	-	Interchromosomal	79		GRCm39	supplementary_table_3
f30c35eb-923a-4d7f-9987-897213149a54	Brox:Eef1b2	Brox	chr1	183065696	-	Eef1b2	chr1	63218406	+	Intrachromosomal	80		GRCm39	supplementary_table_3
f7f6162f-1b7d-4f72-ac07-275aa03a8956	Rad21:Eif3h	Rad21	chr15	51854942	-	Eif3h	chr15	51706020	-	Intrachromosomal	81		GRCm39	supplementary_table_3
5b9d2611-2be8-4f3b-95b1-6c9bd1cf68f6	Sem1:Eif3h	Sem1	chr6	6578478	-	Eif3h	chr15	51653509	-	Interchromosomal	82		GRCm39	supplementary_table_3
8e588e2e-294e-400c-bc03-9d6eb463b14c	Anxa1:Eif5	Anxa1	chr19	20357703	-	Eif5	chr12	111510962	+	Interchromosomal	83		GRCm39	supplementary_table_3
e569471d-2d7f-4fb7-a50b-5ff0c6ec6c58	Tmem94:Elp5	Tmem94	chr11	115678390	+	Elp5	chr11	69860022	-	Intrachromosomal	84		GRCm39	supplementary_table_3
ae4efc7d-0e85-48cf-ade2-edbad4dd924f	Emb:Arhgap10	Emb	chr13	117357493	+	Arhgap10	chr8	78085263	-	Interchromosomal	85		GRCm39	supplementary_table_3
f160b2a3-398d-4359-a434-e740826d7c9a	Elmo1:Emc2	Elmo1	chr13	20472183	+	Emc2	chr15	43390792	+	Interchromosomal	86		GRCm39	supplementary_table_3
f3b3c1d7-0731-4186-8f4d-81a833fa55ad	E130102H24Rik:Epb41	E130102H24Rik	chr4	101213277	-	Epb41	chr4	131663178	-	Intrachromosomal	87		GRCm39	supplementary_table_3
fe1cc35d-d75e-4649-9a25-cf6e29147c06	Il15ra:Esd	Il15ra	chr2	11723269	+	Esd	chr14	74987084	+	Interchromosomal	88		GRCm39	supplementary_table_3
40c67c3d-66ed-483c-80f0-b60cc88073f3	Etv6:Clec4a1	Etv6	chr6	134013101	+	Clec4a1	chr6	122909107	+	Intrachromosomal	89		GRCm39	supplementary_table_3
e57ad8cb-3dad-4e64-a8f2-49d1b3fd39bd	Exoc1:Npm1	Exoc1	chr5	76708253	+	Npm1	chr11	33104060	-	Interchromosomal	90		GRCm39	supplementary_table_3
64a12501-130f-4ca0-9860-9d6ad7207e37	Supt3:Eya1	Supt3	chr17	45097597	+	Eya1	chr1	14353422	-	Interchromosomal	91		GRCm39	supplementary_table_3
9580849f-aa36-48d9-8695-0c3e4d9b12b5	Lilrb4a:Fabp4	Lilrb4a	chr10	51367814	+	Fabp4	chr3	10269630	-	Interchromosomal	92		GRCm39	supplementary_table_3
fca68291-6203-4956-a0a8-77185b315e1d	Tmem156:Fam114a1	Tmem156	chr5	65215633	-	Fam114a1	chr5	65153157	+	Intrachromosomal	93		GRCm39	supplementary_table_3
3c4296e9-18d7-448d-8670-fddfe8a8b327	Prdm15:Farsa	Prdm15	chr16	97652250	-	Farsa	chr8	85595494	+	Interchromosomal	94		GRCm39	supplementary_table_3
e890f58e-9f53-4d4d-906d-dbbfea9a911b	Man2a1:Fer	Man2a1	chr17	64943650	+	Fer	chr17	64248285	+	Intrachromosomal	95		GRCm39	supplementary_table_3
ffeb31fd-7b6b-4f11-9f64-7b0ce7b2e8e6	Cdin1:Fkbp1a	Cdin1	chr2	115473217	+	Fkbp1a	chr2	151399305	+	Intrachromosomal	96		GRCm39	supplementary_table_3
3f280032-2ede-4d60-9768-b552d7a4350c	Rpl30:Flii	Rpl30	chr15	34442780	-	Flii	chr11	60605480	-	Interchromosomal	97		GRCm39	supplementary_table_3
1bcd492c-9ff0-4030-8a1b-4389c3b866f4	Foxo3:Gpr137b-ps	Foxo3	chr10	42150811	-	Gpr137b-ps	chr13	12630738	-	Interchromosomal	98		GRCm39	supplementary_table_3
03b5b964-e8c7-4ebc-8600-bc22dfbdf242	Frmd4b:Exoc6b	Frmd4b	chr6	97464553	-	Exoc6b	chr6	84602219	-	Intrachromosomal	99		GRCm39	supplementary_table_3
c7edab2b-0a4f-48eb-b822-2426f5a323c1	Mitf:Frmd4b	Mitf	chr6	97784248	+	Frmd4b	chr6	97400485	-	Intrachromosomal	100		GRCm39	supplementary_table_3
5b0d1631-6177-4f27-a44e-48542a092e9a	Ino80e:Frmd8	Ino80e	chr7	126460411	-	Frmd8	chr19	5906817	-	Interchromosomal	101		GRCm39	supplementary_table_3
a7ac6783-ad91-4903-8306-cc450715484b	Fam110a:Galk2	Fam110a	chr2	151821912	-	Galk2	chr2	125788703	+	Intrachromosomal	102		GRCm39	supplementary_table_3
7d9b9ba8-3d79-4da6-a7f7-c789eff56e6a	Snx5:Galns	Snx5	chr2	144097259	-	Galns	chr8	123307907	-	Interchromosomal	103		GRCm39	supplementary_table_3
d522f410-d805-471a-9e0a-3aeb3ab7730e	Gba:Pias1	Gba	chr3	89110848	+	Pias1	chr9	62826767	-	Interchromosomal	104		GRCm39	supplementary_table_3
e436fba2-6d8d-4b71-a6c6-53cb06da40e1	Gltp:Ankrd13a	Gltp	chr5	114812114	-	Ankrd13a	chr5	114924001	+	Intrachromosomal	105		GRCm39	supplementary_table_3
f1ed15b3-7a98-48e7-b2b4-b7eb1ed36cc2	Gm20604:Ifi27	Gm20604	chr12	102723799	-	Ifi27	chr12	103405659	+	Intrachromosomal	106		GRCm39	supplementary_table_3
13024d43-54fe-4bbd-961f-ae4e32166350	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	107		GRCm39	supplementary_table_3
752e5fe1-ebbf-40bf-8b24-f6e438c496c5	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	108		GRCm39	supplementary_table_3
85b058fa-9ffb-4ad6-bd51-f074b9ddf423	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	109		GRCm39	supplementary_table_3
d908ee2e-abf3-4715-89f5-2f276f5ebec5	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	110		GRCm39	supplementary_table_3
db1499e7-deab-401c-b8ba-e3f4ea454f4c	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	111		GRCm39	supplementary_table_3
fe4b42cd-4eb2-4cca-bbd5-9c9c22422a5f	Gmds:Gm15160	Gmds	chr13	32003561	-	Gm15160	chrX	154705912	+	Interchromosomal	112		GRCm39	supplementary_table_3
24b21719-4fb9-40b0-8654-312ec2a90bdc	Gmps:Vmn2r1	Gmps	chr3	63923018	+	Vmn2r1	chr3	64010395	+	Intrachromosomal	113		GRCm39	supplementary_table_3
b6d4981b-02b2-4b9b-add5-5783b8dbb1e3	Gna11:4932438A13Rik	Gna11	chr10	81380625	-	4932438A13Rik	chr3	37100382	+	Interchromosomal	114		GRCm39	supplementary_table_3
e317ec39-9c7a-4977-a85b-5090d275bea6	Vapb:Gnas	Vapb	chr2	173579543	+	Gnas	chr2	174176004	+	Intrachromosomal	115		GRCm39	supplementary_table_3
f52a28bc-2084-417c-b421-6210b719d377	Got1:Dis3l2	Got1	chr19	43504119	-	Dis3l2	chr1	86748943	+	Interchromosomal	116		GRCm39	supplementary_table_3
9540cfcd-5431-4895-88ce-662fc034e451	Gpatch8:Trp53	Gpatch8	chr11	102429107	-	Trp53	chr11	69481481	+	Intrachromosomal	117		GRCm39	supplementary_table_3
337546ca-5d0f-4c0d-acdc-b66aa9a2cfbe	Gsdmd:Tmem106a	Gsdmd	chr15	75735477	+	Tmem106a	chr11	101479678	+	Interchromosomal	118		GRCm39	supplementary_table_3
8606bf62-cd1e-4d8a-ba7b-9debc9f72e3e	Hars2:Fkbp3	Hars2	chr18	36919259	+	Fkbp3	chr12	65109514	-	Interchromosomal	119		GRCm39	supplementary_table_3
d585ca5f-df4b-4299-b5c6-067b270877aa	Nup35:Hells	Nup35	chr2	80483339	+	Hells	chr19	38956176	+	Interchromosomal	120		GRCm39	supplementary_table_3
5de20668-025a-4dd2-bd68-36eeaaae8e7e	Phyhd1:Hexa	Phyhd1	chr2	30159859	+	Hexa	chr9	59470149	+	Interchromosomal	121		GRCm39	supplementary_table_3
6e833bfc-5dbb-49e5-8267-6435b277b9d4	Dnajc16:Hint2	Dnajc16	chr4	141511998	-	Hint2	chr4	43655046	-	Intrachromosomal	122		GRCm39	supplementary_table_3
f9e08b75-be6a-401e-b347-30d9097ca3bd	Hk2:Mrpl40	Hk2	chr6	82719783	-	Mrpl40	chr16	18694157	-	Interchromosomal	123		GRCm39	supplementary_table_3
3b32982b-bf5d-4413-949b-a2d907050cc8	Hmbox1:Emc4	Hmbox1	chr14	65187025	-	Emc4	chr2	112194650	-	Interchromosomal	124		GRCm39	supplementary_table_3
2e774323-a2cf-48df-86f8-c4b00221654c	Coro7:Hmox2	Coro7	chr16	4479728	-	Hmox2	chr16	4580422	+	Intrachromosomal	125		GRCm39	supplementary_table_3
f4e421b2-1e28-4327-b829-6c8296452932	Thoc2:Hnrnpdl	Thoc2	chrX	40912238	-	Hnrnpdl	chr5	100182843	-	Interchromosomal	126		GRCm39	supplementary_table_3
55c5d154-bafb-490f-859a-217fb9e13188	Hnrnpu:Ifi203	Hnrnpu	chr1	178150698	-	Ifi203	chr1	173754788	-	Intrachromosomal	127		GRCm39	supplementary_table_3
d6cfcbb1-c1fb-4fef-bb5d-48249d804207	2210016F16Rik:Hspa4	2210016F16Rik	chr13	58531963	-	Hspa4	chr11	53153252	-	Interchromosomal	128		GRCm39	supplementary_table_3
80764ba3-7c7e-49df-a456-86d010db9db1	Mindy2:Ifi203	Mindy2	chr9	70514739	-	Ifi203	chr1	173751703	-	Interchromosomal	129		GRCm39	supplementary_table_3
7e0de94b-5e58-4839-b559-75f1f3286d5c	Igf2bp2:Smim14	Igf2bp2	chr16	21979995	-	Smim14	chr5	65625844	-	Interchromosomal	130		GRCm39	supplementary_table_3
9d3b4b30-f00d-4088-bfd7-45cf5cdc1707	2310022A10Rik:Il2rg	2310022A10Rik	chr7	27255959	+	Il2rg	chrX	100309949	-	Interchromosomal	131		GRCm39	supplementary_table_3
d8094711-fa8b-4a2b-8076-4783ae71e6ec	Nsmce1:Ino80e	Nsmce1	chr7	125085509	-	Ino80e	chr7	126452163	-	Intrachromosomal	132		GRCm39	supplementary_table_3
a7efc65c-95e5-4554-a911-4fd226e200bb	Rab12:Inpp5k	Rab12	chr17	66805013	-	Inpp5k	chr11	75538477	+	Interchromosomal	133		GRCm39	supplementary_table_3
00200e9f-50f0-45fd-bf17-386e4d4ef05b	Itgav:AI182371	Itgav	chr2	83596237	+	AI182371	chr2	34979221	-	Intrachromosomal	134		GRCm39	supplementary_table_3
e6dc8c40-d21e-4c9c-8e96-7c135fe200a6	Itsn2:Hif1a	Itsn2	chr12	4689794	+	Hif1a	chr12	73987121	+	Intrachromosomal	135		GRCm39	supplementary_table_3
744ec2dd-fb48-44b5-8a4c-61ff6d8fab16	Gm12216:Katnbl1	Gm12216	chr11	53704401	-	Katnbl1	chr2	112242727	+	Interchromosomal	136		GRCm39	supplementary_table_3
a52949a4-f814-4e74-a183-eaa36e208e24	Gm17382:Kcmf1	Gm17382	chr17	27104940	-	Kcmf1	chr6	72838908	-	Interchromosomal	137		GRCm39	supplementary_table_3
16b1b41d-1b95-4909-8a59-41c16f7167eb	Skap2:Khdrbs1	Skap2	chr6	51972996	-	Khdrbs1	chr4	129624118	-	Interchromosomal	138		GRCm39	supplementary_table_3
43d25e1b-6b59-412b-ad43-8302502e4fd2	Kif13a:Xdh	Kif13a	chr13	46938721	-	Xdh	chr17	74193514	-	Interchromosomal	139		GRCm39	supplementary_table_3
0df5f523-84a9-4cb4-bd8b-3d1a95371150	Kif16b:Taf4	Kif16b	chr2	142544542	-	Taf4	chr2	179555399	-	Intrachromosomal	140		GRCm39	supplementary_table_3
919f9235-944b-418a-98c2-9968d7315859	Klhdc10:Creb5	Klhdc10	chr6	30402149	+	Creb5	chr6	53581446	+	Intrachromosomal	141		GRCm39	supplementary_table_3
fae92d5e-0c91-401e-a50c-4947276008b9	Dock11:Lamp2	Dock11	chrX	35333639	+	Lamp2	chrX	37494448	-	Intrachromosomal	142		GRCm39	supplementary_table_3
dcedd19a-8761-4d5a-b871-d2e20b5df3fa	Lcp1:Itm2b	Lcp1	chr14	75369151	+	Itm2b	chr14	73605867	-	Intrachromosomal	143		GRCm39	supplementary_table_3
