protein_id	pair	arm	gene	gene_id	transcript_id	chromosome	strand	exon_id	exon_number	exon_start_1	exon_end_1	coding_nt_start_1	coding_nt_end_1	coding_bases	aa_start_1	aa_end_1	source_row	source_line
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000169741.2	chr17	-	ENSMUSE00001307802.2	2	32586798	32587121	188	511	324	63	171	1630196	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000169741.2""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""retained_intron""; transcript_name ""Wiz-208""; exon_number 2; exon_id ""ENSMUSE00001307802.2""; level 2; transcript_support_level ""3""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089758.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000165912.8	chr17	-	ENSMUSE00001220903.2	2	32606547	32606791	1	187	187	1	63	1630201	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000165912.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-205""; exon_number 2; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000127651.2""; transcript_support_level ""3""; mgi_id ""MGI:1332638""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089757.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000165912.8	chr17	-	ENSMUSE00001265722.2	3	32586798	32587121	188	511	324	63	171	1630204	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000165912.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-205""; exon_number 3; exon_id ""ENSMUSE00001265722.2""; level 2; protein_id ""ENSMUSP00000127651.2""; transcript_support_level ""3""; mgi_id ""MGI:1332638""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089757.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000172216.8	chr17	-	ENSMUSE00001206903.2	2	32606547	32606791	1	187	187	1	63	1630212	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000172216.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""retained_intron""; transcript_name ""Wiz-212""; exon_number 2; exon_id ""ENSMUSE00001206903.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089749.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000172216.8	chr17	-	ENSMUSE00000892565.2	3	32586005	32587121	188	512	325	63	171	1630213	"chr17	HAVANA	exon	32586005	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000172216.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""retained_intron""; transcript_name ""Wiz-212""; exon_number 3; exon_id ""ENSMUSE00000892565.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089749.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000169280.8	chr17	-	ENSMUSE00001206903.2	2	32606547	32606791	1	187	187	1	63	1630216	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000169280.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""processed_transcript""; transcript_name ""Wiz-206""; exon_number 2; exon_id ""ENSMUSE00001206903.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089755.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000169280.8	chr17	-	ENSMUSE00000899729.2	4	32587045	32587121	188	264	77	63	88	1630218	"chr17	HAVANA	exon	32587045	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000169280.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""processed_transcript""; transcript_name ""Wiz-206""; exon_number 4; exon_id ""ENSMUSE00000899729.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089755.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000171728.3	chr17	-	ENSMUSE00001220903.2	3	32606547	32606791	1	187	187	1	63	1630222	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000171728.3""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""nonsense_mediated_decay""; transcript_name ""Wiz-211""; exon_number 3; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000130054.2""; transcript_support_level ""5""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089751.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000087699.11	chr17	-	ENSMUSE00001206903.2	2	32606547	32606791	1	187	187	1	63	1630240	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000087699.11""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""retained_intron""; transcript_name ""Wiz-202""; exon_number 2; exon_id ""ENSMUSE00001206903.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089753.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000238144.2	chr17	-	ENSMUSE00001458965.2	1	32606547	32606662	72	187	116	24	63	1630244	"chr17	HAVANA	exon	32606547	32606662	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000238144.2""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""processed_transcript""; transcript_name ""Wiz-214""; exon_number 1; exon_id ""ENSMUSE00001458965.2""; level 2; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000177734.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000170603.3	chr17	-	ENSMUSE00001220903.2	2	32606547	32606791	1	187	187	1	63	1630248	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000170603.3""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-209""; exon_number 2; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000128241.2""; transcript_support_level ""3""; mgi_id ""MGI:1332638""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089756.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000212139.2	chr8	+	ENSMUSE00000214159.2	3	105070390	105070545	512	615	104	171	205	902572	"chr8	HAVANA	exon	105070390	105070545	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000212139.2""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""protein_coding""; transcript_name ""Cmtm3-205""; exon_number 3; exon_id ""ENSMUSE00000214159.2""; level 2; protein_id ""ENSMUSP00000148338.2""; transcript_support_level ""5""; mgi_id ""MGI:2447162""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151075.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000212081.2	chr8	+	ENSMUSE00000214159.2	3	105070390	105070545	512	615	104	171	205	902583	"chr8	HAVANA	exon	105070390	105070545	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000212081.2""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""protein_coding""; transcript_name ""Cmtm3-204""; exon_number 3; exon_id ""ENSMUSE00000214159.2""; level 2; protein_id ""ENSMUSP00000148682.2""; transcript_support_level ""5""; mgi_id ""MGI:2447162""; tag ""alternative_5_UTR""; tag ""dotter_confirmed""; tag ""basic""; tag ""appris_principal_1""; tag ""CCDS""; ccdsid ""CCDS22577.1""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151076.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000211885.2	chr8	+	ENSMUSE00001392964.2	3	105070390	105070488	512	610	99	171	204	902600	"chr8	HAVANA	exon	105070390	105070488	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000211885.2""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""protein_coding""; transcript_name ""Cmtm3-202""; exon_number 3; exon_id ""ENSMUSE00001392964.2""; level 2; protein_id ""ENSMUSP00000148513.2""; transcript_support_level ""3""; mgi_id ""MGI:2447162""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151077.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000212948.2	chr8	+	ENSMUSE00000214159.2	3	105070390	105070545	512	615	104	171	205	902609	"chr8	HAVANA	exon	105070390	105070545	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000212948.2""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""protein_coding""; transcript_name ""Cmtm3-208""; exon_number 3; exon_id ""ENSMUSE00000214159.2""; level 2; protein_id ""ENSMUSP00000148628.2""; transcript_support_level ""3""; mgi_id ""MGI:2447162""; tag ""alternative_5_UTR""; tag ""mRNA_end_NF""; tag ""cds_end_NF""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151078.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000034343.5	chr8	+	ENSMUSE00000214159.2	2	105070390	105070545	512	615	104	171	205	902624	"chr8	HAVANA	exon	105070390	105070545	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000034343.5""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""protein_coding""; transcript_name ""Cmtm3-201""; exon_number 2; exon_id ""ENSMUSE00000214159.2""; level 2; protein_id ""ENSMUSP00000034343.5""; transcript_support_level ""1""; mgi_id ""MGI:2447162""; tag ""basic""; tag ""appris_principal_1""; tag ""CCDS""; ccdsid ""CCDS22577.1""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151080.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	right	Cmtm3	ENSMUSG00000031875.8	ENSMUST00000212399.2	chr8	+	ENSMUSE00001390418.2	2	105070390	105070999	512	615	104	171	205	902637	"chr8	HAVANA	exon	105070390	105070999	.	+	.	gene_id ""ENSMUSG00000031875.8""; transcript_id ""ENSMUST00000212399.2""; gene_type ""protein_coding""; gene_name ""Cmtm3""; transcript_type ""retained_intron""; transcript_name ""Cmtm3-206""; exon_number 2; exon_id ""ENSMUSE00001390418.2""; level 2; transcript_support_level ""2""; mgi_id ""MGI:2447162""; havana_gene ""OTTMUSG00000061906.1""; havana_transcript ""OTTMUST00000151081.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000025574.11	chr19	-	ENSMUSE00001228520.2	2	11310571	11310730	1	147	147	1	49	1753245	"chr19	HAVANA	exon	11310571	11310730	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000025574.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-201""; exon_number 2; exon_id ""ENSMUSE00001228520.2""; level 2; protein_id ""ENSMUSP00000025574.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_alternative_2""; tag ""CCDS""; ccdsid ""CCDS70935.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071411.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000025574.11	chr19	-	ENSMUSE00001288664.2	3	11305289	11305414	148	273	126	50	91	1753247	"chr19	HAVANA	exon	11305289	11305414	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000025574.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-201""; exon_number 3; exon_id ""ENSMUSE00001288664.2""; level 2; protein_id ""ENSMUSP00000025574.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_alternative_2""; tag ""CCDS""; ccdsid ""CCDS70935.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071411.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000025574.11	chr19	-	ENSMUSE00001240446.2	4	11303171	11303227	274	330	57	92	110	1753249	"chr19	HAVANA	exon	11303171	11303227	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000025574.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-201""; exon_number 4; exon_id ""ENSMUSE00001240446.2""; level 2; protein_id ""ENSMUSP00000025574.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_alternative_2""; tag ""CCDS""; ccdsid ""CCDS70935.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071411.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000025574.11	chr19	-	ENSMUSE00000144304.2	5	11301786	11301992	331	537	207	111	179	1753251	"chr19	HAVANA	exon	11301786	11301992	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000025574.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-201""; exon_number 5; exon_id ""ENSMUSE00000144304.2""; level 2; protein_id ""ENSMUSP00000025574.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_alternative_2""; tag ""CCDS""; ccdsid ""CCDS70935.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071411.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000067532.11	chr19	-	ENSMUSE00001289917.2	2	11310571	11310730	1	147	147	1	49	1753262	"chr19	HAVANA	exon	11310571	11310730	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000067532.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-203""; exon_number 2; exon_id ""ENSMUSE00001289917.2""; level 2; protein_id ""ENSMUSP00000064534.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_principal_3""; tag ""CCDS""; ccdsid ""CCDS29598.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071408.1"";"
protein_829397420b49a412cf07f60151864bb984e43c3ffee13a777cc6be8d1ad441bc	Ms4a7 → Cog6	left	Ms4a7	ENSMUSG00000024672.12	ENSMUST00000067532.11	chr19	-	ENSMUSE00001288664.2	3	11305289	11305414	148	273	126	50	91	1753265	"chr19	HAVANA	exon	11305289	11305414	.	-	.	gene_id ""ENSMUSG00000024672.12""; transcript_id ""ENSMUST00000067532.11""; gene_type ""protein_coding""; gene_name ""Ms4a7""; transcript_type ""protein_coding""; transcript_name ""Ms4a7-203""; exon_number 3; exon_id ""ENSMUSE00001288664.2""; level 2; protein_id ""ENSMUSP00000064534.5""; transcript_support_level ""1""; mgi_id ""MGI:1918846""; tag ""basic""; tag ""appris_principal_3""; tag ""CCDS""; ccdsid ""CCDS29598.1""; havana_gene ""OTTMUSG00000028835.1""; havana_transcript ""OTTMUST00000071408.1"";"
